Gene,Num_seqs,Mouse_presence,Human_presence,Num_codons_hum,Length_seq
ENSG00000012963,61,1,1,425,1380
ENSG00000012983,69,1,1,846,3411
ENSG00000013016,72,1,1,535,2550
ENSG00000013275,70,1,1,418,1752
ENSG00000013288,56,1,1,1009,7083
ENSG00000013293,71,1,1,771,2706
ENSG00000013306,60,1,1,359,3714
ENSG00000013364,68,1,1,893,4479
ENSG00000013374,68,1,1,639,2817
ENSG00000013375,69,1,1,570,2472
ENSG00000013392,66,1,1,292,903
ENSG00000013441,71,1,1,526,3765
ENSG00000013503,72,1,1,1133,3843
ENSG00000013523,71,1,1,670,2646
ENSG00000013561,63,1,1,474,1725
ENSG00000013563,63,1,1,302,2283
ENSG00000013573,67,1,1,970,6690
ENSG00000013583,69,1,1,189,981
ENSG00000013588,67,1,1,357,1935
ENSG00000013619,67,1,1,998,8634
ENSG00000013725,69,1,1,668,4041
ENSG00000013810,61,1,1,838,6717
ENSG00000014123,69,1,1,794,3102
ENSG00000014138,70,1,1,598,2832
ENSG00000014164,66,1,1,948,5607
ENSG00000014216,64,1,1,714,5442
ENSG00000014257,70,1,1,418,1611
ENSG00000014641,64,1,1,352,1434
ENSG00000014824,71,1,1,568,2751
ENSG00000014914,70,1,1,709,2919
ENSG00000014919,71,1,1,410,1449
ENSG00000015133,63,1,1,2028,8634
ENSG00000015153,70,1,1,204,1452
ENSG00000015171,69,1,1,602,2685
ENSG00000015285,69,1,1,502,3090
ENSG00000015413,68,1,1,411,3099
ENSG00000015475,64,1,1,241,2574
ENSG00000015520,67,1,1,1359,6300
ENSG00000015532,67,1,1,865,4161
ENSG00000015592,71,1,1,216,1593
ENSG00000015676,70,1,1,361,2013
ENSG00000016082,69,1,1,349,1371
ENSG00000016391,71,1,1,594,2430
ENSG00000016402,71,1,1,553,2787
ENSG00000016490,68,1,1,914,3999
ENSG00000016864,69,1,1,371,1485
ENSG00000017260,70,1,1,973,3798
ENSG00000017427,70,1,1,158,1851
ENSG00000017483,61,1,1,472,2736
ENSG00000017797,67,1,1,655,2526
ENSG00000018189,68,1,1,620,5559
ENSG00000018236,71,1,1,1018,4140
ENSG00000018280,71,1,1,550,2292
ENSG00000018408,67,1,1,400,2142
ENSG00000018510,72,1,1,658,3774
ENSG00000018610,62,1,1,208,1200
ENSG00000018625,63,1,1,1020,4635
ENSG00000018699,69,1,1,843,3489
ENSG00000018869,52,1,1,517,2220
ENSG00000019102,68,1,1,327,1311
ENSG00000019144,65,1,1,1377,7845
ENSG00000019169,67,1,1,520,3993
ENSG00000019186,68,1,1,514,2610
ENSG00000019485,69,1,1,1177,8973
ENSG00000019505,70,1,1,426,1944
ENSG00000019549,69,1,1,268,1047
ENSG00000019582,69,1,1,296,2367
ENSG00000019991,70,1,1,728,2775
ENSG00000019995,71,1,1,708,2913
ENSG00000020129,69,1,1,729,3453
ENSG00000020181,68,1,1,1338,7431
ENSG00000020256,71,1,1,681,3912
ENSG00000020426,68,1,1,309,1347
ENSG00000020577,72,1,1,718,3897
ENSG00000020633,64,1,1,429,2874
ENSG00000020922,69,1,1,708,2763
ENSG00000021300,69,1,1,243,1218
ENSG00000021488,66,1,1,487,2211
ENSG00000021574,67,1,1,616,2907
ENSG00000021645,67,1,1,1571,7257
ENSG00000021762,64,1,1,879,6192
ENSG00000021776,72,1,1,1485,6657
ENSG00000021826,69,1,1,1506,5082
ENSG00000021852,67,1,1,591,2988
ENSG00000022267,57,1,1,323,1539
ENSG00000022277,70,1,1,336,1911
ENSG00000022355,70,1,1,456,1794
ENSG00000022567,66,1,1,808,4563
ENSG00000022840,68,1,1,816,3957
ENSG00000022976,61,1,1,927,5991
ENSG00000023041,65,1,1,413,1509
ENSG00000023171,69,1,1,745,3414
ENSG00000023191,62,1,1,461,3204
ENSG00000023228,68,1,1,741,3078
ENSG00000023287,61,1,1,1594,4989
ENSG00000023318,72,1,1,406,2040
ENSG00000023330,71,1,1,640,3330
ENSG00000023445,61,1,1,604,2649
ENSG00000023516,68,1,1,1901,6837
ENSG00000023572,61,1,1,165,2208
ENSG00000023697,70,1,1,318,1734
ENSG00000023734,65,1,1,350,1587
ENSG00000023839,71,1,1,1545,6021
ENSG00000023892,71,1,1,631,3690
ENSG00000023902,67,1,1,409,2751
ENSG00000023909,71,1,1,274,1263
ENSG00000024048,71,1,1,1755,7278
ENSG00000024422,63,1,1,543,3240
ENSG00000024526,67,1,1,811,2904
ENSG00000024862,70,1,1,274,1965
ENSG00000025039,69,1,1,400,3000
ENSG00000025156,67,1,1,536,2412
ENSG00000025293,71,1,1,1012,3996
ENSG00000025423,56,1,1,317,1095
ENSG00000025434,72,1,1,453,2076
ENSG00000025708,55,1,1,487,2892
ENSG00000025770,64,1,1,606,4527
ENSG00000025772,69,1,1,309,1521
ENSG00000025796,70,1,1,760,3585
ENSG00000025800,71,1,1,536,2856
ENSG00000026025,68,1,1,466,2325
ENSG00000026103,63,1,1,335,3597
ENSG00000026508,71,1,1,742,3546
ENSG00000026559,67,1,1,513,1710
ENSG00000026652,69,1,1,378,2046
ENSG00000026751,63,1,1,335,2454
ENSG00000027001,70,1,1,713,3807
ENSG00000027075,71,1,1,683,2928
ENSG00000027644,68,1,1,1297,5988
ENSG00000027697,67,1,1,489,2856
ENSG00000027847,66,1,1,327,1314
ENSG00000027869,66,1,1,399,2901
ENSG00000028116,71,1,1,508,2439
ENSG00000028137,66,1,1,461,3039
ENSG00000028203,72,1,1,779,3891
ENSG00000028277,67,1,1,479,5712
ENSG00000028310,67,1,1,597,5280
ENSG00000028528,70,1,1,557,2133
ENSG00000028839,69,1,1,186,705
ENSG00000029153,58,1,1,636,2919
ENSG00000029363,66,1,1,920,5595
ENSG00000029364,71,1,1,307,1536
ENSG00000029534,69,1,1,1897,11298
ENSG00000029559,70,1,1,317,1695
ENSG00000029639,70,1,1,346,1509
ENSG00000029725,70,1,1,862,4554
ENSG00000029993,48,1,1,200,1284
ENSG00000030066,70,1,1,1436,6132
ENSG00000030110,60,1,1,211,1071
ENSG00000030304,69,1,1,869,3963
ENSG00000030419,70,1,1,526,2016
ENSG00000030582,68,1,1,593,4572
ENSG00000031003,71,1,1,915,4443
ENSG00000031081,70,1,1,1444,5535
ENSG00000031691,64,1,1,268,1224
ENSG00000031698,68,1,1,536,2853
ENSG00000031823,69,1,1,567,2925
ENSG00000032219,69,1,1,1257,4752
ENSG00000032389,71,1,1,414,2988
ENSG00000032444,66,1,1,1375,8640
ENSG00000032742,71,1,1,833,4143
ENSG00000033030,71,1,1,707,3567
ENSG00000033100,68,1,1,772,2673
ENSG00000033122,60,1,1,1537,5739
ENSG00000033170,68,1,1,575,1824
ENSG00000033178,70,1,1,1052,5172
ENSG00000033627,72,1,1,838,3969
ENSG00000033800,71,1,1,653,2853
ENSG00000033867,71,1,1,1259,5616
ENSG00000034053,69,1,1,749,3066
ENSG00000034152,64,1,1,347,2493
ENSG00000034239,69,1,1,211,1536
ENSG00000034533,68,1,1,704,2310
ENSG00000034677,69,1,1,838,2574
ENSG00000034693,67,1,1,373,1464
ENSG00000034713,67,1,1,117,1317
ENSG00000034971,68,1,1,504,1815
ENSG00000035115,69,1,1,342,3711
ENSG00000035141,49,1,1,138,852
ENSG00000035403,72,1,1,1134,4272
ENSG00000035499,69,1,1,529,3435
ENSG00000035664,70,1,1,370,3399
ENSG00000035681,60,1,1,948,4287
ENSG00000035687,65,1,1,456,2157
ENSG00000035720,69,1,1,295,1746
ENSG00000035862,66,1,1,220,2601
ENSG00000035928,68,1,1,1148,4779
ENSG00000036054,70,1,1,699,3480
ENSG00000036257,72,1,1,768,3414
ENSG00000036448,66,1,1,1465,6321
ENSG00000036473,69,1,1,354,2049
ENSG00000036530,67,1,1,500,2739
ENSG00000036549,68,1,1,903,2925
ENSG00000036565,72,1,1,525,1692
ENSG00000036672,70,1,1,605,2607
ENSG00000036828,71,1,1,1088,4035
ENSG00000037042,46,1,1,451,1647
ENSG00000037280,66,1,1,1363,6516
ENSG00000037474,70,1,1,767,5139
ENSG00000037637,69,1,1,717,2682
ENSG00000037749,69,1,1,362,1524
ENSG00000037757,64,1,1,369,2103
ENSG00000037897,70,1,1,276,1833
ENSG00000037965,61,1,1,242,1689
ENSG00000038002,71,1,1,346,1647
ENSG00000038219,68,1,1,3051,19569
ENSG00000038274,60,1,1,334,1671
ENSG00000038295,71,1,1,1013,4413
ENSG00000038358,72,1,1,1401,6531
ENSG00000038382,66,1,1,3097,14628
ENSG00000038427,71,1,1,3396,11616
ENSG00000038532,70,1,1,1053,4188
ENSG00000038945,68,1,1,451,2862
ENSG00000039068,71,1,1,882,4422
ENSG00000039123,71,1,1,1042,4458
ENSG00000039319,70,1,1,1539,5289
ENSG00000039523,69,1,1,1239,7575
ENSG00000039537,69,1,1,934,4599
ENSG00000039560,70,1,1,983,5334
ENSG00000039600,68,1,1,753,3381
ENSG00000039650,67,1,1,521,2196
ENSG00000039987,62,1,1,509,2370
ENSG00000040199,72,1,1,1323,5400
ENSG00000040275,67,1,1,605,2592
ENSG00000040341,61,1,1,570,2625
ENSG00000040487,69,1,1,291,3675
ENSG00000040531,68,1,1,400,1929
ENSG00000040608,62,1,1,473,3069
ENSG00000040633,60,1,1,403,1809
ENSG00000040731,63,1,1,788,2562
ENSG00000040933,69,1,1,977,4017
ENSG00000041353,72,1,1,218,1065
ENSG00000041357,67,1,1,261,1278
ENSG00000041515,69,1,1,1880,12288
ENSG00000041802,70,1,1,658,3288
ENSG00000041880,69,1,1,540,2520
ENSG00000041982,71,1,1,2201,12342
ENSG00000041988,61,1,1,239,1461
ENSG00000042062,66,1,1,946,5850
ENSG00000042088,71,1,1,608,2490
ENSG00000042286,70,1,1,373,1935
ENSG00000042317,69,1,1,599,2949
ENSG00000042445,70,1,1,610,2346
ENSG00000042493,66,1,1,348,1833
ENSG00000042753,60,1,1,158,1293
ENSG00000042781,65,1,1,5202,20532
ENSG00000042813,68,1,1,351,2745
ENSG00000042832,69,1,1,2768,10530
ENSG00000042980,71,1,1,775,4980
ENSG00000043039,69,1,1,279,1293
ENSG00000043143,69,1,1,834,3465
ENSG00000043355,61,1,1,532,3459
ENSG00000043462,71,1,1,533,2514
ENSG00000043514,69,1,1,467,2070
ENSG00000043591,43,1,1,477,2934
ENSG00000044012,65,1,1,112,813
ENSG00000044090,62,1,1,1782,8394
ENSG00000044115,67,1,1,906,4545
ENSG00000044446,69,1,1,1235,5220
ENSG00000044459,66,1,1,1406,6414
ENSG00000044524,69,1,1,983,4008
ENSG00000044574,58,1,1,654,1989
ENSG00000046604,70,1,1,1118,5349
ENSG00000046647,63,1,1,242,1860
ENSG00000046651,64,1,1,1012,5868
ENSG00000046653,68,1,1,328,1995
ENSG00000046889,69,1,1,1606,7722
ENSG00000047056,71,1,1,494,2475
ENSG00000047188,72,1,1,1430,5715
ENSG00000047230,69,1,1,586,2655
ENSG00000047249,72,1,1,483,1959
ENSG00000047315,59,1,1,1174,4107
ENSG00000047346,71,1,1,1083,4662
ENSG00000047365,68,1,1,1704,6114
ENSG00000047410,66,1,1,2363,9168
ENSG00000047457,71,1,1,1065,5100
ENSG00000047578,67,1,1,1618,8805
ENSG00000047579,70,1,1,351,2301
ENSG00000047597,66,1,1,444,2307
ENSG00000047617,68,1,1,999,4404
ENSG00000047621,67,1,1,552,2133
ENSG00000047648,69,1,1,974,4599
ENSG00000047662,68,1,1,1060,6417
ENSG00000047849,71,1,1,1152,17967
ENSG00000047932,59,1,1,462,1416
ENSG00000047936,67,1,1,2347,10554
ENSG00000048028,70,1,1,1077,7191
ENSG00000048052,66,1,1,1069,4743
ENSG00000048140,64,1,1,332,3570
ENSG00000048162,65,1,1,232,2616
ENSG00000048342,71,1,1,1620,6459
ENSG00000048392,71,1,1,351,2562
ENSG00000048405,70,1,1,664,2469
ENSG00000048462,66,1,1,184,879
ENSG00000048471,63,1,1,813,4287
ENSG00000048540,68,1,1,167,1314
ENSG00000048544,67,1,1,201,927
ENSG00000048545,68,1,1,201,1125
ENSG00000048649,70,1,1,1441,5247
ENSG00000048707,71,1,1,4388,16092
ENSG00000048740,68,1,1,521,2802
ENSG00000048828,71,1,1,1118,6192
ENSG00000048991,69,1,1,1100,4326
ENSG00000049089,67,1,1,689,7002
ENSG00000049130,71,1,1,273,948
ENSG00000049167,71,1,1,396,1494
ENSG00000049192,65,1,1,1117,3687
ENSG00000049239,68,1,1,802,3381
ENSG00000049245,64,1,1,100,1353
ENSG00000049246,62,1,1,1210,7410
ENSG00000049247,57,1,1,139,885
ENSG00000049249,69,1,1,255,1209
ENSG00000049283,67,1,1,632,3048
ENSG00000049323,71,1,1,1721,7668
ENSG00000049449,43,1,1,331,1437
ENSG00000049540,53,1,1,786,12543
ENSG00000049541,62,1,1,354,2148
ENSG00000049618,71,1,1,2249,10956
ENSG00000049656,65,1,1,538,3150
ENSG00000049759,71,1,1,975,8415
ENSG00000049768,68,1,1,431,3513
ENSG00000049769,64,1,1,799,3783
ENSG00000049860,63,1,1,556,2391
ENSG00000049883,70,1,1,388,1845
ENSG00000050030,66,1,1,1516,4812
ENSG00000050165,70,1,1,364,2118
ENSG00000050327,64,1,1,1597,6348
ENSG00000050344,65,1,1,694,3129
ENSG00000050393,63,1,1,359,3159
ENSG00000050405,71,1,1,760,3201
ENSG00000050426,71,1,1,373,1662
ENSG00000050438,71,1,1,1093,6516
ENSG00000050555,65,1,1,1575,9186
ENSG00000050628,63,1,1,418,3774
ENSG00000050730,67,1,1,376,2256
ENSG00000050748,66,1,1,424,2013
ENSG00000050767,58,1,1,540,5307
ENSG00000050820,66,1,1,916,6339
ENSG00000051009,70,1,1,986,3657
ENSG00000051108,70,1,1,391,2832
ENSG00000051128,61,1,1,361,1710
ENSG00000051341,66,1,1,2590,11466
ENSG00000051382,68,1,1,1070,4116
ENSG00000051523,66,1,1,195,1563
ENSG00000051596,63,1,1,351,1647
ENSG00000051620,68,1,1,205,2844
ENSG00000051825,69,1,1,1183,4896
ENSG00000052126,67,1,1,1282,5481
ENSG00000052344,67,1,1,343,4323
ENSG00000052723,70,1,1,211,708
ENSG00000052749,70,1,1,1297,5397
ENSG00000052795,70,1,1,1114,7545
ENSG00000052802,65,1,1,293,963
ENSG00000052841,72,1,1,1141,4329
ENSG00000052850,63,1,1,411,1941
ENSG00000053108,72,1,1,842,3429
ENSG00000053254,68,1,1,490,1893
ENSG00000053328,68,1,1,366,2307
ENSG00000053372,55,1,1,239,906
ENSG00000053438,64,1,1,81,1653
ENSG00000053501,63,1,1,259,1995
ENSG00000053747,67,1,1,3333,13500
ENSG00000053770,70,1,1,490,1869
ENSG00000053900,68,1,1,809,3786
ENSG00000053918,67,1,1,676,4977
ENSG00000054116,71,1,1,188,798
ENSG00000054118,65,1,1,955,3681
ENSG00000054148,48,1,1,125,591
ENSG00000054179,64,1,1,495,3186
ENSG00000054267,69,1,1,1312,4710
ENSG00000054277,61,1,1,402,2343
ENSG00000054282,71,1,1,713,5175
ENSG00000054356,67,1,1,979,4266
ENSG00000054392,67,1,1,494,2679
ENSG00000054523,71,1,1,1770,9813
ENSG00000054598,38,1,1,553,2214
ENSG00000054611,66,1,1,517,2850
ENSG00000054654,59,1,1,6907,25500
ENSG00000054690,70,1,1,1364,5925
ENSG00000054793,69,1,1,1047,6093
ENSG00000054796,69,1,1,396,1377
ENSG00000054803,68,1,1,201,927
ENSG00000054938,70,1,1,451,2256
ENSG00000054965,71,1,1,244,1188
ENSG00000054967,68,1,1,430,2379
ENSG00000054983,72,1,1,685,3396
ENSG00000055044,67,1,1,529,3105
ENSG00000055070,68,1,1,152,1059
ENSG00000055118,64,1,1,1159,5241
ENSG00000055130,71,1,1,776,2733
ENSG00000055147,67,1,1,505,2214
ENSG00000055163,70,1,1,1278,5592
