Parsing alignment ctenohystrica_mt12cp ... ... 
Length alignment: 7224
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_insidiosus | Num gaps: 28 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: coendou_melanurus | Num gaps: 6476 | Missing taxon?: N | % Missing data: 89.6456256921373
Taxon: coendou_mexicanus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_prehensilis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_quichua | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: coendou_rufescens | Num gaps: 6618 | Missing taxon?: N | % Missing data: 91.6112956810631
Taxon: coendou_spinosus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_villosus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cryptomys_hottentotus_anomalus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_holosericeus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_hottentotus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.7286821705426
Taxon: cryptomys_hottentotus_mahali | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cryptomys_hottentotus_natalensis | Num gaps: 6472 | Missing taxon?: N | % Missing data: 89.5902547065338
Taxon: cryptomys_hottentotus_nimrodi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cryptomys_hottentotus_pretoriae | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenodactylus_gundi | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenodactylus_vali | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_argentinus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_australis | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_boliviensis | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_colburni | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: ctenomys_conoveri | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_coyhaiquensis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_dorbignyi | Num gaps: 6486 | Missing taxon?: N | % Missing data: 89.7840531561462
Taxon: ctenomys_erikacuellarae | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_flamarioni | Num gaps: 6014 | Missing taxon?: N | % Missing data: 83.250276854928
Taxon: ctenomys_fodax | Num gaps: 6478 | Missing taxon?: N | % Missing data: 89.6733111849391
Taxon: ctenomys_frater | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_fulvus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_goodfellowi | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_haigi | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_lami | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_latro | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_leucodon | Num gaps: 26 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: ctenomys_lewisi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_magellanicus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_maulinus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_mendocinus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_minutus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_nattereri | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: ctenomys_occultus | Num gaps: 6020 | Missing taxon?: N | % Missing data: 83.3333333333333
Taxon: ctenomys_opimus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_pearsoni | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_perrensi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_porteousi | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_pundti | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_rionegrensis | Num gaps: 558 | Missing taxon?: N | % Missing data: 7.72425249169435
Taxon: ctenomys_roigi | Num gaps: 6480 | Missing taxon?: N | % Missing data: 89.7009966777409
Taxon: ctenomys_saltarius | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: ctenomys_scagliai | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_sericeus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_sociabilis | Num gaps: 28 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: ctenomys_steinbachi | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_talarum | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_torquatus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_tuconax | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_tucumanus | Num gaps: 6012 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: cuniculus_paca | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: cuniculus_taczanowskii | Num gaps: 6686 | Missing taxon?: N | % Missing data: 92.5526024363234
Taxon: cuscomys_ashaninka~ | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: dactylomys_boliviensis | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: dactylomys_dactylinus | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: dasyprocta_fuliginosa | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: dasyprocta_leporina | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: dasyprocta_punctata | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: dinomys_branickii | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: diplomys_labilis | Num gaps: 6674 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: dolichotis_patagonum | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: dolichotis_patagonum_centricola | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: dolichotis_salinicola | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: echimys_chrysurus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: erethizon_dorsatum | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: euryzygomatomys_spinosus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_amatus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_anselli | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_bocagei | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: fukomys_choma | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_darlingi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_foxi | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_kafuensis | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_mechowii | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_micklemi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_ochraceocinereus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: fukomys_whytei | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: fukomys_whytei_occlusus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: galea_musteloides | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: galea_musteloides_leucoblephara | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: galea_spixii | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: geocapromys_brownii | Num gaps: 6486 | Missing taxon?: N | % Missing data: 89.7840531561462
Taxon: geocapromys_ingrahami | Num gaps: 6556 | Missing taxon?: N | % Missing data: 90.7530454042082
Taxon: georychus_capensis | Num gaps: 6048 | Missing taxon?: N | % Missing data: 83.7209302325581
Taxon: heliophobius_argenteocinereus | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: heterocephalus_glaber | Num gaps: 30 | Missing taxon?: N | % Missing data: 0.415282392026578
Taxon: hoplomys_gymnurus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: hydrochoerus_hydrochaeris | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: hystrix_africaeaustralis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: hystrix_brachyura | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: hystrix_cristata | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_barbarabrownae | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_bistriata | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: isothrix_orinoci | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_pagurus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: isothrix_sinnamariensis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: kannabateomys_amblyonyx | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: kerodon_acrobata | Num gaps: 6548 | Missing taxon?: N | % Missing data: 90.6423034330011
Taxon: kerodon_rupestris | Num gaps: 6472 | Missing taxon?: N | % Missing data: 89.5902547065338
Taxon: lagidium_viscacia | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: lagostomus_maximus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: laonastes_aenigmamus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: lonchothrix_emiliae | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: makalata_didelphoides | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: makalata_macrura | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: massoutiera_mzabi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesocapromys_angelcabrerai | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesocapromys_auritus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesocapromys_melanurus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: mesomys_hispidus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mesomys_occultus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: mesomys_stimulax | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: microcavia | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: myocastor_coypus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: myoprocta_acouchy | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: myoprocta_pratti | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: mysateles_prehensilis | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: octodon_bridgesi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: octodon_degus | Num gaps: 33 | Missing taxon?: N | % Missing data: 0.456810631229236
Taxon: octodon_lunatus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: octodontomys_gliroides | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: octomys_mimax | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: olallamys_albicauda | Num gaps: 6672 | Missing taxon?: N | % Missing data: 92.358803986711
Taxon: pattonomys_occasius~ | Num gaps: 6674 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: pattonomys_semivillosus~ | Num gaps: 6674 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: petromus_typicus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: phyllomys_aff_dasythrix | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: phyllomys_blainvillii | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: phyllomys_brasiliensis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: phyllomys_dasythrix | Num gaps: 6478 | Missing taxon?: N | % Missing data: 89.6733111849391
Taxon: phyllomys_lamarum | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: phyllomys_lundi | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: phyllomys_mantiqueirensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.7286821705426
Taxon: phyllomys_nigrispinus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: phyllomys_pattoni | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: phyllomys_sulinus | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: phyllomys_unicolor | Num gaps: 6584 | Missing taxon?: N | % Missing data: 91.140642303433
Taxon: pipanacoctomys_aureus | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: plagiodontia_aedium | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_cuvieri | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_guyannensis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_longicaudatus | Num gaps: 28 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: proechimys_oris | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: proechimys_quadruplicatus | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: proechimys_roberti | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: proechimys_simonsi | Num gaps: 6470 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: santamartamys_rufodorsalis | Num gaps: 6672 | Missing taxon?: N | % Missing data: 92.358803986711
Taxon: spalacopus_cyanus | Num gaps: 26 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: thrichomys_aff_apereoides | Num gaps: 6540 | Missing taxon?: N | % Missing data: 90.531561461794
Taxon: thrichomys_aff_inermis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_apereoides_apereoides | Num gaps: 6496 | Missing taxon?: N | % Missing data: 89.922480620155
Taxon: thrichomys_fosteri | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_inermis | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_laurenteus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thrichomys_pachyurus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: thryonomys_swinderianus | Num gaps: 32 | Missing taxon?: N | % Missing data: 0.44296788482835
Taxon: toromys_grandis | Num gaps: 6672 | Missing taxon?: N | % Missing data: 92.358803986711
Taxon: toromys_rhipidurus | Num gaps: 6674 | Missing taxon?: N | % Missing data: 92.3864894795127
Taxon: trichys_fasciculata | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: trinomys_albispinus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_dimidiatus | Num gaps: 26 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: trinomys_eliasi | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_gratiosus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_iheringi | Num gaps: 6468 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: trinomys_moojeni | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_paratus | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_setosus_elegans | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: trinomys_yonenagae | Num gaps: 7224 | Missing taxon?: Y | % Missing data: 100
Taxon: tympanoctomys_barrerae | Num gaps: 32 | Missing taxon?: N | % Missing data: 0.44296788482835
Taxon: tympanoctomys_loschalchalerosorum | Num gaps: 6466 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ornithorhynchus_anatinus | Num gaps: 480 | Missing taxon?: N | % Missing data: 6.64451827242525
Taxon: zaglossus_bruijni | Num gaps: 480 | Missing taxon?: N | % Missing data: 6.64451827242525
Taxon: tachyglossus_aculeatus | Num gaps: 480 | Missing taxon?: N | % Missing data: 6.64451827242525
Taxon: ictidomys_tridecemlineatus | Num gaps: 26 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: fukomys_damarensis | Num gaps: 6464 | Missing taxon?: N | % Missing data: 89.4795127353267

Number of missing taxa = 36
Number of present taxa = 174
Total number of taxa = 210

Eq: num_gaps / ( num_taxa * len_aln ) --> (260064+1004063)/((36+174)*7224)
Avg missing data before removing missing taxa = 0.83328521331013 = 83.328521331013%
Eq: num_gaps / ( num_taxa * len_aln ) --> 1004063/(174*7224)
Avg missing data after removing missing taxa = 0.798792498822571 = 79.8792498822571%

