Parsing alignment lchiroptera_subt2_mt12cp ... ... 
Length alignment: 7240
Number of taxa: 634
Taxon: ametrida_centurio | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_toltecus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: balantiopteryx_infusca | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: balantiopteryx_io | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: balantiopteryx_plicata | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: barbastella_barbastellus | Num gaps: 5882 | Missing taxon?: N | % Missing data: 81.2430939226519
Taxon: barbastella_beijingensis | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: barbastella_leucomelas | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: brachyphylla_cavernarum | Num gaps: 40 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: brachyphylla_nana | Num gaps: 5886 | Missing taxon?: N | % Missing data: 81.2983425414365
Taxon: brachyphylla_pumila | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: carollia_benkeithi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: carollia_brevicauda | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: carollia_castanea | Num gaps: 5880 | Missing taxon?: N | % Missing data: 81.2154696132597
Taxon: carollia_manu | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: carollia_perspicillata | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: carollia_sowelli | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: carollia_subrufa | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: centronycteris_centralis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: centronycteris_maximiliani | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: centurio_senex | Num gaps: 5880 | Missing taxon?: N | % Missing data: 81.2154696132597
Taxon: centurio_senex_greenhalli | Num gaps: 6688 | Missing taxon?: N | % Missing data: 92.3756906077348
Taxon: chaerephon_atsinanana | Num gaps: 6554 | Missing taxon?: N | % Missing data: 90.524861878453
Taxon: chaerephon_jobimena | Num gaps: 6652 | Missing taxon?: N | % Missing data: 91.878453038674
Taxon: chaerephon_leucogaster | Num gaps: 5962 | Missing taxon?: N | % Missing data: 82.3480662983425
Taxon: chaerephon_plicatus | Num gaps: 6650 | Missing taxon?: N | % Missing data: 91.8508287292818
Taxon: chaerephon_pumilus | Num gaps: 5962 | Missing taxon?: N | % Missing data: 82.3480662983425
Taxon: chaerephon_pumilus_s_l_tn_2014 | Num gaps: 6688 | Missing taxon?: N | % Missing data: 92.3756906077348
Taxon: chaerephon_pusillus | Num gaps: 6554 | Missing taxon?: N | % Missing data: 90.524861878453
Taxon: chalinolobus_gouldii | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: chalinolobus_morio | Num gaps: 6552 | Missing taxon?: N | % Missing data: 90.4972375690608
Taxon: chalinolobus_nigrogriseus | Num gaps: 6546 | Missing taxon?: N | % Missing data: 90.414364640884
Taxon: chalinolobus_tuberculatus | Num gaps: 42 | Missing taxon?: N | % Missing data: 0.580110497237569
Taxon: cheiromeles | Num gaps: 5958 | Missing taxon?: N | % Missing data: 82.292817679558
Taxon: chilonatalus_micropus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: chilonatalus_tumidifrons | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: chiroderma_doriae | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: chiroderma_improvisum | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: chiroderma_salvini | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: chiroderma_trinitatum | Num gaps: 5564 | Missing taxon?: N | % Missing data: 76.8508287292818
Taxon: chiroderma_villosum | Num gaps: 4870 | Missing taxon?: N | % Missing data: 67.2651933701657
Taxon: choeroniscus | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: choeronycteris_mexicana | Num gaps: 6574 | Missing taxon?: N | % Missing data: 90.8011049723757
Taxon: chrotopterus_auritus | Num gaps: 5186 | Missing taxon?: N | % Missing data: 71.6298342541436
Taxon: cistugo_lesueuri | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cistugo_seabrae | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: coleura_afra | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: coleura_kibomalandy | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: coleura_seychellensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cormura_brevirostris | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: corynorhinus_mexicanus | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: corynorhinus_townsendii | Num gaps: 6492 | Missing taxon?: N | % Missing data: 89.6685082872928
Taxon: corynorhinus_townsendii_australis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 91.2707182320442
Taxon: cynomops | Num gaps: 5910 | Missing taxon?: N | % Missing data: 81.6298342541436
Taxon: cyttarops_alecto | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: artibeus_rava | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: desmodus_rotundus | Num gaps: 46 | Missing taxon?: N | % Missing data: 0.635359116022099
Taxon: diaemus_youngi | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: diclidurus_albus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: diclidurus_ingens | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: diclidurus_isabellus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: diclidurus_scutatus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: diphylla_ecaudata | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: ectophylla_alba | Num gaps: 5564 | Missing taxon?: N | % Missing data: 76.8508287292818
Taxon: emballonura_alecto | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: paremballonura_atrata | Num gaps: 6488 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: emballonura_beccarii | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: emballonura_dianae | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: emballonura_monticola | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: emballonura_raffrayana | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: emballonura_semicaudata | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: paremballonura_tiavato | Num gaps: 6488 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: eptesicus_bobrinskoi | Num gaps: 6510 | Missing taxon?: N | % Missing data: 89.9171270718232
Taxon: eptesicus_bottae | Num gaps: 5960 | Missing taxon?: N | % Missing data: 82.3204419889503
Taxon: eptesicus_brasiliensis | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_diminutus | Num gaps: 5984 | Missing taxon?: N | % Missing data: 82.6519337016575
Taxon: eptesicus_furinalis | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_fuscus | Num gaps: 5950 | Missing taxon?: N | % Missing data: 82.1823204419889
Taxon: eptesicus_gobiensis | Num gaps: 5956 | Missing taxon?: N | % Missing data: 82.2651933701657
Taxon: eptesicus_hottentotus | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: eptesicus_isabellinus_boscai | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_isabellinus_isabellinus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_nilssonii | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: vespadelus_regulus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: vespadelus_darlingtoni | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_serotinus_andersoni | Num gaps: 6510 | Missing taxon?: N | % Missing data: 89.9171270718232
Taxon: eptesicus_serotinus_mirza | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_serotinus_pachyomus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_serotinus_pallens | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_serotinus_turcomanus | Num gaps: 6708 | Missing taxon?: N | % Missing data: 92.6519337016575
Taxon: vespadelus_vulturnus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: erophylla_bombifrons | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: erophylla_sezekorni | Num gaps: 5886 | Missing taxon?: N | % Missing data: 81.2983425414365
Taxon: euderma_maculatum | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: eudiscopus_denticulus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_auripendulus | Num gaps: 5854 | Missing taxon?: N | % Missing data: 80.8563535911602
Taxon: eumops_bonariensis | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: eumops_dabbenei | Num gaps: 6604 | Missing taxon?: N | % Missing data: 91.2154696132597
Taxon: eumops_ferox | Num gaps: 6604 | Missing taxon?: N | % Missing data: 91.2154696132597
Taxon: eumops_glaucinus | Num gaps: 5852 | Missing taxon?: N | % Missing data: 80.828729281768
Taxon: eumops_floridanus | Num gaps: 6650 | Missing taxon?: N | % Missing data: 91.8508287292818
Taxon: eumops_hansae | Num gaps: 6610 | Missing taxon?: N | % Missing data: 91.2983425414365
Taxon: eumops_maurus | Num gaps: 6612 | Missing taxon?: N | % Missing data: 91.3259668508287
Taxon: eumops_patagonicus | Num gaps: 6604 | Missing taxon?: N | % Missing data: 91.2154696132597
Taxon: eumops_perotis | Num gaps: 5848 | Missing taxon?: N | % Missing data: 80.7734806629834
Taxon: eumops_underwoodi | Num gaps: 6616 | Missing taxon?: N | % Missing data: 91.3812154696133
Taxon: eumops_wilsoni | Num gaps: 6610 | Missing taxon?: N | % Missing data: 91.2983425414365
Taxon: falsistrellus_petersi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: furipterus_horrens | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: glauconycteris_argentata | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: glauconycteris_beatrix | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: glauconycteris_egeria | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: glauconycteris_poensis | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: glauconycteris_variegata | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glischropus_aquilus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glischropus_bucephalus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glischropus_tylopus | Num gaps: 6490 | Missing taxon?: N | % Missing data: 89.6408839779006
Taxon: glossophaga_commissarisi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glossophaga_leachii | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glossophaga_longirostris | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glossophaga_morenoi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glossophaga_soricina | Num gaps: 5848 | Missing taxon?: N | % Missing data: 80.7734806629834
Taxon: glyphonycteris_daviesi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: glyphonycteris_sylvestris | Num gaps: 5880 | Missing taxon?: N | % Missing data: 81.2154696132597
Taxon: harpiocephalus_harpia | Num gaps: 5912 | Missing taxon?: N | % Missing data: 81.6574585635359
Taxon: harpiocephalus_mordax | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: harpiola_isodon | Num gaps: 5912 | Missing taxon?: N | % Missing data: 81.6574585635359
Taxon: hesperoptenus_blanfordi | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: hesperoptenus_tomesi | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_macrotus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_magellanicus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: hsunycteris_cadenai | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: hsunycteris_pattoni | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: hsunycteris_thomasi | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: hylonycteris_underwoodi | Num gaps: 6644 | Missing taxon?: N | % Missing data: 91.767955801105
Taxon: hypsugo_alaschanicus | Num gaps: 6720 | Missing taxon?: N | % Missing data: 92.8176795580111
Taxon: hypsugo_anchietae | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsugo_ariel | Num gaps: 6642 | Missing taxon?: N | % Missing data: 91.7403314917127
Taxon: hypsugo_cadornae | Num gaps: 6486 | Missing taxon?: N | % Missing data: 89.585635359116
Taxon: hypsugo_eisentrauti | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsugo_savii | Num gaps: 5910 | Missing taxon?: N | % Missing data: 81.6298342541436
Taxon: ia_io | Num gaps: 5846 | Missing taxon?: N | % Missing data: 80.7458563535912
Taxon: idionycteris_phyllotis | Num gaps: 6490 | Missing taxon?: N | % Missing data: 89.6408839779006
Taxon: kerivoula_hardwickii | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: kerivoula_intermedia | Num gaps: 5790 | Missing taxon?: N | % Missing data: 79.9723756906077
Taxon: kerivoula_kachinensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: kerivoula_lenis | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: kerivoula_minuta | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: kerivoula_papillosa | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: kerivoula_pellucida | Num gaps: 5788 | Missing taxon?: N | % Missing data: 79.9447513812155
Taxon: kerivoula_titania | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: kerivoula_whiteheadi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: laephotis_botswanae | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: laephotis_namibensis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: laephotis_wintoni | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lasionycteris_noctivagans | Num gaps: 6664 | Missing taxon?: N | % Missing data: 92.0441988950276
Taxon: lasiurus_atratus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: lasiurus_blossevillii | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: lasiurus_borealis | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: lasiurus_cinereus | Num gaps: 6502 | Missing taxon?: N | % Missing data: 89.8066298342541
Taxon: lasiurus_cinereus_semotus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: lasiurus_ega | Num gaps: 6542 | Missing taxon?: N | % Missing data: 90.3591160220994
Taxon: lasiurus_intermedius | Num gaps: 6530 | Missing taxon?: N | % Missing data: 90.1933701657459
Taxon: lasiurus_seminolus | Num gaps: 6536 | Missing taxon?: N | % Missing data: 90.2762430939227
Taxon: lasiurus_xanthinus | Num gaps: 6514 | Missing taxon?: N | % Missing data: 89.9723756906077
Taxon: leptonycteris_curasoae | Num gaps: 5882 | Missing taxon?: N | % Missing data: 81.2430939226519
Taxon: leptonycteris_nivalis | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: leptonycteris_yerbabuenae | Num gaps: 6638 | Missing taxon?: N | % Missing data: 91.6850828729282
Taxon: lichonycteris_obscura | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: lionycteris_spurrelli | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_chocoana | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_concava | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_dekeyseri | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: lonchophylla_handleyi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_hesperia | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_mordax | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_orienticollina | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchophylla_robusta | Num gaps: 5894 | Missing taxon?: N | % Missing data: 81.4088397790055
Taxon: lonchorhina_aurita | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lonchorhina_inusitata | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: lonchorhina_orinocensis | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: lophostoma_brasiliense | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lophostoma_carrikeri | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lophostoma_evotis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lophostoma_schulzi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lophostoma_silvicolum | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: lophostoma_occidentalis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: macrophyllum_macrophyllum | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: macrotus_californicus | Num gaps: 6028 | Missing taxon?: N | % Missing data: 83.2596685082873
Taxon: macrotus_waterhousii | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: mesophylla_macconnelli | Num gaps: 4870 | Missing taxon?: N | % Missing data: 67.2651933701657
Taxon: micronycteris_brachyotis | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_brosseti | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_buriri | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_giovanniae | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_hirsuta | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_homezi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_matses | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_megalotis | Num gaps: 38 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: micronycteris_microtis | Num gaps: 5880 | Missing taxon?: N | % Missing data: 81.2154696132597
Taxon: micronycteris_minuta | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: trinycteris_nicefori | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_schmidtorum | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: micronycteris_yatesi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: mimon_cozumelae | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: mimon_crenulatum | Num gaps: 5794 | Missing taxon?: N | % Missing data: 80.0276243093923
Taxon: miniopterus_aelleni | Num gaps: 6496 | Missing taxon?: N | % Missing data: 89.7237569060773
Taxon: miniopterus_africanus | Num gaps: 6548 | Missing taxon?: N | % Missing data: 90.4419889502762
Taxon: miniopterus_australis | Num gaps: 6550 | Missing taxon?: N | % Missing data: 90.4696132596685
Taxon: miniopterus_fraterculus | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: miniopterus_fuliginosus | Num gaps: 5160 | Missing taxon?: N | % Missing data: 71.2707182320442
Taxon: miniopterus_fuscus | Num gaps: 6604 | Missing taxon?: N | % Missing data: 91.2154696132597
Taxon: miniopterus_gleni | Num gaps: 6492 | Missing taxon?: N | % Missing data: 89.6685082872928
Taxon: miniopterus_griffithsi | Num gaps: 6498 | Missing taxon?: N | % Missing data: 89.7513812154696
Taxon: miniopterus_griveaudi | Num gaps: 6482 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: miniopterus_inflatus | Num gaps: 5980 | Missing taxon?: N | % Missing data: 82.5966850828729
Taxon: miniopterus_maghrebensis | Num gaps: 6490 | Missing taxon?: N | % Missing data: 89.6408839779006
Taxon: miniopterus_magnater | Num gaps: 5792 | Missing taxon?: N | % Missing data: 80
Taxon: miniopterus_majori | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: miniopterus_manavi | Num gaps: 6492 | Missing taxon?: N | % Missing data: 89.6685082872928
Taxon: miniopterus_minor | Num gaps: 5792 | Missing taxon?: N | % Missing data: 80
Taxon: miniopterus_natalensis | Num gaps: 6484 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: miniopterus_petersoni | Num gaps: 6492 | Missing taxon?: N | % Missing data: 89.6685082872928
Taxon: miniopterus_propitristis | Num gaps: 6550 | Missing taxon?: N | % Missing data: 90.4696132596685
Taxon: miniopterus_pusillus | Num gaps: 7240 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_schreibersii | Num gaps: 5248 | Missing taxon?: N | % Missing data: 72.4861878453039
Taxon: miniopterus_schreibersii_pallidus | Num gaps: 6546 | Missing taxon?: N | % Missing data: 90.414364640884
Taxon: miniopterus_sororculus | Num gaps: 6488 | Missing taxon?: N | % Missing data: 89.6132596685083
