Parsing alignment lchiroptera_subt2_nt12cp ... ... 
Length alignment: 234986
Number of taxa: 634
Taxon: ametrida_centurio | Num gaps: 233630 | Missing taxon?: N | % Missing data: 99.4229443456206
Taxon: artibeus_toltecus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: balantiopteryx_infusca | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: balantiopteryx_io | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: balantiopteryx_plicata | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: barbastella_barbastellus | Num gaps: 233572 | Missing taxon?: N | % Missing data: 99.3982620241206
Taxon: barbastella_beijingensis | Num gaps: 233880 | Missing taxon?: N | % Missing data: 99.529333662431
Taxon: barbastella_leucomelas | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: brachyphylla_cavernarum | Num gaps: 233272 | Missing taxon?: N | % Missing data: 99.2705948439481
Taxon: brachyphylla_nana | Num gaps: 231594 | Missing taxon?: N | % Missing data: 98.556509749517
Taxon: brachyphylla_pumila | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: carollia_benkeithi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: carollia_brevicauda | Num gaps: 232650 | Missing taxon?: N | % Missing data: 99.005898223724
Taxon: carollia_castanea | Num gaps: 232280 | Missing taxon?: N | % Missing data: 98.8484420348446
Taxon: carollia_manu | Num gaps: 233788 | Missing taxon?: N | % Missing data: 99.4901823938447
Taxon: carollia_perspicillata | Num gaps: 229648 | Missing taxon?: N | % Missing data: 97.7283753074651
Taxon: carollia_sowelli | Num gaps: 233916 | Missing taxon?: N | % Missing data: 99.5446537240516
Taxon: carollia_subrufa | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: centronycteris_centralis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: centronycteris_maximiliani | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: centurio_senex | Num gaps: 231626 | Missing taxon?: N | % Missing data: 98.5701275820687
Taxon: centurio_senex_greenhalli | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: chaerephon_atsinanana | Num gaps: 234146 | Missing taxon?: N | % Missing data: 99.6425318955172
Taxon: chaerephon_jobimena | Num gaps: 234150 | Missing taxon?: N | % Missing data: 99.6442341245861
Taxon: chaerephon_leucogaster | Num gaps: 234146 | Missing taxon?: N | % Missing data: 99.6425318955172
Taxon: chaerephon_plicatus | Num gaps: 226942 | Missing taxon?: N | % Missing data: 96.5768173423098
Taxon: chaerephon_pumilus | Num gaps: 233564 | Missing taxon?: N | % Missing data: 99.3948575659826
Taxon: chaerephon_pumilus_s_l_tn_2014 | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: chaerephon_pusillus | Num gaps: 234154 | Missing taxon?: N | % Missing data: 99.6459363536551
Taxon: chalinolobus_gouldii | Num gaps: 233514 | Missing taxon?: N | % Missing data: 99.3735797026206
Taxon: chalinolobus_morio | Num gaps: 233580 | Missing taxon?: N | % Missing data: 99.4016664822585
Taxon: chalinolobus_nigrogriseus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: chalinolobus_tuberculatus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: cheiromeles | Num gaps: 234334 | Missing taxon?: N | % Missing data: 99.7225366617586
Taxon: chilonatalus_micropus | Num gaps: 233454 | Missing taxon?: N | % Missing data: 99.3480462665861
Taxon: chilonatalus_tumidifrons | Num gaps: 234082 | Missing taxon?: N | % Missing data: 99.6152962304137
Taxon: chiroderma_doriae | Num gaps: 233864 | Missing taxon?: N | % Missing data: 99.5225247461551
Taxon: chiroderma_improvisum | Num gaps: 233858 | Missing taxon?: N | % Missing data: 99.5199714025516
Taxon: chiroderma_salvini | Num gaps: 233862 | Missing taxon?: N | % Missing data: 99.5216736316206
Taxon: chiroderma_trinitatum | Num gaps: 234670 | Missing taxon?: N | % Missing data: 99.8655239035517
Taxon: chiroderma_villosum | Num gaps: 233774 | Missing taxon?: N | % Missing data: 99.4842245921034
Taxon: choeroniscus | Num gaps: 233276 | Missing taxon?: N | % Missing data: 99.2722970730171
Taxon: choeronycteris_mexicana | Num gaps: 234082 | Missing taxon?: N | % Missing data: 99.6152962304137
Taxon: chrotopterus_auritus | Num gaps: 231950 | Missing taxon?: N | % Missing data: 98.708008136655
Taxon: cistugo_lesueuri | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: cistugo_seabrae | Num gaps: 233584 | Missing taxon?: N | % Missing data: 99.4033687113275
Taxon: coleura_afra | Num gaps: 234524 | Missing taxon?: N | % Missing data: 99.8033925425345
Taxon: coleura_kibomalandy | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: coleura_seychellensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: cormura_brevirostris | Num gaps: 233956 | Missing taxon?: N | % Missing data: 99.5616760147413
Taxon: corynorhinus_mexicanus | Num gaps: 233570 | Missing taxon?: N | % Missing data: 99.3974109095861
Taxon: corynorhinus_townsendii | Num gaps: 233452 | Missing taxon?: N | % Missing data: 99.3471951520516
Taxon: corynorhinus_townsendii_australis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: cynomops | Num gaps: 234294 | Missing taxon?: N | % Missing data: 99.7055143710689
Taxon: cyttarops_alecto | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_rava | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: desmodus_rotundus | Num gaps: 224966 | Missing taxon?: N | % Missing data: 95.7359161822406
Taxon: diaemus_youngi | Num gaps: 233276 | Missing taxon?: N | % Missing data: 99.2722970730171
Taxon: diclidurus_albus | Num gaps: 234082 | Missing taxon?: N | % Missing data: 99.6152962304137
Taxon: diclidurus_ingens | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: diclidurus_isabellus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: diclidurus_scutatus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: diphylla_ecaudata | Num gaps: 233724 | Missing taxon?: N | % Missing data: 99.4629467287413
Taxon: ectophylla_alba | Num gaps: 233272 | Missing taxon?: N | % Missing data: 99.2705948439481
Taxon: emballonura_alecto | Num gaps: 234524 | Missing taxon?: N | % Missing data: 99.8033925425345
Taxon: paremballonura_atrata | Num gaps: 229612 | Missing taxon?: N | % Missing data: 97.7130552458444
Taxon: emballonura_beccarii | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: emballonura_dianae | Num gaps: 234524 | Missing taxon?: N | % Missing data: 99.8033925425345
Taxon: emballonura_monticola | Num gaps: 234524 | Missing taxon?: N | % Missing data: 99.8033925425345
Taxon: emballonura_raffrayana | Num gaps: 233096 | Missing taxon?: N | % Missing data: 99.1956967649136
Taxon: emballonura_semicaudata | Num gaps: 234524 | Missing taxon?: N | % Missing data: 99.8033925425345
Taxon: paremballonura_tiavato | Num gaps: 234524 | Missing taxon?: N | % Missing data: 99.8033925425345
Taxon: eptesicus_bobrinskoi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_bottae | Num gaps: 234208 | Missing taxon?: N | % Missing data: 99.6689164460861
Taxon: eptesicus_brasiliensis | Num gaps: 233510 | Missing taxon?: N | % Missing data: 99.3718774735516
Taxon: eptesicus_diminutus | Num gaps: 233580 | Missing taxon?: N | % Missing data: 99.4016664822585
Taxon: eptesicus_furinalis | Num gaps: 233482 | Missing taxon?: N | % Missing data: 99.3599618700689
Taxon: eptesicus_fuscus | Num gaps: 231218 | Missing taxon?: N | % Missing data: 98.3965002170342
Taxon: eptesicus_gobiensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_hottentotus | Num gaps: 233570 | Missing taxon?: N | % Missing data: 99.3974109095861
Taxon: eptesicus_isabellinus_boscai | Num gaps: 234286 | Missing taxon?: N | % Missing data: 99.702109912931
Taxon: eptesicus_isabellinus_isabellinus | Num gaps: 234288 | Missing taxon?: N | % Missing data: 99.7029610274655
Taxon: eptesicus_nilssonii | Num gaps: 233370 | Missing taxon?: N | % Missing data: 99.3122994561378
Taxon: vespadelus_regulus | Num gaps: 233514 | Missing taxon?: N | % Missing data: 99.3735797026206
Taxon: vespadelus_darlingtoni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eptesicus_serotinus_andersoni | Num gaps: 234290 | Missing taxon?: N | % Missing data: 99.7038121419999
Taxon: eptesicus_serotinus_mirza | Num gaps: 234292 | Missing taxon?: N | % Missing data: 99.7046632565344
Taxon: eptesicus_serotinus_pachyomus | Num gaps: 234390 | Missing taxon?: N | % Missing data: 99.7463678687241
Taxon: eptesicus_serotinus_pallens | Num gaps: 234288 | Missing taxon?: N | % Missing data: 99.7029610274655
Taxon: eptesicus_serotinus_turcomanus | Num gaps: 234286 | Missing taxon?: N | % Missing data: 99.702109912931
Taxon: vespadelus_vulturnus | Num gaps: 234166 | Missing taxon?: N | % Missing data: 99.651043040862
Taxon: erophylla_bombifrons | Num gaps: 234508 | Missing taxon?: N | % Missing data: 99.7965836262586
Taxon: erophylla_sezekorni | Num gaps: 230776 | Missing taxon?: N | % Missing data: 98.2084039049135
Taxon: euderma_maculatum | Num gaps: 233570 | Missing taxon?: N | % Missing data: 99.3974109095861
Taxon: eudiscopus_denticulus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_auripendulus | Num gaps: 231710 | Missing taxon?: N | % Missing data: 98.605874392517
Taxon: eumops_bonariensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_dabbenei | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_ferox | Num gaps: 234298 | Missing taxon?: N | % Missing data: 99.7072166001379
Taxon: eumops_glaucinus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_floridanus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_hansae | Num gaps: 234294 | Missing taxon?: N | % Missing data: 99.7055143710689
Taxon: eumops_maurus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_patagonicus | Num gaps: 234294 | Missing taxon?: N | % Missing data: 99.7055143710689
Taxon: eumops_perotis | Num gaps: 234244 | Missing taxon?: N | % Missing data: 99.6842365077068
Taxon: eumops_underwoodi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: eumops_wilsoni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: falsistrellus_petersi | Num gaps: 234488 | Missing taxon?: N | % Missing data: 99.7880724809138
Taxon: furipterus_horrens | Num gaps: 227326 | Missing taxon?: N | % Missing data: 96.7402313329305
Taxon: glauconycteris_argentata | Num gaps: 233508 | Missing taxon?: N | % Missing data: 99.3710263590171
Taxon: glauconycteris_beatrix | Num gaps: 233524 | Missing taxon?: N | % Missing data: 99.377835275293
Taxon: glauconycteris_egeria | Num gaps: 233518 | Missing taxon?: N | % Missing data: 99.3752819316895
Taxon: glauconycteris_poensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: glauconycteris_variegata | Num gaps: 232786 | Missing taxon?: N | % Missing data: 99.0637740120688
Taxon: glischropus_aquilus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: glischropus_bucephalus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: glischropus_tylopus | Num gaps: 234492 | Missing taxon?: N | % Missing data: 99.7897747099827
Taxon: glossophaga_commissarisi | Num gaps: 233862 | Missing taxon?: N | % Missing data: 99.5216736316206
Taxon: glossophaga_leachii | Num gaps: 234182 | Missing taxon?: N | % Missing data: 99.6578519571379
Taxon: glossophaga_longirostris | Num gaps: 233846 | Missing taxon?: N | % Missing data: 99.5148647153447
Taxon: glossophaga_morenoi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: glossophaga_soricina | Num gaps: 230856 | Missing taxon?: N | % Missing data: 98.2424484862928
Taxon: glyphonycteris_daviesi | Num gaps: 233272 | Missing taxon?: N | % Missing data: 99.2705948439481
Taxon: glyphonycteris_sylvestris | Num gaps: 233626 | Missing taxon?: N | % Missing data: 99.4212421165516
Taxon: harpiocephalus_harpia | Num gaps: 233438 | Missing taxon?: N | % Missing data: 99.3412373503102
Taxon: harpiocephalus_mordax | Num gaps: 234228 | Missing taxon?: N | % Missing data: 99.677427591431
Taxon: harpiola_isodon | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hesperoptenus_blanfordi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hesperoptenus_tomesi | Num gaps: 234202 | Missing taxon?: N | % Missing data: 99.6663631024827
Taxon: eptesicus_macrotus | Num gaps: 233510 | Missing taxon?: N | % Missing data: 99.3718774735516
Taxon: eptesicus_magellanicus | Num gaps: 233510 | Missing taxon?: N | % Missing data: 99.3718774735516
Taxon: hsunycteris_cadenai | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hsunycteris_pattoni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hsunycteris_thomasi | Num gaps: 232704 | Missing taxon?: N | % Missing data: 99.028878316155
Taxon: hylonycteris_underwoodi | Num gaps: 232214 | Missing taxon?: N | % Missing data: 98.8203552552067
Taxon: hypsugo_alaschanicus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsugo_anchietae | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsugo_ariel | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsugo_cadornae | Num gaps: 233584 | Missing taxon?: N | % Missing data: 99.4033687113275
Taxon: hypsugo_eisentrauti | Num gaps: 233510 | Missing taxon?: N | % Missing data: 99.3718774735516
Taxon: hypsugo_savii | Num gaps: 233524 | Missing taxon?: N | % Missing data: 99.377835275293
Taxon: ia_io | Num gaps: 227142 | Missing taxon?: N | % Missing data: 96.661928795758
Taxon: idionycteris_phyllotis | Num gaps: 233582 | Missing taxon?: N | % Missing data: 99.402517596793
Taxon: kerivoula_hardwickii | Num gaps: 233024 | Missing taxon?: N | % Missing data: 99.1650566416723
Taxon: kerivoula_intermedia | Num gaps: 234284 | Missing taxon?: N | % Missing data: 99.7012587983965
Taxon: kerivoula_kachinensis | Num gaps: 234212 | Missing taxon?: N | % Missing data: 99.6706186751551
Taxon: kerivoula_lenis | Num gaps: 233692 | Missing taxon?: N | % Missing data: 99.4493288961896
Taxon: kerivoula_minuta | Num gaps: 234284 | Missing taxon?: N | % Missing data: 99.7012587983965
Taxon: kerivoula_papillosa | Num gaps: 234080 | Missing taxon?: N | % Missing data: 99.6144451158792
Taxon: kerivoula_pellucida | Num gaps: 233574 | Missing taxon?: N | % Missing data: 99.3991131386551
Taxon: kerivoula_titania | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: kerivoula_whiteheadi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: laephotis_botswanae | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: laephotis_namibensis | Num gaps: 233508 | Missing taxon?: N | % Missing data: 99.3710263590171
Taxon: laephotis_wintoni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: lasionycteris_noctivagans | Num gaps: 233576 | Missing taxon?: N | % Missing data: 99.3999642531896
Taxon: lasiurus_atratus | Num gaps: 233524 | Missing taxon?: N | % Missing data: 99.377835275293
Taxon: lasiurus_blossevillii | Num gaps: 233554 | Missing taxon?: N | % Missing data: 99.3906019933102
Taxon: lasiurus_borealis | Num gaps: 233520 | Missing taxon?: N | % Missing data: 99.376133046224
Taxon: lasiurus_cinereus | Num gaps: 233158 | Missing taxon?: N | % Missing data: 99.2220813154826
Taxon: lasiurus_cinereus_semotus | Num gaps: 234516 | Missing taxon?: N | % Missing data: 99.7999880843965
Taxon: lasiurus_ega | Num gaps: 233536 | Missing taxon?: N | % Missing data: 99.3829419624999
Taxon: lasiurus_intermedius | Num gaps: 233570 | Missing taxon?: N | % Missing data: 99.3974109095861
Taxon: lasiurus_seminolus | Num gaps: 233538 | Missing taxon?: N | % Missing data: 99.3837930770344
Taxon: lasiurus_xanthinus | Num gaps: 233530 | Missing taxon?: N | % Missing data: 99.3803886188964
Taxon: leptonycteris_curasoae | Num gaps: 230790 | Missing taxon?: N | % Missing data: 98.2143617066549
Taxon: leptonycteris_nivalis | Num gaps: 234228 | Missing taxon?: N | % Missing data: 99.677427591431
Taxon: leptonycteris_yerbabuenae | Num gaps: 227538 | Missing taxon?: N | % Missing data: 96.8304494735857
Taxon: lichonycteris_obscura | Num gaps: 234310 | Missing taxon?: N | % Missing data: 99.7123232873448
Taxon: lionycteris_spurrelli | Num gaps: 233282 | Missing taxon?: N | % Missing data: 99.2748504166206
Taxon: lonchophylla_chocoana | Num gaps: 234182 | Missing taxon?: N | % Missing data: 99.6578519571379
Taxon: lonchophylla_concava | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: lonchophylla_dekeyseri | Num gaps: 234184 | Missing taxon?: N | % Missing data: 99.6587030716723
Taxon: lonchophylla_handleyi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: lonchophylla_hesperia | Num gaps: 233858 | Missing taxon?: N | % Missing data: 99.5199714025516
Taxon: lonchophylla_mordax | Num gaps: 234664 | Missing taxon?: N | % Missing data: 99.8629705599483
Taxon: lonchophylla_orienticollina | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: lonchophylla_robusta | Num gaps: 230782 | Missing taxon?: N | % Missing data: 98.2109572485169
Taxon: lonchorhina_aurita | Num gaps: 233272 | Missing taxon?: N | % Missing data: 99.2705948439481
Taxon: lonchorhina_inusitata | Num gaps: 233860 | Missing taxon?: N | % Missing data: 99.5208225170861
Taxon: lonchorhina_orinocensis | Num gaps: 233858 | Missing taxon?: N | % Missing data: 99.5199714025516
Taxon: lophostoma_brasiliense | Num gaps: 233274 | Missing taxon?: N | % Missing data: 99.2714459584826
Taxon: lophostoma_carrikeri | Num gaps: 233878 | Missing taxon?: N | % Missing data: 99.5284825478965
Taxon: lophostoma_evotis | Num gaps: 233328 | Missing taxon?: N | % Missing data: 99.2944260509137
Taxon: lophostoma_schulzi | Num gaps: 233272 | Missing taxon?: N | % Missing data: 99.2705948439481
Taxon: lophostoma_silvicolum | Num gaps: 231322 | Missing taxon?: N | % Missing data: 98.4407581728273
Taxon: lophostoma_occidentalis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: macrophyllum_macrophyllum | Num gaps: 233274 | Missing taxon?: N | % Missing data: 99.2714459584826
Taxon: macrotus_californicus | Num gaps: 232322 | Missing taxon?: N | % Missing data: 98.8663154400688
Taxon: macrotus_waterhousii | Num gaps: 231610 | Missing taxon?: N | % Missing data: 98.5633186657928
Taxon: mesophylla_macconnelli | Num gaps: 234078 | Missing taxon?: N | % Missing data: 99.6135940013448
Taxon: micronycteris_brachyotis | Num gaps: 233274 | Missing taxon?: N | % Missing data: 99.2714459584826
Taxon: micronycteris_brosseti | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: micronycteris_buriri | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: micronycteris_giovanniae | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: micronycteris_hirsuta | Num gaps: 233274 | Missing taxon?: N | % Missing data: 99.2714459584826
Taxon: micronycteris_homezi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: micronycteris_matses | Num gaps: 233864 | Missing taxon?: N | % Missing data: 99.5225247461551
Taxon: micronycteris_megalotis | Num gaps: 232966 | Missing taxon?: N | % Missing data: 99.1403743201723
Taxon: micronycteris_microtis | Num gaps: 230354 | Missing taxon?: N | % Missing data: 98.0288187381376
Taxon: micronycteris_minuta | Num gaps: 233276 | Missing taxon?: N | % Missing data: 99.2722970730171
Taxon: trinycteris_nicefori | Num gaps: 232710 | Missing taxon?: N | % Missing data: 99.0314316597585
Taxon: micronycteris_schmidtorum | Num gaps: 233276 | Missing taxon?: N | % Missing data: 99.2722970730171
Taxon: micronycteris_yatesi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: mimon_cozumelae | Num gaps: 233858 | Missing taxon?: N | % Missing data: 99.5199714025516
Taxon: mimon_crenulatum | Num gaps: 233298 | Missing taxon?: N | % Missing data: 99.2816593328964
Taxon: miniopterus_aelleni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_africanus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_australis | Num gaps: 233580 | Missing taxon?: N | % Missing data: 99.4016664822585
Taxon: miniopterus_fraterculus | Num gaps: 232084 | Missing taxon?: N | % Missing data: 98.7650328104653
Taxon: miniopterus_fuliginosus | Num gaps: 230150 | Missing taxon?: N | % Missing data: 97.9420050556203
Taxon: miniopterus_fuscus | Num gaps: 234168 | Missing taxon?: N | % Missing data: 99.6518941553965
Taxon: miniopterus_gleni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_griffithsi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_griveaudi | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_inflatus | Num gaps: 233582 | Missing taxon?: N | % Missing data: 99.402517596793
Taxon: miniopterus_maghrebensis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_magnater | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_majori | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_manavi | Num gaps: 228442 | Missing taxon?: N | % Missing data: 97.2151532431719
Taxon: miniopterus_minor | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_natalensis | Num gaps: 232652 | Missing taxon?: N | % Missing data: 99.0067493382584
Taxon: miniopterus_petersoni | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_propitristis | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_pusillus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_schreibersii | Num gaps: 224510 | Missing taxon?: N | % Missing data: 95.5418620683785
Taxon: miniopterus_schreibersii_pallidus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_sororculus | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: miniopterus_tristis | Num gaps: 233580 | Missing taxon?: N | % Missing data: 99.4016664822585
Taxon: molossops_mattogrossensis | Num gaps: 234294 | Missing taxon?: N | % Missing data: 99.7055143710689
Taxon: molossops_temminckii | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: molossus_ater | Num gaps: 234986 | Missing taxon?: Y | % Missing data: 100
Taxon: molossus_molossus | Num gaps: 234080 | Missing taxon?: N | % Missing data: 99.6144451158792
