Parsing alignment euarchonta_nt12cp ... ... 
Length alignment: 193708
Number of taxa: 486
Taxon: allenopithecus_nigroviridis | Num gaps: 185272 | Missing taxon?: N | % Missing data: 95.6449914304004
Taxon: cacajao_calvus_novaesi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_calvus_rubicundus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_calvus_ucayalli | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_hosomi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_melanocephalus | Num gaps: 192256 | Missing taxon?: N | % Missing data: 99.2504181551614
Taxon: cacajao_rubicundus | Num gaps: 191996 | Missing taxon?: N | % Missing data: 99.1161955107688
Taxon: plecturocebus_brunneus | Num gaps: 192976 | Missing taxon?: N | % Missing data: 99.6221116319409
Taxon: plecturocebus_cupreus | Num gaps: 173894 | Missing taxon?: N | % Missing data: 89.7712020154046
Taxon: plecturocebus_donacophilus | Num gaps: 192350 | Missing taxon?: N | % Missing data: 99.2989448035187
Taxon: plecturocebus_hoffmannsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cheracebus_lugens | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: plecturocebus_moloch | Num gaps: 177594 | Missing taxon?: N | % Missing data: 91.6812934932992
Taxon: callicebus_personatus | Num gaps: 193130 | Missing taxon?: N | % Missing data: 99.7016127366965
Taxon: callicebus_personatus_nigrifrons | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cheracebus_purinus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cheracebus_torquatus | Num gaps: 192682 | Missing taxon?: N | % Missing data: 99.4703367955892
Taxon: callimico_goeldii | Num gaps: 180122 | Missing taxon?: N | % Missing data: 92.9863505895472
Taxon: callithrix_argentata | Num gaps: 190386 | Missing taxon?: N | % Missing data: 98.2850475974147
Taxon: callithrix_aurita | Num gaps: 193230 | Missing taxon?: N | % Missing data: 99.7532368306936
Taxon: callithrix_emiliae | Num gaps: 193144 | Missing taxon?: N | % Missing data: 99.7088401098561
Taxon: callithrix_geoffroyi | Num gaps: 188888 | Missing taxon?: N | % Missing data: 97.5117186693374
Taxon: callithrix_humeralifera | Num gaps: 192978 | Missing taxon?: N | % Missing data: 99.6231441138208
Taxon: callithrix_jacchus | Num gaps: 18548 | Missing taxon?: N | % Missing data: 9.57523695459145
Taxon: callithrix_kuhlii | Num gaps: 192342 | Missing taxon?: N | % Missing data: 99.2948148759989
Taxon: callithrix_mauesi | Num gaps: 193460 | Missing taxon?: N | % Missing data: 99.8719722468871
Taxon: callithrix_penicillata | Num gaps: 193062 | Missing taxon?: N | % Missing data: 99.6665083527784
Taxon: callithrix_pygmaea | Num gaps: 185874 | Missing taxon?: N | % Missing data: 95.9557684762632
Taxon: callithrix_saterei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cebus_albifrons | Num gaps: 176656 | Missing taxon?: N | % Missing data: 91.1970594916059
Taxon: cebus_capucinus | Num gaps: 191058 | Missing taxon?: N | % Missing data: 98.6319615090755
Taxon: cebus_kaapori | Num gaps: 193414 | Missing taxon?: N | % Missing data: 99.8482251636484
Taxon: cebus_olivaceus | Num gaps: 191428 | Missing taxon?: N | % Missing data: 98.822970656865
Taxon: cercocebus_agilis | Num gaps: 191320 | Missing taxon?: N | % Missing data: 98.767216635348
Taxon: cercocebus_atys | Num gaps: 173720 | Missing taxon?: N | % Missing data: 89.6813760918496
Taxon: cercocebus_atys_lunulatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercocebus_chrysogaster | Num gaps: 186368 | Missing taxon?: N | % Missing data: 96.2107915006092
Taxon: cercocebus_galeritus | Num gaps: 193038 | Missing taxon?: N | % Missing data: 99.6541185702191
Taxon: cercocebus_torquatus | Num gaps: 187822 | Missing taxon?: N | % Missing data: 96.9614058273277
Taxon: cercopithecus_mitis_albotorquatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_erythrarchus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_francescae | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_kolbi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_labiatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_moloneyi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_monoides | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_ascanius | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_katangae | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_schmidti | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_ascanius_whitesidei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_campbelli | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_cephus | Num gaps: 192376 | Missing taxon?: N | % Missing data: 99.312367067958
Taxon: cercopithecus_cephus_cephodes | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_cephus_ngottoensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_denti | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_diana | Num gaps: 190100 | Missing taxon?: N | % Missing data: 98.1374026885828
Taxon: cercopithecus_mitis_doggetti | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_dryas | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_erythrogaster_pococki | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_erythrotis_camerunensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_erythrotis_erythrotis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_hamlyni | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_kandti | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_lhoesti | Num gaps: 193046 | Missing taxon?: N | % Missing data: 99.6582484977389
Taxon: cercopithecus_mitis | Num gaps: 186624 | Missing taxon?: N | % Missing data: 96.3429491812419
Taxon: cercopithecus_mitis_boutourlinii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_heymansi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_opisthostictus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mitis_stuhlmanni | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_mona | Num gaps: 190830 | Missing taxon?: N | % Missing data: 98.514258574762
Taxon: cercopithecus_neglectus | Num gaps: 191966 | Missing taxon?: N | % Missing data: 99.1007082825696
Taxon: cercopithecus_nictitans_martini | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_nictitans_nictitans | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_petaurista_buettikoferi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_petaurista_petaurista | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_grayi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_nigripes | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_pogonias | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_pogonias_schwarzianus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_preussi_insularis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_preussi_preussi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_roloway | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_solatus | Num gaps: 192040 | Missing taxon?: N | % Missing data: 99.1389101121275
Taxon: cercopithecus_wolfi | Num gaps: 169570 | Missing taxon?: N | % Missing data: 87.5389761909678
Taxon: cercopithecus_wolfi_elegans | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cercopithecus_wolfi_pyrogaster | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cheirogaleus_crossleyi | Num gaps: 193462 | Missing taxon?: N | % Missing data: 99.873004728767
Taxon: cheirogaleus_lavasoensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cheirogaleus_major | Num gaps: 192148 | Missing taxon?: N | % Missing data: 99.1946641336445
Taxon: cheirogaleus_medius | Num gaps: 190262 | Missing taxon?: N | % Missing data: 98.2210337208582
Taxon: cheirogaleus_sibreei | Num gaps: 193462 | Missing taxon?: N | % Missing data: 99.873004728767
Taxon: chiropotes_albinasus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropotes_chiropotes | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropotes_chiropotes_sagulata | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: chiropotes_israelita | Num gaps: 192988 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: chiropotes_satanas | Num gaps: 191300 | Missing taxon?: N | % Missing data: 98.7568918165486
Taxon: chiropotes_utahickae | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: chlorocebus_aethiops | Num gaps: 160276 | Missing taxon?: N | % Missing data: 82.7410328948727
Taxon: chlorocebus_cynosuros | Num gaps: 193414 | Missing taxon?: N | % Missing data: 99.8482251636484
Taxon: chlorocebus_djamdjamensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: chlorocebus_pygerythrus | Num gaps: 191662 | Missing taxon?: N | % Missing data: 98.9437710368183
Taxon: chlorocebus_sabaeus | Num gaps: 12598 | Missing taxon?: N | % Missing data: 6.503603361761
Taxon: chlorocebus_tantalus | Num gaps: 191592 | Missing taxon?: N | % Missing data: 98.9076341710203
Taxon: colobus_angolensis | Num gaps: 189756 | Missing taxon?: N | % Missing data: 97.9598158052326
Taxon: colobus_angolensis_palliatus | Num gaps: 192036 | Missing taxon?: N | % Missing data: 99.1368451483676
Taxon: colobus_guereza | Num gaps: 146342 | Missing taxon?: N | % Missing data: 75.5477316373098
Taxon: colobus_guereza_caudatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_guereza_kikuyuensis | Num gaps: 192988 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: colobus_guereza_matschiei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_guereza_occidentalis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_polykomos | Num gaps: 185200 | Missing taxon?: N | % Missing data: 95.6078220827224
Taxon: colobus_satanas_satanas | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: colobus_vellerosus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: cynocephalus_volans | Num gaps: 181548 | Missing taxon?: N | % Missing data: 93.7225101699465
Taxon: daubentonia_madagascariensis | Num gaps: 181502 | Missing taxon?: N | % Missing data: 93.6987630867078
Taxon: dendrogale_melanura | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: dendrogale_murina | Num gaps: 192746 | Missing taxon?: N | % Missing data: 99.5033762157474
Taxon: erythrocebus_patas | Num gaps: 170552 | Missing taxon?: N | % Missing data: 88.0459247940199
Taxon: eulemur_albifrons | Num gaps: 191936 | Missing taxon?: N | % Missing data: 99.0852210543705
Taxon: eulemur_cinereiceps | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: eulemur_coronatus | Num gaps: 192346 | Missing taxon?: N | % Missing data: 99.2968798397588
Taxon: eulemur_flavifrons | Num gaps: 192316 | Missing taxon?: N | % Missing data: 99.2813926115597
Taxon: eulemur_collaris | Num gaps: 190464 | Missing taxon?: N | % Missing data: 98.3253143907324
Taxon: eulemur_fulvus_fulvus | Num gaps: 191230 | Missing taxon?: N | % Missing data: 98.7207549507506
Taxon: eulemur_fulvus_mayottensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: eulemur_macaco_macaco | Num gaps: 192578 | Missing taxon?: N | % Missing data: 99.4166477378322
Taxon: eulemur_mongoz | Num gaps: 192316 | Missing taxon?: N | % Missing data: 99.2813926115597
Taxon: eulemur_rubriventer | Num gaps: 192838 | Missing taxon?: N | % Missing data: 99.5508703822248
Taxon: eulemur_rufifrons | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: eulemur_rufus | Num gaps: 192324 | Missing taxon?: N | % Missing data: 99.2855225390794
Taxon: eulemur_sanfordi | Num gaps: 192922 | Missing taxon?: N | % Missing data: 99.5942346211824
Taxon: euoticus_elegantulus | Num gaps: 190942 | Missing taxon?: N | % Missing data: 98.5720775600388
Taxon: galago_alleni | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galago_gabonensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_granti | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galago_matschiei | Num gaps: 192318 | Missing taxon?: N | % Missing data: 99.2824250934396
Taxon: galago_moholi | Num gaps: 191848 | Missing taxon?: N | % Missing data: 99.039791851653
Taxon: galago_senegalensis | Num gaps: 189626 | Missing taxon?: N | % Missing data: 97.8927044830363
Taxon: galago_senegalensis_braccatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galago_senegalensis_senegalensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_cocos | Num gaps: 192962 | Missing taxon?: N | % Missing data: 99.6148842587813
Taxon: galagoides_demidoff | Num gaps: 190696 | Missing taxon?: N | % Missing data: 98.4450822888058
Taxon: galagoides_demidoff_murinus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_orinus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_rondoensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_thomasi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_zanzibaricus_udzungwensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galagoides_zanzibaricus_zanzibaricus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: galeopterus_variegatus | Num gaps: 179974 | Missing taxon?: N | % Missing data: 92.9099469304314
Taxon: galeopterus_variegatus_peninsulae | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: gorilla_beringei_graueri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: gorilla_gorilla | Num gaps: 15114 | Missing taxon?: N | % Missing data: 7.8024655667293
Taxon: hapalemur_aureus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hapalemur_griseus | Num gaps: 191444 | Missing taxon?: N | % Missing data: 98.8312305119045
Taxon: hapalemur_griseus_alaotrensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hapalemur_griseus_meridionalis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hapalemur_griseus_occidentalis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: homo_sapiens | Num gaps: 2936 | Missing taxon?: N | % Missing data: 1.51568339975633
Taxon: hoolock_hoolock | Num gaps: 185726 | Missing taxon?: N | % Missing data: 95.8793648171475
Taxon: hoolock_leuconedys | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_agilis | Num gaps: 162176 | Missing taxon?: N | % Missing data: 83.7218906808185
Taxon: hylobates_agilis_unko | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_alibarbis | Num gaps: 191526 | Missing taxon?: N | % Missing data: 98.8735622689822
Taxon: hylobates_klossii | Num gaps: 192634 | Missing taxon?: N | % Missing data: 99.4455572304706
Taxon: hylobates_lar | Num gaps: 146236 | Missing taxon?: N | % Missing data: 75.4930100976728
Taxon: hylobates_lar_carpenteri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_lar_entelloides | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_lar_vestitus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_moloch | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_muelleri | Num gaps: 189060 | Missing taxon?: N | % Missing data: 97.6005121110124
Taxon: hylobates_muelleri_abbotti | Num gaps: 188644 | Missing taxon?: N | % Missing data: 97.3857558799843
Taxon: hylobates_muelleri_funereus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: hylobates_pileatus | Num gaps: 179254 | Missing taxon?: N | % Missing data: 92.5382534536519
Taxon: indri_indri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lagothrix_cana | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lagothrix_lagotricha | Num gaps: 176310 | Missing taxon?: N | % Missing data: 91.0184401263758
Taxon: lagothrix_lugens | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lagothrix_poeppigii | Num gaps: 193062 | Missing taxon?: N | % Missing data: 99.6665083527784
Taxon: lemur_catta | Num gaps: 175948 | Missing taxon?: N | % Missing data: 90.8315609061061
Taxon: leontopithecus_chrysomelas | Num gaps: 186142 | Missing taxon?: N | % Missing data: 96.0941210481756
Taxon: leontopithecus_rosalia | Num gaps: 185964 | Missing taxon?: N | % Missing data: 96.0022301608607
Taxon: lepilemur_aeeclis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_ankaranensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_dorsalis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_edwardsi | Num gaps: 189804 | Missing taxon?: N | % Missing data: 97.9845953703512
Taxon: lepilemur_hubbardorum | Num gaps: 193012 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: lepilemur_jamesi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_leucopus | Num gaps: 193010 | Missing taxon?: N | % Missing data: 99.6396638238999
Taxon: lepilemur_microdon | Num gaps: 193020 | Missing taxon?: N | % Missing data: 99.6448262332996
Taxon: lepilemur_mitsinjoensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_mittermeieri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_mustelinus | Num gaps: 193012 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: lepilemur_otto | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_petteri | Num gaps: 193012 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: lepilemur_randrianasoloi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_ruficaudatus | Num gaps: 192344 | Missing taxon?: N | % Missing data: 99.2958473578789
Taxon: lepilemur_sahamalazensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_seali | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lepilemur_septentrionalis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: lophocebus_aterrimus | Num gaps: 189800 | Missing taxon?: N | % Missing data: 97.9825304065914
Taxon: loris_lydekkerianus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: loris_tardigradus | Num gaps: 190678 | Missing taxon?: N | % Missing data: 98.4357899518863
Taxon: loris_lydekkerianus_nordicus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_arctoides | Num gaps: 184096 | Missing taxon?: N | % Missing data: 95.0378920849939
Taxon: macaca_assamensis | Num gaps: 185716 | Missing taxon?: N | % Missing data: 95.8742024077477
Taxon: macaca_brunnescens | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_cyclopis | Num gaps: 192810 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_fascicularis | Num gaps: 125672 | Missing taxon?: N | % Missing data: 64.8770314080988
Taxon: macaca_fuscata | Num gaps: 180432 | Missing taxon?: N | % Missing data: 93.1463852809383
Taxon: macaca_hecki | Num gaps: 192810 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_leonina | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_maura | Num gaps: 192810 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_mulatta | Num gaps: 17504 | Missing taxon?: N | % Missing data: 9.0362814132612
Taxon: macaca_mulatta_lasiotus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_nemestrina | Num gaps: 180190 | Missing taxon?: N | % Missing data: 93.0214549734652
Taxon: macaca_nigra | Num gaps: 192106 | Missing taxon?: N | % Missing data: 99.1729820141657
Taxon: macaca_nigrescens | Num gaps: 193444 | Missing taxon?: N | % Missing data: 99.8637123918475
Taxon: macaca_ochreata | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_pagensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_radiata | Num gaps: 193444 | Missing taxon?: N | % Missing data: 99.8637123918475
Taxon: macaca_siberu | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: macaca_silenus | Num gaps: 192516 | Missing taxon?: N | % Missing data: 99.384640799554
Taxon: macaca_sinica | Num gaps: 192810 | Missing taxon?: N | % Missing data: 99.5364156359056
Taxon: macaca_sylvanus | Num gaps: 186700 | Missing taxon?: N | % Missing data: 96.3821834926797
