Parsing alignment marsupialia_mt3cp ... ... 
Length alignment: 3639
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 975 | Missing taxon?: N | % Missing data: 26.7930750206101
Taxon: echymipera_kalubu | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: echymipera_kalubu_cockerelli | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_kalubu_oriomo | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_rufescens | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: echymipera_rufescens_australis | Num gaps: 51 | Missing taxon?: N | % Missing data: 1.40148392415499
Taxon: glironia_venusta | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: gracilinanus_aceramarcae | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: gracilinanus_agilis | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: gracilinanus_emiliae | Num gaps: 2751 | Missing taxon?: N | % Missing data: 75.5976916735367
Taxon: gracilinanus_microtarsus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: gymnobelideus_leadbeateri | Num gaps: 3294 | Missing taxon?: N | % Missing data: 90.5193734542457
Taxon: hemibelideus_lemuroides | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: hyladelphys_kalinowskii | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: hypsiprymnodon_moschatus | Num gaps: 310 | Missing taxon?: N | % Missing data: 8.51882385270679
Taxon: isoodon_auratus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: isoodon_auratus_barrowensis | Num gaps: 3259 | Missing taxon?: N | % Missing data: 89.5575707611981
Taxon: isoodon_macrourus | Num gaps: 36 | Missing taxon?: N | % Missing data: 0.989282769991756
Taxon: isoodon_macrourus_moresbyensis | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: isoodon_obesulus_affinis | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_fusciventer | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_nautica | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: isoodon_obesulus_peninsulae | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: lagorchestes_conspicillatus | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: lagorchestes_hirsutus | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: lagostrophus_fasciatus | Num gaps: 42 | Missing taxon?: N | % Missing data: 1.15416323165705
Taxon: lasiorhinus_krefftii | Num gaps: 309 | Missing taxon?: N | % Missing data: 8.49134377576257
Taxon: lasiorhinus_latifrons | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: lestodelphys_halli | Num gaps: 2683 | Missing taxon?: N | % Missing data: 73.72904644133
Taxon: lestoros_inca | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: lutreolina_crassicaudata | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: macropus_agilis | Num gaps: 2912 | Missing taxon?: N | % Missing data: 80.0219840615554
Taxon: macropus_antilopinus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: macropus_dorsalis | Num gaps: 3035 | Missing taxon?: N | % Missing data: 83.4020335256939
Taxon: macropus_eugenii | Num gaps: 44 | Missing taxon?: N | % Missing data: 1.20912338554548
Taxon: macropus_fuliginosus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: macropus_giganteus | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: macropus_irma | Num gaps: 2592 | Missing taxon?: N | % Missing data: 71.2283594394064
Taxon: macropus_parma | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: macropus_parryi | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: macropus_robustus | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: macropus_rufogriseus | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: macropus_rufogriseus_banksianus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: macropus_rufus | Num gaps: 2592 | Missing taxon?: N | % Missing data: 71.2283594394064
Taxon: macrotis_lagotis | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: marmosa_lepida | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_mexicana | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_mexicana_zeledoni | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosa_murina | Num gaps: 306 | Missing taxon?: N | % Missing data: 8.40890354492993
Taxon: marmosa_macrotarsus | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_waterhousei | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_robinsoni | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_isthmica | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_simonsi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_rubra | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_tyleriana | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosa_xerophila | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosops_dorothea | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosops_impavidus | Num gaps: 2690 | Missing taxon?: N | % Missing data: 73.9214069799395
Taxon: marmosops_incanus | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosops_noctivagus | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: marmosops_pakaraimae | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosops_parvidens | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosops_paulensis | Num gaps: 3256 | Missing taxon?: N | % Missing data: 89.4751305303655
Taxon: marmosops_pinheiroi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: metachirus_nudicaudatus | Num gaps: 41 | Missing taxon?: N | % Missing data: 1.12668315471283
Taxon: marmosa_micoureus_constantiae | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_micoureus_demerarae | Num gaps: 306 | Missing taxon?: N | % Missing data: 8.40890354492993
Taxon: marmosa_micoureus_paraguayana | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: marmosa_micoureus_regina | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: micromurexia_habbema | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: microperoryctes_aplini | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: microperoryctes_longicauda | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: microperoryctes_longicauda_magnus | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: microperoryctes_longicauda_ornatus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: microperoryctes_papuensis | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: monodelphis_adusta | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_americana | Num gaps: 3262 | Missing taxon?: N | % Missing data: 89.6400109920308
Taxon: monodelphis_arlindoi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_brevicaudata | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_dimidiata | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: monodelphis_domestica | Num gaps: 40 | Missing taxon?: N | % Missing data: 1.09920307776862
Taxon: monodelphis_emiliae | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_gardneri | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_glirina | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_handleyi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_iheringi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_kunsi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_osgoodi | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: monodelphis_palliolata | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_peruviana | Num gaps: 3365 | Missing taxon?: N | % Missing data: 92.470458917285
Taxon: monodelphis_reigi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_sanctaerosae | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_scalops | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_theresa | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: monodelphis_touan | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: monodelphis_umbristriata | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: murexchinus_melanurus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: murexia_longicaudata | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: murexia_longicaudata_aspera | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: myoictis_leucura | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: myoictis_melas | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: myoictis_wallacei | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: myoictis_wavicus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: myrmecobius_fasciatus | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: neophascogale_lorentzii | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: ningaui_ridei | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: ningaui_timealeyi | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: ningaui_yvonnae | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: notoryctes_caurinus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: notoryctes_typhlops | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: onychogalea_fraenata | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: onychogalea_unguifera | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: paramurexia_rothschildi | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: parantechinus_apicalis | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: perameles_bougainville | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: perameles_bougainville_notina | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: perameles_eremiana | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: perameles_gunnii | Num gaps: 47 | Missing taxon?: N | % Missing data: 1.29156361637813
Taxon: perameles_nasuta | Num gaps: 307 | Missing taxon?: N | % Missing data: 8.43638362187414
Taxon: perameles_nasuta_pallescens | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: peroryctes_broadbenti | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: peroryctes_raffrayana | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: petauroides_volans | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: petaurus_abidi | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurus_breviceps | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: petaurus_norfolcensis | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: petrogale_assimilis | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_brachyotis | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: petrogale_brachyotis_victoriae | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: petrogale_burbidgei | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_concinna | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_herberti | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_inornata | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_lateralis | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_lateralis_pearsoni | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_mareeba | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: petrogale_penicillata | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_persephone | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_purpureicollis | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_rothschildi | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petrogale_xanthopus | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: petrogale_xanthopus_celeris | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: petropseudes_dahli | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: phalanger_carmelitae | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: phalanger_gymnotis | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: phalanger_lullulae | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: phalanger_orientalis | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: phalanger_sericeus | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: phalanger_vestitus | Num gaps: 35 | Missing taxon?: N | % Missing data: 0.961802693047541
Taxon: phascogale_calura | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: phascogale_tapoatafa | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: phascolarctos_cinereus | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: phascolosorex_dorsalis | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: murexia_naso | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: philander_frenatus | Num gaps: 307 | Missing taxon?: N | % Missing data: 8.43638362187414
Taxon: philander_mcilhennyi | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: philander_opossum | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: planigale_gilesi | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: planigale_ingrami | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: planigale_maculata | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: planigale_maculata_sinualis | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: planigale_novaeguineae | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: planigale_tenuirostris | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: potorous_gilbertii | Num gaps: 3200 | Missing taxon?: N | % Missing data: 87.9362462214894
Taxon: potorous_longipes | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: potorous_tridactylus | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: potorous_tridactylus_apicalis | Num gaps: 3198 | Missing taxon?: N | % Missing data: 87.881286067601
Taxon: potorous_tridactylus_trisulcatus | Num gaps: 3198 | Missing taxon?: N | % Missing data: 87.881286067601
Taxon: pseudantechinus_bilarni | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: pseudantechinus_macdonnellensis | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: pseudantechinus_mimulus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: pseudantechinus_ningbing | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: pseudantechinus_roryi | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: pseudantechinus_woolleyae | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: pseudocheirus_peregrinus | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: pseudochirops_albertisii | Num gaps: 310 | Missing taxon?: N | % Missing data: 8.51882385270679
Taxon: pseudochirops_archeri | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: pseudochirops_corinnae | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: pseudochirops_cupreus | Num gaps: 2913 | Missing taxon?: N | % Missing data: 80.0494641384996
Taxon: pseudochirulus_canescens | Num gaps: 307 | Missing taxon?: N | % Missing data: 8.43638362187414
Taxon: pseudochirulus_caroli | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: pseudochirulus_forbesi | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: pseudochirulus_herbertensis | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: pseudochirulus_mayeri | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: rhyncholestes_raphanurus | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: rhynchomeles_prattorum | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: sarcophilus_harrisii | Num gaps: 40 | Missing taxon?: N | % Missing data: 1.09920307776862
Taxon: setonix_brachyurus | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: sminthopsis_aitkeni | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_archeri | Num gaps: 3259 | Missing taxon?: N | % Missing data: 89.5575707611981
Taxon: sminthopsis_bindi | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_butleri | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_crassicaudata | Num gaps: 40 | Missing taxon?: N | % Missing data: 1.09920307776862
Taxon: sminthopsis_dolichura | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: sminthopsis_douglasi | Num gaps: 39 | Missing taxon?: N | % Missing data: 1.0717230008244
Taxon: sminthopsis_froggatti | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_gilberti | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_granulipes | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_griseoventer | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_hirtipes | Num gaps: 3260 | Missing taxon?: N | % Missing data: 89.5850508381424
Taxon: sminthopsis_leucopus_ferruginifrons | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_leucopus_leucopus | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_longicaudata | Num gaps: 3259 | Missing taxon?: N | % Missing data: 89.5575707611981
Taxon: sminthopsis_macroura | Num gaps: 2940 | Missing taxon?: N | % Missing data: 80.7914262159934
Taxon: sminthopsis_murina | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_murina_tatei | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_ooldea | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_psammophila | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: sminthopsis_stalkeri | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_virginiae | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
