Parsing alignment lchiroptera_subt1_nt12cp ... ... 
Length alignment: 222499
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 218995 | Missing taxon?: N | % Missing data: 98.4251614613998
Taxon: desmalopex_leucopterus | Num gaps: 219589 | Missing taxon?: N | % Missing data: 98.6921289533886
Taxon: desmalopex_microleucopterus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: dobsonia_inermis | Num gaps: 219599 | Missing taxon?: N | % Missing data: 98.6966233556106
Taxon: dobsonia_minor | Num gaps: 220467 | Missing taxon?: N | % Missing data: 99.086737468483
Taxon: dobsonia_moluccensis | Num gaps: 219577 | Missing taxon?: N | % Missing data: 98.6867356707221
Taxon: dobsonia_pannietensis | Num gaps: 222181 | Missing taxon?: N | % Missing data: 99.8570780093394
Taxon: dobsonia_praedatrix | Num gaps: 219251 | Missing taxon?: N | % Missing data: 98.5402181582839
Taxon: dobsonia_viridis | Num gaps: 221529 | Missing taxon?: N | % Missing data: 99.5640429844629
Taxon: dyacopterus_spadiceus | Num gaps: 219609 | Missing taxon?: N | % Missing data: 98.7011177578326
Taxon: eidolon_dupreanum | Num gaps: 221317 | Missing taxon?: N | % Missing data: 99.4687616573558
Taxon: eidolon_helvum | Num gaps: 219267 | Missing taxon?: N | % Missing data: 98.5474092018391
Taxon: eonycteris_robusta | Num gaps: 219569 | Missing taxon?: N | % Missing data: 98.6831401489445
Taxon: eonycteris_spelaea | Num gaps: 210331 | Missing taxon?: N | % Missing data: 94.5312113762309
Taxon: epomophorus_gambianus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: epomophorus_wahlbergi | Num gaps: 219591 | Missing taxon?: N | % Missing data: 98.693027833833
Taxon: epomops_franqueti | Num gaps: 219249 | Missing taxon?: N | % Missing data: 98.5393192778395
Taxon: haplonycteris_fischeri | Num gaps: 219597 | Missing taxon?: N | % Missing data: 98.6957244751662
Taxon: harpyionycteris_celebensis | Num gaps: 220327 | Missing taxon?: N | % Missing data: 99.0238158373746
Taxon: harpyionycteris_whiteheadi | Num gaps: 219565 | Missing taxon?: N | % Missing data: 98.6813423880557
Taxon: hipposideros_abae | Num gaps: 220533 | Missing taxon?: N | % Missing data: 99.1164005231484
Taxon: hipposideros_aff_ruber | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_alongensis_alongensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_alongensis_sungi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_armiger | Num gaps: 200985 | Missing taxon?: N | % Missing data: 90.3307430595194
Taxon: hipposideros_ater | Num gaps: 221847 | Missing taxon?: N | % Missing data: 99.7069649751235
Taxon: hipposideros_beatus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_bicolor | Num gaps: 221815 | Missing taxon?: N | % Missing data: 99.692582888013
Taxon: hipposideros_bicolor_131_khz_ | Num gaps: 221993 | Missing taxon?: N | % Missing data: 99.7725832475652
Taxon: hipposideros_bicolor_142_khz_ | Num gaps: 221993 | Missing taxon?: N | % Missing data: 99.7725832475652
Taxon: hipposideros_caffer | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_caffer_tephrus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_calcaratus | Num gaps: 221839 | Missing taxon?: N | % Missing data: 99.7033694533459
Taxon: hipposideros_cervinus | Num gaps: 221837 | Missing taxon?: N | % Missing data: 99.7024705729014
Taxon: hipposideros_cineraceus | Num gaps: 221995 | Missing taxon?: N | % Missing data: 99.7734821280096
Taxon: hipposideros_commersoni | Num gaps: 208999 | Missing taxon?: N | % Missing data: 93.9325570002562
Taxon: hipposideros_coronatus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_coxi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_cyclops | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_demissus | Num gaps: 221837 | Missing taxon?: N | % Missing data: 99.7024705729014
Taxon: hipposideros_diadema | Num gaps: 221839 | Missing taxon?: N | % Missing data: 99.7033694533459
Taxon: hipposideros_dinops | Num gaps: 221867 | Missing taxon?: N | % Missing data: 99.7159537795675
Taxon: hipposideros_doriae | Num gaps: 221999 | Missing taxon?: N | % Missing data: 99.7752798888984
Taxon: hipposideros_dyacorum | Num gaps: 221995 | Missing taxon?: N | % Missing data: 99.7734821280096
Taxon: hipposideros_fuliginosus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_fulvus | Num gaps: 221391 | Missing taxon?: N | % Missing data: 99.5020202337988
Taxon: hipposideros_galeritus | Num gaps: 220027 | Missing taxon?: N | % Missing data: 98.8889837707136
Taxon: hipposideros_gigas | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_griffini | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_halophyllus | Num gaps: 220027 | Missing taxon?: N | % Missing data: 98.8889837707136
Taxon: hipposideros_jonesi | Num gaps: 220531 | Missing taxon?: N | % Missing data: 99.115501642704
Taxon: hipposideros_khaokhouayensis | Num gaps: 221993 | Missing taxon?: N | % Missing data: 99.7725832475652
Taxon: hipposideros_larvatus | Num gaps: 211809 | Missing taxon?: N | % Missing data: 95.1954840246473
Taxon: hipposideros_larvatus_s_l_sjp_2012 | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_lekaguli | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_lylei | Num gaps: 221995 | Missing taxon?: N | % Missing data: 99.7734821280096
Taxon: hipposideros_obscurus | Num gaps: 221995 | Missing taxon?: N | % Missing data: 99.7734821280096
Taxon: hipposideros_pelingensis | Num gaps: 222001 | Missing taxon?: N | % Missing data: 99.7761787693428
Taxon: hipposideros_pomona | Num gaps: 217091 | Missing taxon?: N | % Missing data: 97.5694272783249
Taxon: hipposideros_pratti | Num gaps: 215577 | Missing taxon?: N | % Missing data: 96.8889747819091
Taxon: hipposideros_pygmaeus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_ridleyi | Num gaps: 221993 | Missing taxon?: N | % Missing data: 99.7725832475652
Taxon: hipposideros_rotalis | Num gaps: 221995 | Missing taxon?: N | % Missing data: 99.7734821280096
Taxon: hipposideros_ruber | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_scutinares | Num gaps: 221993 | Missing taxon?: N | % Missing data: 99.7725832475652
Taxon: hipposideros_speoris | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_terasensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_pendleburyi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_turpis_turpis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_vittatus | Num gaps: 220515 | Missing taxon?: N | % Missing data: 99.1083105991488
Taxon: hypsignathus_monstrosus | Num gaps: 219565 | Missing taxon?: N | % Missing data: 98.6813423880557
Taxon: latidens_salimalii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: macroderma_gigas | Num gaps: 218941 | Missing taxon?: N | % Missing data: 98.4008916894009
Taxon: macroglossus_minimus | Num gaps: 219251 | Missing taxon?: N | % Missing data: 98.5402181582839
Taxon: macroglossus_sobrinus | Num gaps: 219569 | Missing taxon?: N | % Missing data: 98.6831401489445
Taxon: megaderma_lyra | Num gaps: 203443 | Missing taxon?: N | % Missing data: 91.4354671256949
Taxon: megaderma_spasma | Num gaps: 216751 | Missing taxon?: N | % Missing data: 97.4166176027757
Taxon: megaerops_ecaudatus | Num gaps: 219599 | Missing taxon?: N | % Missing data: 98.6966233556106
Taxon: megaerops_kusnotoi | Num gaps: 219587 | Missing taxon?: N | % Missing data: 98.6912300729442
Taxon: megaerops_wetmorei | Num gaps: 220467 | Missing taxon?: N | % Missing data: 99.086737468483
Taxon: megaloglossus_azagnyi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: megaloglossus_woermanni | Num gaps: 219271 | Missing taxon?: N | % Missing data: 98.5492069627279
Taxon: melonycteris_fardoulisi | Num gaps: 219253 | Missing taxon?: N | % Missing data: 98.5411170387283
Taxon: melonycteris_melanops | Num gaps: 219243 | Missing taxon?: N | % Missing data: 98.5366226365062
Taxon: micropteropus_pusillus | Num gaps: 219569 | Missing taxon?: N | % Missing data: 98.6831401489445
Taxon: mirimiri_acrodonta | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_angolensis | Num gaps: 219605 | Missing taxon?: N | % Missing data: 98.6993199969438
Taxon: myonycteris_angolensis_ruwenzorii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_angolensis_smithii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_brachycephala | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_leptodon | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_relicta | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: myonycteris_torquata | Num gaps: 219267 | Missing taxon?: N | % Missing data: 98.5474092018391
Taxon: nanonycteris_veldkampii | Num gaps: 219569 | Missing taxon?: N | % Missing data: 98.6831401489445
Taxon: notopteris_macdonaldi | Num gaps: 222175 | Missing taxon?: N | % Missing data: 99.8543813680061
Taxon: nyctimene_aello | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_albiventer | Num gaps: 209481 | Missing taxon?: N | % Missing data: 94.1491871873582
Taxon: nyctimene_cephalotes | Num gaps: 218549 | Missing taxon?: N | % Missing data: 98.2247111222972
Taxon: nyctimene_certans | Num gaps: 222195 | Missing taxon?: N | % Missing data: 99.8633701724502
Taxon: nyctimene_major | Num gaps: 222205 | Missing taxon?: N | % Missing data: 99.8678645746722
Taxon: nyctimene_robinsoni | Num gaps: 219247 | Missing taxon?: N | % Missing data: 98.538420397395
Taxon: nyctimene_vizcaccia | Num gaps: 219241 | Missing taxon?: N | % Missing data: 98.5357237560618
Taxon: otopteropus_cartilagonodus | Num gaps: 219579 | Missing taxon?: N | % Missing data: 98.6876345511665
Taxon: paranyctimene_raptor | Num gaps: 222187 | Missing taxon?: N | % Missing data: 99.8597746506726
Taxon: paratriaenops_auritus | Num gaps: 220951 | Missing taxon?: N | % Missing data: 99.3042665360294
Taxon: paratriaenops_furculus | Num gaps: 220979 | Missing taxon?: N | % Missing data: 99.3168508622511
Taxon: penthetor_lucasi | Num gaps: 219447 | Missing taxon?: N | % Missing data: 98.6283084418357
Taxon: ptenochirus_jagori | Num gaps: 219575 | Missing taxon?: N | % Missing data: 98.6858367902777
Taxon: pteralopex_atrata | Num gaps: 222197 | Missing taxon?: N | % Missing data: 99.8642690528946
Taxon: pteralopex_taki | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_admiralitatum | Num gaps: 222175 | Missing taxon?: N | % Missing data: 99.8543813680061
Taxon: pteropus_aldabrensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_alecto | Num gaps: 206957 | Missing taxon?: N | % Missing data: 93.0148000665172
Taxon: pteropus_anetianus | Num gaps: 220165 | Missing taxon?: N | % Missing data: 98.9510065213776
Taxon: pteropus_capistratus_ennisae | Num gaps: 222177 | Missing taxon?: N | % Missing data: 99.8552802484506
Taxon: pteropus_conspicillatus | Num gaps: 221781 | Missing taxon?: N | % Missing data: 99.6773019204581
Taxon: pteropus_dasymallus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_faunulus | Num gaps: 222187 | Missing taxon?: N | % Missing data: 99.8597746506726
Taxon: pteropus_giganteus | Num gaps: 210337 | Missing taxon?: N | % Missing data: 94.5339080175641
Taxon: pteropus_gilliardorum | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_griseus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_hypomelanus | Num gaps: 219033 | Missing taxon?: N | % Missing data: 98.4422401898435
Taxon: pteropus_livingstonii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_lombocensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_lylei | Num gaps: 220467 | Missing taxon?: N | % Missing data: 99.086737468483
Taxon: pteropus_macrotis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mahaganus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mariannus | Num gaps: 220461 | Missing taxon?: N | % Missing data: 99.0840408271498
Taxon: pteropus_molossinus | Num gaps: 220455 | Missing taxon?: N | % Missing data: 99.0813441858166
Taxon: pteropus_neohibernicus | Num gaps: 220165 | Missing taxon?: N | % Missing data: 98.9510065213776
Taxon: pteropus_niger | Num gaps: 222181 | Missing taxon?: N | % Missing data: 99.8570780093394
Taxon: pteropus_ornatus | Num gaps: 222183 | Missing taxon?: N | % Missing data: 99.8579768897838
Taxon: pteropus_pelagicus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pelewensis_pelewensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_personatus~ | Num gaps: 222175 | Missing taxon?: N | % Missing data: 99.8543813680061
Taxon: pteropus_pohlei | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_poliocephalus | Num gaps: 220465 | Missing taxon?: N | % Missing data: 99.0858385880386
Taxon: pteropus_pumilus | Num gaps: 219887 | Missing taxon?: N | % Missing data: 98.8260621396051
Taxon: pteropus_rayneri | Num gaps: 220473 | Missing taxon?: N | % Missing data: 99.0894341098162
Taxon: pteropus_rodricensis | Num gaps: 221927 | Missing taxon?: N | % Missing data: 99.7429201928997
Taxon: pteropus_rufus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_samoensis | Num gaps: 220159 | Missing taxon?: N | % Missing data: 98.9483098800444
Taxon: pteropus_samoensis_nawaiensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_scapulatus | Num gaps: 221469 | Missing taxon?: N | % Missing data: 99.5370765711307
Taxon: pteropus_seychellensis_comorensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_seychellensis_seychellensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_speciosus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_temminckii | Num gaps: 220149 | Missing taxon?: N | % Missing data: 98.9438154778224
Taxon: pteropus_tonganus | Num gaps: 219347 | Missing taxon?: N | % Missing data: 98.5833644196154
Taxon: pteropus_vampyrus | Num gaps: 70861 | Missing taxon?: N | % Missing data: 31.8477835855442
Taxon: pteropus_vetulus | Num gaps: 222177 | Missing taxon?: N | % Missing data: 99.8552802484506
Taxon: pteropus_voeltzkowi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_woodfordi | Num gaps: 220147 | Missing taxon?: N | % Missing data: 98.942916597378
Taxon: pteropus_yapensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_affinis | Num gaps: 218865 | Missing taxon?: N | % Missing data: 98.3667342325134
Taxon: rhinolophus_alcyone | Num gaps: 220889 | Missing taxon?: N | % Missing data: 99.2764012422528
Taxon: rhinolophus_arcuatus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_blasii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_blythi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_celebensis | Num gaps: 221763 | Missing taxon?: N | % Missing data: 99.6692119964584
Taxon: rhinolophus_clivosus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_cornutus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_creaghi | Num gaps: 211083 | Missing taxon?: N | % Missing data: 94.8691904233278
Taxon: rhinolophus_darlingi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_darlingi_barbetonensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_darlingi_damarensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_denti | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_eloquens | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_euryale | Num gaps: 220573 | Missing taxon?: N | % Missing data: 99.1343781320365
Taxon: rhinolophus_euryotis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_ferrumequinum | Num gaps: 211307 | Missing taxon?: N | % Missing data: 94.9698650331013
Taxon: rhinolophus_ferrumequinum_korai | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_ferrumequinum_quelpartis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_formosae | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_fumigatus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_hildebrandti | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_hipposideros | Num gaps: 215275 | Missing taxon?: N | % Missing data: 96.7532438348038
Taxon: rhinolophus_inops_arcuatus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_inops_subrufus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_landeri | Num gaps: 220889 | Missing taxon?: N | % Missing data: 99.2764012422528
Taxon: rhinolophus_luctus | Num gaps: 220657 | Missing taxon?: N | % Missing data: 99.1721311107016
Taxon: rhinolophus_macrotis | Num gaps: 214677 | Missing taxon?: N | % Missing data: 96.4844785819262
Taxon: rhinolophus_malayanus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_marshalli | Num gaps: 221355 | Missing taxon?: N | % Missing data: 99.4858403857995
Taxon: rhinolophus_megaphyllus | Num gaps: 221839 | Missing taxon?: N | % Missing data: 99.7033694533459
Taxon: rhinolophus_mehelyi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_monoceros | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_paradoxolophus | Num gaps: 215627 | Missing taxon?: N | % Missing data: 96.9114467930193
Taxon: rhinolophus_pearsonii | Num gaps: 216997 | Missing taxon?: N | % Missing data: 97.5271798974377
Taxon: rhinolophus_perditus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_philippinensis | Num gaps: 221823 | Missing taxon?: N | % Missing data: 99.6961784097906
Taxon: rhinolophus_pumilus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_pusillus | Num gaps: 212441 | Missing taxon?: N | % Missing data: 95.4795302450798
Taxon: rhinolophus_rex | Num gaps: 214797 | Missing taxon?: N | % Missing data: 96.5384114085906
Taxon: rhinolophus_rouxii | Num gaps: 221327 | Missing taxon?: N | % Missing data: 99.4732560595778
Taxon: rhinolophus_ruwenzorii | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_shameli | Num gaps: 220531 | Missing taxon?: N | % Missing data: 99.115501642704
Taxon: rhinolophus_simulator | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_sinicus | Num gaps: 210805 | Missing taxon?: N | % Missing data: 94.7442460415552
Taxon: rhinolophus_stheno | Num gaps: 217435 | Missing taxon?: N | % Missing data: 97.7240347147628
Taxon: rhinolophus_subrufus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_swinnyi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_thomasi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_trifoliatus | Num gaps: 220547 | Missing taxon?: N | % Missing data: 99.1226926862593
Taxon: rhinolophus_virgo | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_xinanzhongguoensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_yunnanensis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinonicteris_aurantia | Num gaps: 220563 | Missing taxon?: N | % Missing data: 99.1298837298145
Taxon: rhinopoma_hadramauticum | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinopoma_hardwickii | Num gaps: 209251 | Missing taxon?: N | % Missing data: 94.0458159362514
Taxon: rhinopoma_hardwickii_cystops | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinopoma_microphyllum | Num gaps: 221617 | Missing taxon?: N | % Missing data: 99.6035937240167
Taxon: rhinopoma_muscatellum | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: rousettus_aegyptiacus | Num gaps: 219555 | Missing taxon?: N | % Missing data: 98.6768479858336
Taxon: rousettus_amplexicaudatus | Num gaps: 218451 | Missing taxon?: N | % Missing data: 98.1806659805213
Taxon: rousettus_leschenaultii | Num gaps: 193867 | Missing taxon?: N | % Missing data: 87.1316275578767
Taxon: rousettus_madagascariensis | Num gaps: 219605 | Missing taxon?: N | % Missing data: 98.6993199969438
Taxon: rousettus_obliviosus | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: scotonycteris_bergmansi | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: scotonycteris_ophiodon | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: scotonycteris_zenkeri | Num gaps: 219563 | Missing taxon?: N | % Missing data: 98.6804435076113
Taxon: scotonycteris_occidentalis | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: sphaerias_blanfordi | Num gaps: 219597 | Missing taxon?: N | % Missing data: 98.6957244751662
Taxon: stenonycteris_lanosus | Num gaps: 216983 | Missing taxon?: N | % Missing data: 97.5208877343269
Taxon: styloctenium_mindorensis | Num gaps: 220573 | Missing taxon?: N | % Missing data: 99.1343781320365
Taxon: styloctenium_wallacei | Num gaps: 221871 | Missing taxon?: N | % Missing data: 99.7177515404564
Taxon: syconycteris_australis | Num gaps: 219267 | Missing taxon?: N | % Missing data: 98.5474092018391
Taxon: thoopterus_nigrescens | Num gaps: 221551 | Missing taxon?: N | % Missing data: 99.5739306693513
Taxon: triaenops_afer | Num gaps: 222499 | Missing taxon?: Y | % Missing data: 100
Taxon: triaenops_menamena | Num gaps: 220537 | Missing taxon?: N | % Missing data: 99.1181982840372
Taxon: triaenops_persicus | Num gaps: 220555 | Missing taxon?: N | % Missing data: 99.1262882080369
Taxon: ornithorhynchus_anatinus | Num gaps: 134983 | Missing taxon?: N | % Missing data: 60.6667895136607
Taxon: zaglossus_bruijni | Num gaps: 221849 | Missing taxon?: N | % Missing data: 99.7078638555679
Taxon: tachyglossus_aculeatus | Num gaps: 215161 | Missing taxon?: N | % Missing data: 96.7020076494726
Taxon: myotis_lucifugus | Num gaps: 69519 | Missing taxon?: N | % Missing data: 31.2446348073474

Number of missing taxa = 93
Number of present taxa = 163
Total number of taxa = 256

Eq: num_gaps / ( num_taxa * len_aln ) --> (20692407+35314373)/((93+163)*222499)
Avg missing data before removing missing taxa = 0.983269517503449 = 98.3269517503449%
Eq: num_gaps / ( num_taxa * len_aln ) --> 35314373/(163*222499)
Avg missing data after removing missing taxa = 0.973723904790694 = 97.3723904790694%

