Parsing alignment laurasiatheria_therest_mt12cp ... ... 
Length alignment: 7320
Number of taxa: 659
Taxon: acinonyx_jubatus | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: canis_lupus_laniger | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: canis_lupaster~ | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: canis_lupus_lycaon~ | Num gaps: 1414 | Missing taxon?: N | % Missing data: 19.3169398907104
Taxon: lupulella_mesomelas~ | Num gaps: 660 | Missing taxon?: N | % Missing data: 9.01639344262295
Taxon: lupulella_mesomelas_elongae~ | Num gaps: 6866 | Missing taxon?: N | % Missing data: 93.7978142076503
Taxon: canis_rufus | Num gaps: 6174 | Missing taxon?: N | % Missing data: 84.344262295082
Taxon: canis_simensis | Num gaps: 6108 | Missing taxon?: N | % Missing data: 83.4426229508197
Taxon: caracal_caracal | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: catopuma_badia | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: catopuma_temminckii | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: ceratotherium_simum | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: ceratotherium_simum_cottoni | Num gaps: 6766 | Missing taxon?: N | % Missing data: 92.431693989071
Taxon: cerdocyon_thous | Num gaps: 6866 | Missing taxon?: N | % Missing data: 93.7978142076503
Taxon: chimarrogale_himalayica | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: chimarrogale_phaeura | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: chimarrogale_platycephala | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: chimarrogale_styani | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: chodsigoa_caovansunga | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: chodsigoa_hypsibia | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: chodsigoa_parca | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: chodsigoa_sodalis | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: chrotogale_owstoni | Num gaps: 5888 | Missing taxon?: N | % Missing data: 80.4371584699454
Taxon: chrysocyon_brachyurus | Num gaps: 120 | Missing taxon?: N | % Missing data: 1.63934426229508
Taxon: civettictis_civetta | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: condylura_cristata | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: conepatus | Num gaps: 6076 | Missing taxon?: N | % Missing data: 83.0054644808743
Taxon: congosorex_phillipsorum | Num gaps: 6644 | Missing taxon?: N | % Missing data: 90.7650273224044
Taxon: crocidura_aleksandrisi | Num gaps: 6656 | Missing taxon?: N | % Missing data: 90.9289617486339
Taxon: crocidura_attenuata | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_baileyi | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: crocidura_batakorum | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_batesi | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_beatus | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_beccarii | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_brunnea | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_buettikoferi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_canariensis | Num gaps: 6216 | Missing taxon?: N | % Missing data: 84.9180327868852
Taxon: crocidura_caspica~ | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_crenata | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_crossei | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_cyanea | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_douceti | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_dsinezumi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_eburnea | Num gaps: 6566 | Missing taxon?: N | % Missing data: 89.6994535519126
Taxon: crocidura_fingui | Num gaps: 6570 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: crocidura_flavescens | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_foetida | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_fuliginosa | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: crocidura_fulvastra | Num gaps: 6566 | Missing taxon?: N | % Missing data: 89.6994535519126
Taxon: crocidura_fumosa | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_fuscomurina | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_glassi | Num gaps: 6644 | Missing taxon?: N | % Missing data: 90.7650273224044
Taxon: crocidura_goliath | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_grandiceps | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_grassei | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_grayi | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_grayi_halconus | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_hikmiya | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_hildegardeae | Num gaps: 6626 | Missing taxon?: N | % Missing data: 90.5191256830601
Taxon: crocidura_hirta | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_horsfieldii | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_ichnusae | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_indochinensis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 90.2732240437158
Taxon: crocidura_jouvenetae | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_lamottei | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_lasiura | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_lepidura | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_leucodon | Num gaps: 6136 | Missing taxon?: N | % Missing data: 83.8251366120219
Taxon: crocidura_levicula | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_luna | Num gaps: 6580 | Missing taxon?: N | % Missing data: 89.8907103825137
Taxon: crocidura_lusitania | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_macmillani | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_malayana | Num gaps: 6578 | Missing taxon?: N | % Missing data: 89.8633879781421
Taxon: crocidura_mariquensis | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_maxi | Num gaps: 5888 | Missing taxon?: N | % Missing data: 80.4371584699454
Taxon: crocidura_mdumai | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_mindorus | Num gaps: 116 | Missing taxon?: N | % Missing data: 1.58469945355191
Taxon: crocidura_miya | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: crocidura_monacha | Num gaps: 6656 | Missing taxon?: N | % Missing data: 90.9289617486339
Taxon: crocidura_monax | Num gaps: 6630 | Missing taxon?: N | % Missing data: 90.5737704918033
Taxon: crocidura_monticola | Num gaps: 6566 | Missing taxon?: N | % Missing data: 89.6994535519126
Taxon: crocidura_munissii | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_muricauda | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_musseri | Num gaps: 5880 | Missing taxon?: N | % Missing data: 80.327868852459
Taxon: crocidura_nanilla | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_neglecta | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_negligens | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_negrina | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_newmarki | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_nigripes | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_nigripes_lipara | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_nimbae | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_nimbasilvanus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_ninoyi | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_obscurior | Num gaps: 6572 | Missing taxon?: N | % Missing data: 89.7814207650273
Taxon: crocidura_olivieri | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_olivieri_cara | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_olivieri_giffardi | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_olivieri_kivu | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_olivieri_spurelli | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_olivieri_sururae | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_orientalis | Num gaps: 120 | Missing taxon?: N | % Missing data: 1.63934426229508
Taxon: crocidura_orientalis_lawuana~ | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_orii | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_palawanensis | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_panayensis | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crocidura_paradoxura | Num gaps: 6582 | Missing taxon?: N | % Missing data: 89.9180327868852
Taxon: crocidura_parvipes | Num gaps: 6614 | Missing taxon?: N | % Missing data: 90.3551912568306
Taxon: crocidura_phanluongi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_phuquocensis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_poensis | Num gaps: 6612 | Missing taxon?: N | % Missing data: 90.327868852459
Taxon: crocidura_rapax_kurodai | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_rhoditis | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_roosevelti | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_russula | Num gaps: 126 | Missing taxon?: N | % Missing data: 1.72131147540984
Taxon: crocidura_shantungensis | Num gaps: 120 | Missing taxon?: N | % Missing data: 1.63934426229508
Taxon: crocidura_sibirica~ | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_sicula | Num gaps: 6656 | Missing taxon?: N | % Missing data: 90.9289617486339
Taxon: crocidura_silacea | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_sokolovi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_somalica | Num gaps: 6582 | Missing taxon?: N | % Missing data: 89.9180327868852
Taxon: crocidura_suaveolens | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_suaveolens_gueldenstaedtii | Num gaps: 5882 | Missing taxon?: N | % Missing data: 80.3551912568306
Taxon: crocidura_suaveolens_mimula | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_tanakae | Num gaps: 5872 | Missing taxon?: N | % Missing data: 80.2185792349727
Taxon: crocidura_tansaniana | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_tarfayensis | Num gaps: 6664 | Missing taxon?: N | % Missing data: 91.0382513661202
Taxon: crocidura_theresae | Num gaps: 6586 | Missing taxon?: N | % Missing data: 89.9726775956284
Taxon: crocidura_usambarae | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_viaria | Num gaps: 6566 | Missing taxon?: N | % Missing data: 89.6994535519126
Taxon: crocidura_watasei | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_wimmeri | Num gaps: 6698 | Missing taxon?: N | % Missing data: 91.5027322404372
Taxon: crocidura_wuchihensis | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crocidura_zaitsevi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_zarudnyi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: crocidura_zimmermanni | Num gaps: 6658 | Missing taxon?: N | % Missing data: 90.9562841530055
Taxon: crocuta_crocuta | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: crossarchus_alexandri | Num gaps: 5876 | Missing taxon?: N | % Missing data: 80.2732240437158
Taxon: crossarchus_obscurus | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: crossarchus_platycephalus | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptoprocta_ferox | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: cryptotis_alticola | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_goldmani | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_magna | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_mayensis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_mexicana | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_nelsoni | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_obscura | Num gaps: 6564 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: cryptotis_parva | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_peregrina | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cryptotis_phillipsii | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: cuon_alpinus | Num gaps: 120 | Missing taxon?: N | % Missing data: 1.63934426229508
Taxon: cuon_alpinus_lepturus | Num gaps: 648 | Missing taxon?: N | % Missing data: 8.85245901639344
Taxon: cynictis_penicillata | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: cynogale_bennettii | Num gaps: 5890 | Missing taxon?: N | % Missing data: 80.4644808743169
Taxon: cystophora_cristata | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: desmana_moschata | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: dicerorhinus_sumatrensis | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: dicerorhinus_sumatrensis_harrissoni | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: diceros_bicornis | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: diceros_bicornis_michaeli | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: diceros_bicornis_minor | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: diplomesodon_pulchellum | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: dusicyon_australis | Num gaps: 6866 | Missing taxon?: N | % Missing data: 93.7978142076503
Taxon: dusicyon_avus | Num gaps: 6866 | Missing taxon?: N | % Missing data: 93.7978142076503
Taxon: dymecodon_pilirostris | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: echinosorex_gymnura | Num gaps: 114 | Missing taxon?: N | % Missing data: 1.55737704918033
Taxon: eira_barbara~ | Num gaps: 5878 | Missing taxon?: N | % Missing data: 80.3005464480874
Taxon: enhydra_lutris | Num gaps: 112 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: enhydra_lutris_kenyoni | Num gaps: 4842 | Missing taxon?: N | % Missing data: 66.1475409836066
Taxon: episoriculus_caudatus | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: episoriculus_caudatus_soluensis | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: episoriculus_fumidus~ | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: episoriculus_leucops | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: episoriculus_macrurus | Num gaps: 5466 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: equus_asinus | Num gaps: 120 | Missing taxon?: N | % Missing data: 1.63934426229508
Taxon: equus_asinus_africanus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: equus_asinus_somalicus | Num gaps: 652 | Missing taxon?: N | % Missing data: 8.90710382513661
Taxon: equus_burchellii | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: equus_burchellii_antiquorum~ | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: equus_burchellii_chapmani | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_burchellii_cuninghamei~ | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: equus_caballus | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_grevyi | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_hemionus | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_hemionus_kulan | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_hemionus_onager | Num gaps: 652 | Missing taxon?: N | % Missing data: 8.90710382513661
Taxon: equus_kiang~ | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_przewalskii | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_zebra | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: equus_zebra_hartmannae | Num gaps: 124 | Missing taxon?: N | % Missing data: 1.69398907103825
Taxon: erignathus_barbatus | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: erinaceus_amurensis | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: erinaceus_concolor | Num gaps: 6566 | Missing taxon?: N | % Missing data: 89.6994535519126
Taxon: erinaceus_europaeus | Num gaps: 128 | Missing taxon?: N | % Missing data: 1.74863387978142
Taxon: erinaceus_roumanicus | Num gaps: 6570 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: eumetopias_jubatus | Num gaps: 114 | Missing taxon?: N | % Missing data: 1.55737704918033
Taxon: eupleres_goudotii | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: euroscaptor_klossi | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: euroscaptor_longirostris | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: euroscaptor_malayana | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: euroscaptor_mizura | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: euroscaptor_parvidens | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: euroscaptor_subanura | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: felis_catus~ | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: felis_chaus | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: felis_margarita | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: felis_nigripes | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: felis_silvestris | Num gaps: 118 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: felis_silvestris_bieti | Num gaps: 646 | Missing taxon?: N | % Missing data: 8.82513661202186
Taxon: felis_silvestris_cafra | Num gaps: 6114 | Missing taxon?: N | % Missing data: 83.5245901639344
Taxon: felis_silvestris_lybica | Num gaps: 646 | Missing taxon?: N | % Missing data: 8.82513661202186
Taxon: felis_silvestris_ornata | Num gaps: 6114 | Missing taxon?: N | % Missing data: 83.5245901639344
Taxon: feroculus_feroculus | Num gaps: 6712 | Missing taxon?: N | % Missing data: 91.6939890710382
Taxon: fossa_fossana | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: galemys_pyrenaicus | Num gaps: 116 | Missing taxon?: N | % Missing data: 1.58469945355191
Taxon: galerella_nigrata | Num gaps: 6594 | Missing taxon?: N | % Missing data: 90.0819672131148
Taxon: galerella_pulverulenta | Num gaps: 5872 | Missing taxon?: N | % Missing data: 80.2185792349727
Taxon: galerella_sanguinea | Num gaps: 5884 | Missing taxon?: N | % Missing data: 80.3825136612022
Taxon: galictis_cuja | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: galictis_vittata | Num gaps: 6562 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: galidia_elegans | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
Taxon: galidictis_fasciata | Num gaps: 5868 | Missing taxon?: N | % Missing data: 80.1639344262295
