Parsing alignment laurasiatheria_cetartiodactyla_mt3cp ... ... 
Length alignment: 3620
Number of taxa: 431
Taxon: addax_nasomaculatus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cephalorhynchus_commersonii | Num gaps: 293 | Missing taxon?: N | % Missing data: 8.0939226519337
Taxon: cephalorhynchus_eutropia | Num gaps: 285 | Missing taxon?: N | % Missing data: 7.87292817679558
Taxon: cephalorhynchus_heavisidii | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: cephalorhynchus_hectori_hectori | Num gaps: 306 | Missing taxon?: N | % Missing data: 8.45303867403315
Taxon: cephalorhynchus_hectori_maui | Num gaps: 287 | Missing taxon?: N | % Missing data: 7.92817679558011
Taxon: cervus_canadensis_canadensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_canadensis_nelsoni | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_canadensis_roosevelti | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_canadensis_sibiricus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_canadensis_songaricus~ | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_elaphus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_elaphus_atlanticus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_bactrianus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_barbarus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_corsicanus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_hanglu | Num gaps: 3244 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: cervus_elaphus_hippelaphus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_hispanicus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_italicus | Num gaps: 3244 | Missing taxon?: N | % Missing data: 89.6132596685083
Taxon: cervus_elaphus_kansuensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_macneilli | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_maral | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_wallichi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: cervus_elaphus_xanthopygus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_elaphus_yarkandensis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_nippon | Num gaps: 3046 | Missing taxon?: N | % Missing data: 84.1436464088398
Taxon: cervus_nippon_centralis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_nippon_hortulorum | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_nippon_kopschi | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_nippon_mantchuricus | Num gaps: 3277 | Missing taxon?: N | % Missing data: 90.524861878453
Taxon: cervus_nippon_sichuanicus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_nippon_taiouanus | Num gaps: 24 | Missing taxon?: N | % Missing data: 0.662983425414365
Taxon: cervus_nippon_yakushimae | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: cervus_nippon_yesoensis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: connochaetes_gnou | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: connochaetes_taurinus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: dama_dama | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: dama_mesopotamica | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: damaliscus_lunatus | Num gaps: 21 | Missing taxon?: N | % Missing data: 0.580110497237569
Taxon: damaliscus_pygargus | Num gaps: 21 | Missing taxon?: N | % Missing data: 0.580110497237569
Taxon: delphinapterus_leucas | Num gaps: 2557 | Missing taxon?: N | % Missing data: 70.6353591160221
Taxon: delphinidae_gen_sp_ | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: delphinus_capensis | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: delphinus_delphis | Num gaps: 282 | Missing taxon?: N | % Missing data: 7.79005524861878
Taxon: delphinus_tropicalis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: dorcatragus_megalotis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: elaphodus_cephalophus | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: elaphurus_davidianus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: eschrichtius_robustus | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: eubalaena_australis | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: eubalaena_glacialis | Num gaps: 2266 | Missing taxon?: N | % Missing data: 62.5966850828729
Taxon: eubalaena_japonica | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: eudorcas_rufifrons | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: eudorcas_thomsonii | Num gaps: 2980 | Missing taxon?: N | % Missing data: 82.3204419889503
Taxon: feresa_attenuata | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: gazella_arabica | Num gaps: 3242 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: gazella_bennettii | Num gaps: 22 | Missing taxon?: N | % Missing data: 0.607734806629834
Taxon: gazella_cuvieri | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: gazella_dorcas | Num gaps: 21 | Missing taxon?: N | % Missing data: 0.580110497237569
Taxon: gazella_dorcas_pelzelnii | Num gaps: 3242 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: gazella_erlangeri | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: gazella_gazella | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: gazella_leptoceros | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: gazella_saudiya | Num gaps: 3359 | Missing taxon?: N | % Missing data: 92.7900552486188
Taxon: gazella_spekei | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: gazella_subgutturosa~ | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: gazella_marica~ | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: giraffa_camelopardalis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: giraffa_camelopardalis_angolensis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: giraffa_camelopardalis_antiquorum | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: giraffa_camelopardalis_giraffa | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: giraffa_camelopardalis_peralta | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: giraffa_camelopardalis_reticulata | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: giraffa_camelopardalis_rothschildi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: giraffa_camelopardalis_thornicrofti | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: giraffa_camelopardalis_tippelskirchi | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: globicephala_macrorhynchus | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.441988950276243
Taxon: globicephala_melas | Num gaps: 16 | Missing taxon?: N | % Missing data: 0.441988950276243
Taxon: grampus_griseus | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: nilgiritragus_hylocrius~ | Num gaps: 2757 | Missing taxon?: N | % Missing data: 76.1602209944751
Taxon: arabitragus_jayakari | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hemitragus_jemlahicus~ | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: hexaprotodon_liberiensis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hippocamelus_antisensis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hippocamelus_bisulcus | Num gaps: 3296 | Missing taxon?: N | % Missing data: 91.0497237569061
Taxon: hippopotamus_amphibius | Num gaps: 30 | Missing taxon?: N | % Missing data: 0.828729281767956
Taxon: hippotragus_equinus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hippotragus_niger | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: hippotragus_niger_variani | Num gaps: 490 | Missing taxon?: N | % Missing data: 13.5359116022099
Taxon: hydropotes_inermis | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hydropotes_inermis_argyropus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hyemoschus_aquaticus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: hylochoerus_meinertzhageni~ | Num gaps: 2938 | Missing taxon?: N | % Missing data: 81.1602209944751
Taxon: hyperoodon_ampullatus | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: indopacetus_pacificus~ | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: inia_araguaiaensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: inia_boliviensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: inia_geoffrensis | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: kobus_ellipsiprymnus | Num gaps: 21 | Missing taxon?: N | % Missing data: 0.580110497237569
Taxon: kobus_ellipsiprymnus_defassa | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: kobus_kob | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: kobus_leche | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: kobus_leche_kafuensis | Num gaps: 3242 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: kobus_leche_smithemani | Num gaps: 3243 | Missing taxon?: N | % Missing data: 89.585635359116
Taxon: kobus_megaceros | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: kobus_vardonii | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: kogia_breviceps | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: kogia_sima | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lagenodelphis_hosei | Num gaps: 3014 | Missing taxon?: N | % Missing data: 83.2596685082873
Taxon: lagenorhynchus_acutus~ | Num gaps: 3014 | Missing taxon?: N | % Missing data: 83.2596685082873
Taxon: lagenorhynchus_albirostris~ | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: lagenorhynchus_australis | Num gaps: 295 | Missing taxon?: N | % Missing data: 8.14917127071823
Taxon: lagenorhynchus_cruciger | Num gaps: 286 | Missing taxon?: N | % Missing data: 7.90055248618784
Taxon: lagenorhynchus_obliquidens | Num gaps: 3015 | Missing taxon?: N | % Missing data: 83.2872928176796
Taxon: lagenorhynchus_obscurus | Num gaps: 299 | Missing taxon?: N | % Missing data: 8.25966850828729
Taxon: lama_glama | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: lama_glama_argentina~ | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lama_glama_chaku~ | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lama_guanicoe | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: lama_guanicoe_cacsilensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lama_guanicoe_huanacus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: lipotes_vexillifer | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: lissodelphis_borealis | Num gaps: 3014 | Missing taxon?: N | % Missing data: 83.2596685082873
Taxon: lissodelphis_peronii | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: litocranius_walleri | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: madoqua_guentheri | Num gaps: 2980 | Missing taxon?: N | % Missing data: 82.3204419889503
Taxon: madoqua_kirkii | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: madoqua_saltiana | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: mazama_americana~ | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: mazama_gouazoupira | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: mazama_nemorivaga | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: mazama_pandora | Num gaps: 3248 | Missing taxon?: N | % Missing data: 89.7237569060773
Taxon: mazama_rufina | Num gaps: 21 | Missing taxon?: N | % Missing data: 0.580110497237569
Taxon: mazama_temama~ | Num gaps: 3248 | Missing taxon?: N | % Missing data: 89.7237569060773
Taxon: megaptera_novaeangliae | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: mesoplodon_bidens | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: mesoplodon_densirostris | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: mesoplodon_europaeus | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: mesoplodon_ginkgodens | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: mesoplodon_grayi | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: mesoplodon_peruvianus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: mesoplodon_stejnegeri | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: monodon_monoceros | Num gaps: 17 | Missing taxon?: N | % Missing data: 0.469613259668508
Taxon: moschiola_meminna | Num gaps: 3620 | Missing taxon?: Y | % Missing data: 100
Taxon: moschus_anhuiensis | Num gaps: 22 | Missing taxon?: N | % Missing data: 0.607734806629834
Taxon: moschus_berezovskii | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: moschus_berezovskii_bijiangensis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: moschus_berezovskii_caobangis~ | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: moschus_chrysogaster | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: moschus_fuscus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: moschus_leucogaster | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: moschus_moschiferus | Num gaps: 29 | Missing taxon?: N | % Missing data: 0.801104972375691
Taxon: muntiacus_crinifrons | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: muntiacus_feae | Num gaps: 3161 | Missing taxon?: N | % Missing data: 87.3204419889503
Taxon: muntiacus_gongshanensis | Num gaps: 3161 | Missing taxon?: N | % Missing data: 87.3204419889503
Taxon: muntiacus_muntjak | Num gaps: 27 | Missing taxon?: N | % Missing data: 0.74585635359116
Taxon: muntiacus_muntjak_annamensis | Num gaps: 2784 | Missing taxon?: N | % Missing data: 76.9060773480663
Taxon: muntiacus_muntjak_menglasis | Num gaps: 3161 | Missing taxon?: N | % Missing data: 87.3204419889503
Taxon: muntiacus_muntjak_nigripes | Num gaps: 3161 | Missing taxon?: N | % Missing data: 87.3204419889503
Taxon: muntiacus_muntjak_vaginalis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: muntiacus_muntjak_yunnanensis | Num gaps: 3161 | Missing taxon?: N | % Missing data: 87.3204419889503
Taxon: muntiacus_putaoensis | Num gaps: 3248 | Missing taxon?: N | % Missing data: 89.7237569060773
Taxon: muntiacus_reevesi | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: muntiacus_reevesi_micrurus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: muntiacus_rooseveltorum | Num gaps: 3242 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: muntiacus_truongsonensis | Num gaps: 3242 | Missing taxon?: N | % Missing data: 89.5580110497238
Taxon: muntiacus_vuquangensis | Num gaps: 18 | Missing taxon?: N | % Missing data: 0.497237569060773
Taxon: naemorhedus_baileyi | Num gaps: 22 | Missing taxon?: N | % Missing data: 0.607734806629834
Taxon: naemorhedus_caudatus | Num gaps: 22 | Missing taxon?: N | % Missing data: 0.607734806629834
Taxon: naemorhedus_caudatus_raddeanus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: naemorhedus_goral | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
Taxon: naemorhedus_griseus | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: nanger_dama | Num gaps: 19 | Missing taxon?: N | % Missing data: 0.524861878453039
Taxon: nanger_dama_mhorr | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: nanger_dama_ruficollis | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.5303867403315
Taxon: nanger_granti | Num gaps: 20 | Missing taxon?: N | % Missing data: 0.552486187845304
