Parsing alignment lagomorpha_nt3cp ... ... 
Length alignment: 65373
Number of taxa: 88
Taxon: brachylagus_idahoensis | Num gaps: 63639 | Missing taxon?: N | % Missing data: 97.3475287962921
Taxon: ochotona_rufescens | Num gaps: 65145 | Missing taxon?: N | % Missing data: 99.6512321600661
Taxon: ochotona_rutila | Num gaps: 65077 | Missing taxon?: N | % Missing data: 99.5472136814893
Taxon: ochotona_thibetana | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_thibetana_nangqenica~ | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_thomasi | Num gaps: 65206 | Missing taxon?: N | % Missing data: 99.7445428540835
Taxon: ochotona_turuchanensis | Num gaps: 65074 | Missing taxon?: N | % Missing data: 99.5426246309639
Taxon: oryctolagus_cuniculus | Num gaps: 1550 | Missing taxon?: N | % Missing data: 2.37100943814725
Taxon: oryctolagus_cuniculus_algirus | Num gaps: 62460 | Missing taxon?: N | % Missing data: 95.5440319397917
Taxon: pentalagus_furnessi | Num gaps: 65079 | Missing taxon?: N | % Missing data: 99.5502730485063
Taxon: pronolagus_crassicaudatus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: pronolagus_randensis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: pronolagus_rupestris | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: pronolagus_saundersiae | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: romerolagus_diazi | Num gaps: 65080 | Missing taxon?: N | % Missing data: 99.5518027320147
Taxon: sylvilagus_aquaticus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: sylvilagus_audubonii | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: sylvilagus_brasiliensis | Num gaps: 65057 | Missing taxon?: N | % Missing data: 99.5166200113197
Taxon: sylvilagus_floridanus | Num gaps: 61382 | Missing taxon?: N | % Missing data: 93.895033117648
Taxon: sylvilagus_nuttallii | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: sylvilagus_obscurus | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: sylvilagus_palustris | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: sylvilagus_transitionalis | Num gaps: 65373 | Missing taxon?: Y | % Missing data: 100
Taxon: ornithorhynchus_anatinus | Num gaps: 29173 | Missing taxon?: N | % Missing data: 44.6254569929482
Taxon: zaglossus_bruijni | Num gaps: 65145 | Missing taxon?: N | % Missing data: 99.6512321600661
Taxon: tachyglossus_aculeatus | Num gaps: 62843 | Missing taxon?: N | % Missing data: 96.1299007235403

Number of missing taxa = 45
Number of present taxa = 43
Total number of taxa = 88

Eq: num_gaps / ( num_taxa * len_aln ) --> (2941785+2613819)/((45+43)*65373)
Avg missing data before removing missing taxa = 0.965717706642859 = 96.5717706642859%
Eq: num_gaps / ( num_taxa * len_aln ) --> 2613819/(43*65373)
Avg missing data after removing missing taxa = 0.929840888013293 = 92.9840888013293%

