Parsing alignment lchiroptera_subt1_nt3cp ... ... 
Length alignment: 80524
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 78772 | Missing taxon?: N | % Missing data: 97.8242511549352
Taxon: pteropus_seychellensis_comorensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_seychellensis_seychellensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_speciosus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_temminckii | Num gaps: 79349 | Missing taxon?: N | % Missing data: 98.5408077095028
Taxon: pteropus_tonganus | Num gaps: 78948 | Missing taxon?: N | % Missing data: 98.042819532065
Taxon: pteropus_vampyrus | Num gaps: 4705 | Missing taxon?: N | % Missing data: 5.8429784908847
Taxon: pteropus_vetulus | Num gaps: 80363 | Missing taxon?: N | % Missing data: 99.8000596095574
Taxon: pteropus_voeltzkowi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_woodfordi | Num gaps: 79348 | Missing taxon?: N | % Missing data: 98.5395658437236
Taxon: pteropus_yapensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_affinis | Num gaps: 78707 | Missing taxon?: N | % Missing data: 97.7435298792906
Taxon: rhinolophus_alcyone | Num gaps: 79719 | Missing taxon?: N | % Missing data: 99.000298047787
Taxon: rhinolophus_arcuatus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_blasii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_blythi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_celebensis | Num gaps: 80156 | Missing taxon?: N | % Missing data: 99.5429933932741
Taxon: rhinolophus_clivosus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_cornutus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_creaghi | Num gaps: 74816 | Missing taxon?: N | % Missing data: 92.9114301326313
Taxon: rhinolophus_darlingi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_darlingi_barbetonensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_darlingi_damarensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_denti | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_eloquens | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_euryale | Num gaps: 79561 | Missing taxon?: N | % Missing data: 98.8040832546818
Taxon: rhinolophus_euryotis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_ferrumequinum | Num gaps: 74928 | Missing taxon?: N | % Missing data: 93.0505190998957
Taxon: rhinolophus_ferrumequinum_korai | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_ferrumequinum_quelpartis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_formosae | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_fumigatus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_hildebrandti | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_hipposideros | Num gaps: 76912 | Missing taxon?: N | % Missing data: 95.5143808057225
Taxon: rhinolophus_inops_arcuatus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_inops_subrufus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_landeri | Num gaps: 79719 | Missing taxon?: N | % Missing data: 99.000298047787
Taxon: rhinolophus_luctus | Num gaps: 79603 | Missing taxon?: N | % Missing data: 98.856241617406
Taxon: rhinolophus_macrotis | Num gaps: 76613 | Missing taxon?: N | % Missing data: 95.1430629377577
Taxon: rhinolophus_malayanus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_marshalli | Num gaps: 79952 | Missing taxon?: N | % Missing data: 99.2896527743281
Taxon: rhinolophus_megaphyllus | Num gaps: 80194 | Missing taxon?: N | % Missing data: 99.5901842928816
Taxon: rhinolophus_mehelyi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_monoceros | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_paradoxolophus | Num gaps: 77088 | Missing taxon?: N | % Missing data: 95.7329491828523
Taxon: rhinolophus_pearsonii | Num gaps: 77773 | Missing taxon?: N | % Missing data: 96.5836272415677
Taxon: rhinolophus_perditus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_philippinensis | Num gaps: 80186 | Missing taxon?: N | % Missing data: 99.5802493666485
Taxon: rhinolophus_pumilus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_pusillus | Num gaps: 75495 | Missing taxon?: N | % Missing data: 93.7546569966718
Taxon: rhinolophus_rex | Num gaps: 76673 | Missing taxon?: N | % Missing data: 95.2175748845065
Taxon: rhinolophus_rouxii | Num gaps: 79938 | Missing taxon?: N | % Missing data: 99.2722666534201
Taxon: rhinolophus_ruwenzorii | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_shameli | Num gaps: 79540 | Missing taxon?: N | % Missing data: 98.7780040733197
Taxon: rhinolophus_simulator | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_sinicus | Num gaps: 74677 | Missing taxon?: N | % Missing data: 92.7388107893299
Taxon: rhinolophus_stheno | Num gaps: 77992 | Missing taxon?: N | % Missing data: 96.8555958472008
Taxon: rhinolophus_subrufus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_swinnyi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_thomasi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_trifoliatus | Num gaps: 79548 | Missing taxon?: N | % Missing data: 98.7879389995529
Taxon: rhinolophus_virgo | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_xinanzhongguoensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_yunnanensis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinonicteris_aurantia | Num gaps: 79556 | Missing taxon?: N | % Missing data: 98.7978739257861
Taxon: rhinopoma_hadramauticum | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinopoma_hardwickii | Num gaps: 73900 | Missing taxon?: N | % Missing data: 91.773881078933
Taxon: rhinopoma_hardwickii_cystops | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinopoma_microphyllum | Num gaps: 80083 | Missing taxon?: N | % Missing data: 99.4523371913964
Taxon: rhinopoma_muscatellum | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: rousettus_aegyptiacus | Num gaps: 79052 | Missing taxon?: N | % Missing data: 98.1719735730962
Taxon: rousettus_amplexicaudatus | Num gaps: 78500 | Missing taxon?: N | % Missing data: 97.4864636630073
Taxon: rousettus_leschenaultii | Num gaps: 66208 | Missing taxon?: N | % Missing data: 82.2214495057374
Taxon: rousettus_madagascariensis | Num gaps: 79077 | Missing taxon?: N | % Missing data: 98.2030202175749
Taxon: rousettus_obliviosus | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: scotonycteris_bergmansi | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: scotonycteris_ophiodon | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: scotonycteris_zenkeri | Num gaps: 79056 | Missing taxon?: N | % Missing data: 98.1769410362128
Taxon: scotonycteris_occidentalis | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: sphaerias_blanfordi | Num gaps: 79073 | Missing taxon?: N | % Missing data: 98.1980527544583
Taxon: stenonycteris_lanosus | Num gaps: 77766 | Missing taxon?: N | % Missing data: 96.5749341811137
Taxon: styloctenium_mindorensis | Num gaps: 79561 | Missing taxon?: N | % Missing data: 98.8040832546818
Taxon: styloctenium_wallacei | Num gaps: 80210 | Missing taxon?: N | % Missing data: 99.610054145348
Taxon: syconycteris_australis | Num gaps: 78908 | Missing taxon?: N | % Missing data: 97.9931449008991
Taxon: thoopterus_nigrescens | Num gaps: 80050 | Missing taxon?: N | % Missing data: 99.4113556206845
Taxon: triaenops_afer | Num gaps: 80524 | Missing taxon?: Y | % Missing data: 100
Taxon: triaenops_menamena | Num gaps: 79543 | Missing taxon?: N | % Missing data: 98.7817296706572
Taxon: triaenops_persicus | Num gaps: 79552 | Missing taxon?: N | % Missing data: 98.7929064626695
Taxon: ornithorhynchus_anatinus | Num gaps: 36766 | Missing taxon?: N | % Missing data: 45.6584372361035
Taxon: zaglossus_bruijni | Num gaps: 80199 | Missing taxon?: N | % Missing data: 99.5963936217774
Taxon: tachyglossus_aculeatus | Num gaps: 76855 | Missing taxon?: N | % Missing data: 95.4435944563112
Taxon: myotis_lucifugus | Num gaps: 4034 | Missing taxon?: N | % Missing data: 5.00968655307734

Number of missing taxa = 93
Number of present taxa = 163
Total number of taxa = 256

Eq: num_gaps / ( num_taxa * len_aln ) --> (7488732+12648930)/((93+163)*80524)
Avg missing data before removing missing taxa = 0.97688567616487 = 97.688567616487%
Eq: num_gaps / ( num_taxa * len_aln ) --> 12648930/(163*80524)
Avg missing data after removing missing taxa = 0.963697749068753 = 96.3697749068753%

