Parsing alignment lchiroptera_subt1_mt3cp ... ... 
Length alignment: 3601
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_obscurus | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_pelingensis | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_pomona | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: hipposideros_pratti | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: hipposideros_pygmaeus | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: hipposideros_ridleyi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_rotalis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_ruber | Num gaps: 3223 | Missing taxon?: N | % Missing data: 89.5029158567065
Taxon: hipposideros_scutinares | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_speoris | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hipposideros_terasensis | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: hipposideros_pendleburyi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_turpis_turpis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: hipposideros_vittatus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: hypsignathus_monstrosus | Num gaps: 3316 | Missing taxon?: N | % Missing data: 92.0855317967231
Taxon: latidens_salimalii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: macroderma_gigas | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: macroglossus_minimus | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: macroglossus_sobrinus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: megaderma_lyra | Num gaps: 2557 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: megaderma_spasma | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: megaerops_ecaudatus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaerops_kusnotoi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaerops_wetmorei | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaloglossus_azagnyi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: megaloglossus_woermanni | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: melonycteris_fardoulisi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: melonycteris_melanops | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: micropteropus_pusillus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: mirimiri_acrodonta | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_angolensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_angolensis_ruwenzorii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_angolensis_smithii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_brachycephala | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_leptodon | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_relicta | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: myonycteris_torquata | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: nanonycteris_veldkampii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: notopteris_macdonaldi | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_aello | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: nyctimene_albiventer | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: nyctimene_cephalotes | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: nyctimene_certans | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_major | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_robinsoni | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: nyctimene_vizcaccia | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: otopteropus_cartilagonodus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: paranyctimene_raptor | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: paratriaenops_auritus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: paratriaenops_furculus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: penthetor_lucasi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: ptenochirus_jagori | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteralopex_atrata | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteralopex_taki | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_admiralitatum | Num gaps: 3253 | Missing taxon?: N | % Missing data: 90.3360177728409
Taxon: pteropus_aldabrensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_alecto | Num gaps: 6 | Missing taxon?: N | % Missing data: 0.166620383226881
Taxon: pteropus_anetianus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_capistratus_ennisae | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_conspicillatus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_dasymallus | Num gaps: 1 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: pteropus_faunulus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_giganteus | Num gaps: 2557 | Missing taxon?: N | % Missing data: 71.0080533185226
Taxon: pteropus_gilliardorum | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_griseus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_hypomelanus | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: pteropus_livingstonii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_lombocensis | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_lylei | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_macrotis | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mahaganus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_mariannus | Num gaps: 3226 | Missing taxon?: N | % Missing data: 89.5862260483199
Taxon: pteropus_molossinus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_neohibernicus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_niger | Num gaps: 3260 | Missing taxon?: N | % Missing data: 90.5304082199389
Taxon: pteropus_ornatus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pelagicus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pelewensis_pelewensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_personatus~ | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_pohlei | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_poliocephalus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_pumilus | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: pteropus_rayneri | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: pteropus_rodricensis | Num gaps: 2876 | Missing taxon?: N | % Missing data: 79.8667036934185
Taxon: pteropus_rufus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_samoensis | Num gaps: 3226 | Missing taxon?: N | % Missing data: 89.5862260483199
Taxon: pteropus_samoensis_nawaiensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_scapulatus | Num gaps: 1 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: pteropus_seychellensis_comorensis | Num gaps: 3225 | Missing taxon?: N | % Missing data: 89.5584559844488
Taxon: pteropus_seychellensis_seychellensis | Num gaps: 3260 | Missing taxon?: N | % Missing data: 90.5304082199389
Taxon: pteropus_speciosus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_temminckii | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_tonganus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_vampyrus | Num gaps: 1 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: pteropus_vetulus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: pteropus_voeltzkowi | Num gaps: 3260 | Missing taxon?: N | % Missing data: 90.5304082199389
Taxon: pteropus_woodfordi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: pteropus_yapensis | Num gaps: 3223 | Missing taxon?: N | % Missing data: 89.5029158567065
Taxon: rhinolophus_affinis | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_alcyone | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_arcuatus | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: rhinolophus_blasii | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_blythi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_celebensis | Num gaps: 3224 | Missing taxon?: N | % Missing data: 89.5306859205776
Taxon: rhinolophus_clivosus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_cornutus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_creaghi | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_darlingi | Num gaps: 3011 | Missing taxon?: N | % Missing data: 83.6156623160233
Taxon: rhinolophus_darlingi_barbetonensis | Num gaps: 3285 | Missing taxon?: N | % Missing data: 91.2246598167176
Taxon: rhinolophus_darlingi_damarensis | Num gaps: 3285 | Missing taxon?: N | % Missing data: 91.2246598167176
Taxon: rhinolophus_denti | Num gaps: 3285 | Missing taxon?: N | % Missing data: 91.2246598167176
Taxon: rhinolophus_eloquens | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_euryale | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_euryotis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_ferrumequinum | Num gaps: 2574 | Missing taxon?: N | % Missing data: 71.4801444043321
Taxon: rhinolophus_ferrumequinum_korai | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_ferrumequinum_quelpartis | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_formosae | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_fumigatus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_hildebrandti | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_hipposideros | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_inops_arcuatus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_inops_subrufus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_landeri | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_luctus | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_macrotis | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_malayanus | Num gaps: 3262 | Missing taxon?: N | % Missing data: 90.5859483476812
Taxon: rhinolophus_marshalli | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_megaphyllus | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: rhinolophus_mehelyi | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_monoceros | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_paradoxolophus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_pearsonii | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_perditus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 91.1691196889753
Taxon: rhinolophus_philippinensis | Num gaps: 2901 | Missing taxon?: N | % Missing data: 80.5609552901972
Taxon: rhinolophus_pumilus | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_pusillus | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_rex | Num gaps: 0 | Missing taxon?: N | % Missing data: 0
Taxon: rhinolophus_rouxii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_ruwenzorii | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_shameli | Num gaps: 3229 | Missing taxon?: N | % Missing data: 89.6695362399334
Taxon: rhinolophus_simulator | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_sinicus | Num gaps: 2904 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: rhinolophus_stheno | Num gaps: 3262 | Missing taxon?: N | % Missing data: 90.5859483476812
Taxon: rhinolophus_subrufus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_swinnyi | Num gaps: 3261 | Missing taxon?: N | % Missing data: 90.5581782838101
Taxon: rhinolophus_thomasi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_trifoliatus | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinolophus_virgo | Num gaps: 2876 | Missing taxon?: N | % Missing data: 79.8667036934185
Taxon: rhinolophus_xinanzhongguoensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinolophus_yunnanensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinonicteris_aurantia | Num gaps: 3254 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: rhinopoma_hadramauticum | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinopoma_hardwickii | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: rhinopoma_hardwickii_cystops | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinopoma_microphyllum | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rhinopoma_muscatellum | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rousettus_aegyptiacus | Num gaps: 1 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: rousettus_amplexicaudatus | Num gaps: 2617 | Missing taxon?: N | % Missing data: 72.6742571507914
Taxon: rousettus_leschenaultii | Num gaps: 265 | Missing taxon?: N | % Missing data: 7.35906692585393
Taxon: rousettus_madagascariensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: rousettus_obliviosus | Num gaps: 3224 | Missing taxon?: N | % Missing data: 89.5306859205776
Taxon: scotonycteris_bergmansi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: scotonycteris_ophiodon | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: scotonycteris_zenkeri | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: scotonycteris_occidentalis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: sphaerias_blanfordi | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: stenonycteris_lanosus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: styloctenium_mindorensis | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: styloctenium_wallacei | Num gaps: 3224 | Missing taxon?: N | % Missing data: 89.5306859205776
Taxon: syconycteris_australis | Num gaps: 2875 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: thoopterus_nigrescens | Num gaps: 2930 | Missing taxon?: N | % Missing data: 81.3662871424604
Taxon: triaenops_afer | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: triaenops_menamena | Num gaps: 3601 | Missing taxon?: Y | % Missing data: 100
Taxon: triaenops_persicus | Num gaps: 3222 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: ornithorhynchus_anatinus | Num gaps: 29 | Missing taxon?: N | % Missing data: 0.80533185226326
Taxon: zaglossus_bruijni | Num gaps: 29 | Missing taxon?: N | % Missing data: 0.80533185226326
Taxon: tachyglossus_aculeatus | Num gaps: 29 | Missing taxon?: N | % Missing data: 0.80533185226326
Taxon: myotis_lucifugus | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.111080255484588

Number of missing taxa = 40
Number of present taxa = 216
Total number of taxa = 256

Eq: num_gaps / ( num_taxa * len_aln ) --> (144040+616288)/((40+216)*3601)
Avg missing data before removing missing taxa = 0.824779575118023 = 82.4779575118023%
Eq: num_gaps / ( num_taxa * len_aln ) --> 616288/(216*3601)
Avg missing data after removing missing taxa = 0.792331348288027 = 79.2331348288027%

