Parsing alignment rod_subt2_nt12cp ... ... 
Length alignment: 206736
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 205224 | Missing taxon?: N | % Missing data: 99.268632458788
Taxon: akodon_budini | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_caenosus | Num gaps: 205992 | Missing taxon?: N | % Missing data: 99.6401207336893
Taxon: akodon_cursor | Num gaps: 204376 | Missing taxon?: N | % Missing data: 98.8584474885845
Taxon: akodon_dayi | Num gaps: 206042 | Missing taxon?: N | % Missing data: 99.6643061682532
Taxon: akodon_dolores | Num gaps: 205994 | Missing taxon?: N | % Missing data: 99.6410881510719
Taxon: akodon_fumeus | Num gaps: 205992 | Missing taxon?: N | % Missing data: 99.6401207336893
Taxon: akodon_glaucinus | Num gaps: 205998 | Missing taxon?: N | % Missing data: 99.643022985837
Taxon: akodon_iniscatus | Num gaps: 205998 | Missing taxon?: N | % Missing data: 99.643022985837
Taxon: akodon_iniscatus_nucus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_juninensis | Num gaps: 205994 | Missing taxon?: N | % Missing data: 99.6410881510719
Taxon: akodon_kofordi | Num gaps: 203996 | Missing taxon?: N | % Missing data: 98.6746381858989
Taxon: neomicroxus_latebricola | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_lindberghi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_lutescens | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_lutescens_puer | Num gaps: 205998 | Missing taxon?: N | % Missing data: 99.643022985837
Taxon: akodon_mimus | Num gaps: 204816 | Missing taxon?: N | % Missing data: 99.0712793127467
Taxon: akodon_molinae | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_mollis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_mollis_altorum | Num gaps: 205986 | Missing taxon?: N | % Missing data: 99.6372184815417
Taxon: akodon_montensis | Num gaps: 204678 | Missing taxon?: N | % Missing data: 99.0045275133504
Taxon: akodon_mystax | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_orophilus | Num gaps: 205988 | Missing taxon?: N | % Missing data: 99.6381858989242
Taxon: akodon_paranaensis | Num gaps: 205894 | Missing taxon?: N | % Missing data: 99.5927172819441
Taxon: akodon_philipmyersi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_polopi | Num gaps: 205992 | Missing taxon?: N | % Missing data: 99.6401207336893
Taxon: akodon_reigi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_serrensis | Num gaps: 206048 | Missing taxon?: N | % Missing data: 99.6672084204009
Taxon: akodon_siberiae | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_simulator | Num gaps: 205996 | Missing taxon?: N | % Missing data: 99.6420555684545
Taxon: akodon_spegazzinii | Num gaps: 206002 | Missing taxon?: N | % Missing data: 99.6449578206021
Taxon: akodon_subfuscus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_sylvanus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_tartareus | Num gaps: 205992 | Missing taxon?: N | % Missing data: 99.6401207336893
Taxon: akodon_toba | Num gaps: 205998 | Missing taxon?: N | % Missing data: 99.643022985837
Taxon: akodon_torques | Num gaps: 203130 | Missing taxon?: N | % Missing data: 98.2557464592524
Taxon: akodon_varius | Num gaps: 205996 | Missing taxon?: N | % Missing data: 99.6420555684545
Taxon: akodon_viridescens | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: amphinectomys_savamis | Num gaps: 205892 | Missing taxon?: N | % Missing data: 99.5917498645616
Taxon: andalgalomys_pearsoni | Num gaps: 204360 | Missing taxon?: N | % Missing data: 98.850708149524
Taxon: andalgalomys_pearsoni_dorbignyi | Num gaps: 206240 | Missing taxon?: N | % Missing data: 99.7600804891262
Taxon: andalgalomys_roigi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: andinomys_edax | Num gaps: 204182 | Missing taxon?: N | % Missing data: 98.7646080024766
Taxon: anisomys_imitator | Num gaps: 205314 | Missing taxon?: N | % Missing data: 99.312166241003
Taxon: apodemus_agrarius | Num gaps: 202420 | Missing taxon?: N | % Missing data: 97.9123132884452
Taxon: apodemus_agrarius_coreae | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_alpicola | Num gaps: 203624 | Missing taxon?: N | % Missing data: 98.4946985527436
Taxon: apodemus_argenteus | Num gaps: 205176 | Missing taxon?: N | % Missing data: 99.2454144416067
Taxon: apodemus_chejuensis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_chevrieri | Num gaps: 205190 | Missing taxon?: N | % Missing data: 99.2521863632846
Taxon: apodemus_draco | Num gaps: 205196 | Missing taxon?: N | % Missing data: 99.2550886154322
Taxon: apodemus_flavicollis | Num gaps: 202636 | Missing taxon?: N | % Missing data: 98.0167943657612
Taxon: apodemus_gurkha | Num gaps: 205176 | Missing taxon?: N | % Missing data: 99.2454144416067
Taxon: apodemus_hermonensis | Num gaps: 205186 | Missing taxon?: N | % Missing data: 99.2502515285195
Taxon: apodemus_ilex | Num gaps: 205988 | Missing taxon?: N | % Missing data: 99.6381858989242
Taxon: apodemus_latronum | Num gaps: 204676 | Missing taxon?: N | % Missing data: 99.0035600959678
Taxon: apodemus_mystacinus | Num gaps: 201136 | Missing taxon?: N | % Missing data: 97.2912313288445
Taxon: apodemus_pallipes | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_peninsulae | Num gaps: 205192 | Missing taxon?: N | % Missing data: 99.2531537806671
Taxon: apodemus_ponticus | Num gaps: 205944 | Missing taxon?: N | % Missing data: 99.616902716508
Taxon: apodemus_semotus | Num gaps: 204634 | Missing taxon?: N | % Missing data: 98.9832443309341
Taxon: apodemus_speciosus | Num gaps: 202802 | Missing taxon?: N | % Missing data: 98.0970900085133
Taxon: apodemus_sylvaticus | Num gaps: 202004 | Missing taxon?: N | % Missing data: 97.7110904728736
Taxon: apodemus_uralensis | Num gaps: 205182 | Missing taxon?: N | % Missing data: 99.2483166937543
Taxon: apodemus_wardi | Num gaps: 205182 | Missing taxon?: N | % Missing data: 99.2483166937543
Taxon: apomys_abrae | Num gaps: 205950 | Missing taxon?: N | % Missing data: 99.6198049686557
Taxon: apomys_camiguinensis | Num gaps: 205954 | Missing taxon?: N | % Missing data: 99.6217398034208
Taxon: apomys_datae | Num gaps: 204342 | Missing taxon?: N | % Missing data: 98.842001393081
Taxon: apomys_gracilirostris | Num gaps: 205948 | Missing taxon?: N | % Missing data: 99.6188375512731
Taxon: apomys_hylocoetes | Num gaps: 203104 | Missing taxon?: N | % Missing data: 98.2431700332792
Taxon: apomys_insignis | Num gaps: 205156 | Missing taxon?: N | % Missing data: 99.2357402677811
Taxon: apomys_iridensis | Num gaps: 206006 | Missing taxon?: N | % Missing data: 99.6468926553672
Taxon: apomys_lubangensis | Num gaps: 205948 | Missing taxon?: N | % Missing data: 99.6188375512731
Taxon: apomys_microdon | Num gaps: 204594 | Missing taxon?: N | % Missing data: 98.963895983283
Taxon: apomys_musculus | Num gaps: 204742 | Missing taxon?: N | % Missing data: 99.0354848695921
Taxon: apomys_sacobianus | Num gaps: 205958 | Missing taxon?: N | % Missing data: 99.6236746381859
Taxon: archboldomys_luzonensis | Num gaps: 201794 | Missing taxon?: N | % Missing data: 97.6095116477053
Taxon: arvicanthis_abyssinicus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: arvicanthis_dembeensis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: arvicanthis_niloticus | Num gaps: 205222 | Missing taxon?: N | % Missing data: 99.2676650414055
Taxon: arvicanthis_somalicus | Num gaps: 202508 | Missing taxon?: N | % Missing data: 97.9548796532776
Taxon: auliscomys_boliviensis | Num gaps: 205950 | Missing taxon?: N | % Missing data: 99.6198049686557
Taxon: auliscomys_micropus | Num gaps: 204918 | Missing taxon?: N | % Missing data: 99.120617599257
Taxon: auliscomys_pictus | Num gaps: 205950 | Missing taxon?: N | % Missing data: 99.6198049686557
Taxon: auliscomys_sublimis | Num gaps: 203520 | Missing taxon?: N | % Missing data: 98.4443928488507
Taxon: bandicota_bengalensis~ | Num gaps: 205298 | Missing taxon?: N | % Missing data: 99.3044269019426
Taxon: bandicota_indica~ | Num gaps: 201440 | Missing taxon?: N | % Missing data: 97.438278770993
Taxon: bandicota_savilei~ | Num gaps: 203594 | Missing taxon?: N | % Missing data: 98.4801872920053
Taxon: batomys_granti | Num gaps: 202846 | Missing taxon?: N | % Missing data: 98.1183731909295
Taxon: batomys_salomonseni | Num gaps: 205932 | Missing taxon?: N | % Missing data: 99.6110982122127
Taxon: berylmys_berdmorei | Num gaps: 201440 | Missing taxon?: N | % Missing data: 97.438278770993
Taxon: berylmys_bowersi | Num gaps: 200648 | Missing taxon?: N | % Missing data: 97.055181487501
Taxon: bibimys | Num gaps: 206026 | Missing taxon?: N | % Missing data: 99.6565668291928
Taxon: blarinomys_breviceps | Num gaps: 205950 | Missing taxon?: N | % Missing data: 99.6198049686557
Taxon: necromys_amoenus | Num gaps: 203852 | Missing taxon?: N | % Missing data: 98.6049841343549
Taxon: necromys_lasiurus | Num gaps: 206060 | Missing taxon?: N | % Missing data: 99.6730129246962
Taxon: necromys_temchuki | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: necromys_urichi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: brachiones_przewalskii | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: brucepattersonius | Num gaps: 204646 | Missing taxon?: N | % Missing data: 98.9890488352295
Taxon: bullimus_bagobus | Num gaps: 205390 | Missing taxon?: N | % Missing data: 99.3489281015401
Taxon: bullimus_gamay | Num gaps: 205402 | Missing taxon?: N | % Missing data: 99.3547326058355
Taxon: bullimus_luzonicus | Num gaps: 205636 | Missing taxon?: N | % Missing data: 99.4679204395945
Taxon: bunomys_andrewsi | Num gaps: 203294 | Missing taxon?: N | % Missing data: 98.3350746846219
Taxon: bunomys_chrysocomus | Num gaps: 205318 | Missing taxon?: N | % Missing data: 99.3141010757681
Taxon: bunomys_penitus | Num gaps: 206196 | Missing taxon?: N | % Missing data: 99.73879730671
Taxon: calomys_aff_expulsus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_callosus | Num gaps: 204434 | Missing taxon?: N | % Missing data: 98.8865025926786
Taxon: calomys_expulsus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_fecundus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_hummelincki | Num gaps: 206004 | Missing taxon?: N | % Missing data: 99.6459252379847
Taxon: calomys_laucha | Num gaps: 205068 | Missing taxon?: N | % Missing data: 99.1931739029487
Taxon: calomys_lepidus | Num gaps: 204320 | Missing taxon?: N | % Missing data: 98.8313598018729
Taxon: calomys_musculinus | Num gaps: 205404 | Missing taxon?: N | % Missing data: 99.355700023218
Taxon: calomys_sorellus | Num gaps: 205950 | Missing taxon?: N | % Missing data: 99.6198049686557
Taxon: calomys_tener | Num gaps: 205952 | Missing taxon?: N | % Missing data: 99.6207723860382
Taxon: calomys_tocantinsi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: calomys_venustus | Num gaps: 205380 | Missing taxon?: N | % Missing data: 99.3440910146274
Taxon: carpomys_phaeurus | Num gaps: 205378 | Missing taxon?: N | % Missing data: 99.3431235972448
Taxon: cerradomys_scotti | Num gaps: 205892 | Missing taxon?: N | % Missing data: 99.5917498645616
Taxon: cerradomys_subflavus | Num gaps: 203746 | Missing taxon?: N | % Missing data: 98.5537110130795
Taxon: chelemys_macronyx | Num gaps: 206180 | Missing taxon?: N | % Missing data: 99.7310579676496
Taxon: chelemys_megalonyx | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: chilomys_instans | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: chinchillula_sahamae | Num gaps: 205232 | Missing taxon?: N | % Missing data: 99.2725021283182
Taxon: chiromyscus_chiropus | Num gaps: 202166 | Missing taxon?: N | % Missing data: 97.7894512808606
Taxon: chiromyscus_langbianis | Num gaps: 205128 | Missing taxon?: N | % Missing data: 99.2221964244253
Taxon: chiromyscus_thomasi | Num gaps: 206196 | Missing taxon?: N | % Missing data: 99.73879730671
Taxon: chiropodomys_gliroides | Num gaps: 202238 | Missing taxon?: N | % Missing data: 97.8242783066326
Taxon: chiruromys_vates | Num gaps: 205378 | Missing taxon?: N | % Missing data: 99.3431235972448
Taxon: chrotomys_gonzalesi | Num gaps: 203428 | Missing taxon?: N | % Missing data: 98.3998916492531
Taxon: chrotomys_mindorensis | Num gaps: 205924 | Missing taxon?: N | % Missing data: 99.6072285426824
Taxon: chrotomys_sibuyanensis | Num gaps: 205402 | Missing taxon?: N | % Missing data: 99.3547326058355
Taxon: chrotomys_silaceus | Num gaps: 205398 | Missing taxon?: N | % Missing data: 99.3527977710704
Taxon: chrotomys_whiteheadi | Num gaps: 205914 | Missing taxon?: N | % Missing data: 99.6023914557697
Taxon: colomys_goslingi | Num gaps: 206212 | Missing taxon?: N | % Missing data: 99.7465366457704
Taxon: conilurus_penicillatus | Num gaps: 202756 | Missing taxon?: N | % Missing data: 98.0748394087145
Taxon: crateromys_heaneyi | Num gaps: 205382 | Missing taxon?: N | % Missing data: 99.3450584320099
Taxon: cremnomys_cutchicus | Num gaps: 206180 | Missing taxon?: N | % Missing data: 99.7310579676496
Taxon: crossomys_moncktoni | Num gaps: 205380 | Missing taxon?: N | % Missing data: 99.3440910146274
Taxon: crunomys_celebensis | Num gaps: 204882 | Missing taxon?: N | % Missing data: 99.103204086371
Taxon: crunomys_melanius | Num gaps: 205392 | Missing taxon?: N | % Missing data: 99.3498955189227
Taxon: crunomys_suncoides | Num gaps: 205918 | Missing taxon?: N | % Missing data: 99.6043262905348
Taxon: dacnomys_millardi | Num gaps: 204028 | Missing taxon?: N | % Missing data: 98.6901168640198
Taxon: dasymys_incomtus | Num gaps: 204668 | Missing taxon?: N | % Missing data: 98.9996904264376
Taxon: dasymys_rufulus | Num gaps: 206180 | Missing taxon?: N | % Missing data: 99.7310579676496
Taxon: delomys_collinus | Num gaps: 204110 | Missing taxon?: N | % Missing data: 98.7297809767046
Taxon: delomys_dorsalis | Num gaps: 206068 | Missing taxon?: N | % Missing data: 99.6768825942265
Taxon: delomys_sublineatus | Num gaps: 205950 | Missing taxon?: N | % Missing data: 99.6198049686557
Taxon: deltamys_kempi | Num gaps: 206204 | Missing taxon?: N | % Missing data: 99.7426669762402
Taxon: deltamys_kempi_langutthi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: dephomys_defua~ | Num gaps: 206146 | Missing taxon?: N | % Missing data: 99.7146118721461
Taxon: desmodilliscus_braueri | Num gaps: 205886 | Missing taxon?: N | % Missing data: 99.5888476124139
Taxon: desmodillus_auricularis | Num gaps: 202820 | Missing taxon?: N | % Missing data: 98.1057967649563
Taxon: desmomys_harringtoni | Num gaps: 205918 | Missing taxon?: N | % Missing data: 99.6043262905348
Taxon: diplothrix_legata~ | Num gaps: 203786 | Missing taxon?: N | % Missing data: 98.5730593607306
Taxon: dipodillus_campestris | Num gaps: 204276 | Missing taxon?: N | % Missing data: 98.8100766194567
Taxon: dipodillus_dasyurus | Num gaps: 202498 | Missing taxon?: N | % Missing data: 97.9500425663648
Taxon: dipodillus_rupicola | Num gaps: 205898 | Missing taxon?: N | % Missing data: 99.5946521167092
Taxon: dipodillus_simoni | Num gaps: 204288 | Missing taxon?: N | % Missing data: 98.815881123752
Taxon: drymoreomys_albimaculatus | Num gaps: 205898 | Missing taxon?: N | % Missing data: 99.5946521167092
Taxon: echiothrix_centrosa | Num gaps: 204698 | Missing taxon?: N | % Missing data: 99.0142016871759
Taxon: eligmodontia_bolsonensis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_hirtipes | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_moreni | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_morgani | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_puerulus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: eligmodontia_typus | Num gaps: 205952 | Missing taxon?: N | % Missing data: 99.6207723860382
Taxon: eremoryzomys_polius | Num gaps: 205894 | Missing taxon?: N | % Missing data: 99.5927172819441
Taxon: euneomys_chinchilloides | Num gaps: 204016 | Missing taxon?: N | % Missing data: 98.6843123597245
Taxon: euryoryzomys_lamia | Num gaps: 205894 | Missing taxon?: N | % Missing data: 99.5927172819441
Taxon: euryoryzomys_macconnelli | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: euryoryzomys_nitidus | Num gaps: 205904 | Missing taxon?: N | % Missing data: 99.5975543688569
Taxon: euryoryzomys_russatus | Num gaps: 205940 | Missing taxon?: N | % Missing data: 99.6149678817429
Taxon: galenomys_garleppi | Num gaps: 205956 | Missing taxon?: N | % Missing data: 99.6227072208033
Taxon: geoxus_valdivianus | Num gaps: 203410 | Missing taxon?: N | % Missing data: 98.3911848928102
Taxon: gerbilliscus_afra | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: gerbilliscus_brantsii | Num gaps: 205520 | Missing taxon?: N | % Missing data: 99.4118102314062
Taxon: gerbilliscus_gambianus | Num gaps: 203286 | Missing taxon?: N | % Missing data: 98.3312050150917
Taxon: gerbilliscus_guineae | Num gaps: 205902 | Missing taxon?: N | % Missing data: 99.5965869514744
Taxon: gerbilliscus_kempi | Num gaps: 205526 | Missing taxon?: N | % Missing data: 99.4147124835539
Taxon: gerbilliscus_leucogaster | Num gaps: 205540 | Missing taxon?: N | % Missing data: 99.4214844052318
Taxon: gerbilliscus_nigricaudus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: gerbilliscus_phillipsi | Num gaps: 205536 | Missing taxon?: N | % Missing data: 99.4195495704667
Taxon: gerbilliscus_robustus | Num gaps: 202218 | Missing taxon?: N | % Missing data: 97.8146041328071
Taxon: gerbilliscus_vicinus | Num gaps: 205540 | Missing taxon?: N | % Missing data: 99.4214844052318
Taxon: gerbillurus_paeba | Num gaps: 202844 | Missing taxon?: N | % Missing data: 98.1174057735469
Taxon: gerbillurus_setzeri | Num gaps: 204988 | Missing taxon?: N | % Missing data: 99.1544772076465
Taxon: gerbillurus_tytonis | Num gaps: 205976 | Missing taxon?: N | % Missing data: 99.6323813946289
Taxon: gerbillurus_vallinus | Num gaps: 204604 | Missing taxon?: N | % Missing data: 98.9687330701958
Taxon: gerbillus_amoenus | Num gaps: 205890 | Missing taxon?: N | % Missing data: 99.590782447179
Taxon: gerbillus_andersoni | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: gerbillus_cheesmani | Num gaps: 205890 | Missing taxon?: N | % Missing data: 99.590782447179
Taxon: gerbillus_floweri | Num gaps: 206052 | Missing taxon?: N | % Missing data: 99.669143255166
Taxon: gerbillus_gerbillus | Num gaps: 202742 | Missing taxon?: N | % Missing data: 98.0680674870366
Taxon: gerbillus_henleyi | Num gaps: 203352 | Missing taxon?: N | % Missing data: 98.363129788716
Taxon: gerbillus_hesperinus | Num gaps: 205888 | Missing taxon?: N | % Missing data: 99.5898150297965
Taxon: gerbillus_hoogstrali | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: gerbillus_latastei | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: gerbillus_nancillus | Num gaps: 205888 | Missing taxon?: N | % Missing data: 99.5898150297965
Taxon: gerbillus_nanus | Num gaps: 204744 | Missing taxon?: N | % Missing data: 99.0364522869747
Taxon: gerbillus_nigeriae | Num gaps: 205600 | Missing taxon?: N | % Missing data: 99.4505069267085
Taxon: gerbillus_occiduus | Num gaps: 205890 | Missing taxon?: N | % Missing data: 99.590782447179
Taxon: gerbillus_perpallidus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: gerbillus_poecilops | Num gaps: 205888 | Missing taxon?: N | % Missing data: 99.5898150297965
Taxon: gerbillus_pyramidum | Num gaps: 205888 | Missing taxon?: N | % Missing data: 99.5898150297965
Taxon: gerbillus_tarabuli | Num gaps: 205894 | Missing taxon?: N | % Missing data: 99.5927172819441
Taxon: golunda_ellioti | Num gaps: 206138 | Missing taxon?: N | % Missing data: 99.7107422026159
Taxon: grammomys_dolichurus | Num gaps: 204170 | Missing taxon?: N | % Missing data: 98.7588034981813
Taxon: grammomys_gazellae | Num gaps: 205906 | Missing taxon?: N | % Missing data: 99.5985217862395
Taxon: grammomys_ibeanus | Num gaps: 204354 | Missing taxon?: N | % Missing data: 98.8478058973764
Taxon: grammomys_macmillani | Num gaps: 203556 | Missing taxon?: N | % Missing data: 98.4618063617367
Taxon: grammomys_surdaster | Num gaps: 204806 | Missing taxon?: N | % Missing data: 99.0664422258339
Taxon: graomys_centralis | Num gaps: 205512 | Missing taxon?: N | % Missing data: 99.407940561876
Taxon: graomys_chacoensis | Num gaps: 205340 | Missing taxon?: N | % Missing data: 99.3247426669762
Taxon: graomys_domorum | Num gaps: 205330 | Missing taxon?: N | % Missing data: 99.3199055800635
Taxon: graomys_griseoflavus | Num gaps: 203530 | Missing taxon?: N | % Missing data: 98.4492299357635
Taxon: halmaheramys_bokimekot | Num gaps: 206012 | Missing taxon?: N | % Missing data: 99.6497949075149
Taxon: handleyomys_alfaroi | Num gaps: 205892 | Missing taxon?: N | % Missing data: 99.5917498645616
Taxon: handleyomys_chapmani | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: handleyomys_guerrerensis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: handleyomys_melanotis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: handleyomys_rostratus | Num gaps: 205902 | Missing taxon?: N | % Missing data: 99.5965869514744
Taxon: handleyomys_saturatior | Num gaps: 205892 | Missing taxon?: N | % Missing data: 99.5917498645616
Taxon: heimyscus_fumosus | Num gaps: 205580 | Missing taxon?: N | % Missing data: 99.4408327528829
Taxon: holochilus_brasiliensis | Num gaps: 205108 | Missing taxon?: N | % Missing data: 99.2125222505998
Taxon: holochilus_chacarius | Num gaps: 205106 | Missing taxon?: N | % Missing data: 99.2115548332172
Taxon: holochilus_sciureus | Num gaps: 203150 | Missing taxon?: N | % Missing data: 98.2654206330779
Taxon: hybomys_univittatus | Num gaps: 202538 | Missing taxon?: N | % Missing data: 97.9693909140159
Taxon: hydromys_chrysogaster | Num gaps: 202392 | Missing taxon?: N | % Missing data: 97.8987694450894
Taxon: hylaeamys_acritus | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylaeamys_laticeps | Num gaps: 205894 | Missing taxon?: N | % Missing data: 99.5927172819441
Taxon: hylaeamys_megacephalus | Num gaps: 205898 | Missing taxon?: N | % Missing data: 99.5946521167092
Taxon: hylaeamys_perenensis | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: hylaeamys_yunganus | Num gaps: 205896 | Missing taxon?: N | % Missing data: 99.5936846993267
Taxon: hylomyscus_aeta | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_alleni | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_anselli | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_arcimontensis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_baeri | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_denniae | Num gaps: 205922 | Missing taxon?: N | % Missing data: 99.6062611252999
Taxon: hylomyscus_vulcanorum | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_endorobae | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_grandis | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_kaimosae | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_pamfi | Num gaps: 206736 | Missing taxon?: Y | % Missing data: 100
Taxon: hylomyscus_parvus | Num gaps: 203738 | Missing taxon?: N | % Missing data: 98.5498413435493
