Parsing alignment marsupialia_nt12cp ... ... 
Length alignment: 171898
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 160430 | Missing taxon?: N | % Missing data: 93.3286018452803
Taxon: phalanger_vestitus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: phascogale_calura | Num gaps: 171160 | Missing taxon?: N | % Missing data: 99.5706756332244
Taxon: phascogale_tapoatafa | Num gaps: 168108 | Missing taxon?: N | % Missing data: 97.7952041326833
Taxon: phascolarctos_cinereus | Num gaps: 150134 | Missing taxon?: N | % Missing data: 87.3390033624591
Taxon: phascolosorex_dorsalis | Num gaps: 168978 | Missing taxon?: N | % Missing data: 98.3013182235977
Taxon: murexia_naso | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: philander_frenatus | Num gaps: 166494 | Missing taxon?: N | % Missing data: 96.856275232987
Taxon: philander_mcilhennyi | Num gaps: 166558 | Missing taxon?: N | % Missing data: 96.8935066143876
Taxon: philander_opossum | Num gaps: 166566 | Missing taxon?: N | % Missing data: 96.8981605370627
Taxon: planigale_gilesi | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: planigale_ingrami | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: planigale_maculata | Num gaps: 169002 | Missing taxon?: N | % Missing data: 98.3152799916229
Taxon: planigale_maculata_sinualis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: planigale_novaeguineae | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: planigale_tenuirostris | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: potorous_gilbertii | Num gaps: 171466 | Missing taxon?: N | % Missing data: 99.748688175546
Taxon: potorous_longipes | Num gaps: 168778 | Missing taxon?: N | % Missing data: 98.1849701567209
Taxon: potorous_tridactylus | Num gaps: 167526 | Missing taxon?: N | % Missing data: 97.4566312580717
Taxon: potorous_tridactylus_apicalis | Num gaps: 171466 | Missing taxon?: N | % Missing data: 99.748688175546
Taxon: potorous_tridactylus_trisulcatus | Num gaps: 171468 | Missing taxon?: N | % Missing data: 99.7498516562147
Taxon: pseudantechinus_bilarni | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_macdonnellensis | Num gaps: 171154 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: pseudantechinus_mimulus | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_ningbing | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_roryi | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudantechinus_woolleyae | Num gaps: 171152 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: pseudocheirus_peregrinus | Num gaps: 168024 | Missing taxon?: N | % Missing data: 97.7463379445951
Taxon: pseudochirops_albertisii | Num gaps: 168814 | Missing taxon?: N | % Missing data: 98.2059128087587
Taxon: pseudochirops_archeri | Num gaps: 168764 | Missing taxon?: N | % Missing data: 98.1768257920395
Taxon: pseudochirops_corinnae | Num gaps: 168838 | Missing taxon?: N | % Missing data: 98.2198745767839
Taxon: pseudochirops_cupreus | Num gaps: 159604 | Missing taxon?: N | % Missing data: 92.8480843290789
Taxon: pseudochirulus_canescens | Num gaps: 168840 | Missing taxon?: N | % Missing data: 98.2210380574527
Taxon: pseudochirulus_caroli | Num gaps: 168808 | Missing taxon?: N | % Missing data: 98.2024223667524
Taxon: pseudochirulus_forbesi | Num gaps: 168812 | Missing taxon?: N | % Missing data: 98.2047493280899
Taxon: pseudochirulus_herbertensis | Num gaps: 168888 | Missing taxon?: N | % Missing data: 98.2489615935031
Taxon: pseudochirulus_mayeri | Num gaps: 168810 | Missing taxon?: N | % Missing data: 98.2035858474211
Taxon: rhyncholestes_raphanurus | Num gaps: 160744 | Missing taxon?: N | % Missing data: 93.511268310277
Taxon: rhynchomeles_prattorum | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sarcophilus_harrisii | Num gaps: 14708 | Missing taxon?: N | % Missing data: 8.55623683812493
Taxon: setonix_brachyurus | Num gaps: 168076 | Missing taxon?: N | % Missing data: 97.776588441983
Taxon: sminthopsis_aitkeni | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_archeri | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_bindi | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_butleri | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_crassicaudata | Num gaps: 168812 | Missing taxon?: N | % Missing data: 98.2047493280899
Taxon: sminthopsis_dolichura | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_douglasi | Num gaps: 168238 | Missing taxon?: N | % Missing data: 97.8708303761533
Taxon: sminthopsis_froggatti | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_gilberti | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_granulipes | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_griseoventer | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_hirtipes | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_leucopus_ferruginifrons | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_leucopus_leucopus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_longicaudata | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_macroura | Num gaps: 170890 | Missing taxon?: N | % Missing data: 99.4136057429406
Taxon: sminthopsis_murina | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_murina_tatei | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_ooldea | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_psammophila | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_stalkeri | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
