Parsing alignment rodentia_squirrel_nt3cp ... ... 
Length alignment: 12445
Number of taxa: 267
Taxon: aeretes_melanopterus | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: dremomys_pyrrhomerus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: dremomys_rufigenis | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: dryomys_laniger | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: dryomys_nitedula | Num gaps: 10815 | Missing taxon?: N | % Missing data: 86.9023704298915
Taxon: dryomys_nitedula_tichomirowi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: eliomys_melanurus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: eliomys_quercinus | Num gaps: 10582 | Missing taxon?: N | % Missing data: 85.0301325833668
Taxon: eoglaucomys_fimbriatus | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: epixerus_wilsoni | Num gaps: 12054 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: eupetaurus_cinereus | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: exilisciurus_concinnus | Num gaps: 11655 | Missing taxon?: N | % Missing data: 93.6520691040579
Taxon: exilisciurus_exilis | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: funambulus_layardi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: funambulus_palmarum | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: funambulus_pennantii | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: funambulus_sublineatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: funisciurus~ | Num gaps: 11342 | Missing taxon?: N | % Missing data: 91.1370028123744
Taxon: glaucomys_sabrinus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: glaucomys_sabrinus_griseifrons | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: glaucomys_volans | Num gaps: 9712 | Missing taxon?: N | % Missing data: 78.039373242266
Taxon: glirulus_japonicus | Num gaps: 12049 | Missing taxon?: N | % Missing data: 96.8179991964644
Taxon: glis_glis | Num gaps: 10537 | Missing taxon?: N | % Missing data: 84.668541582965
Taxon: graphiurus_kelleni | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_lorraineus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_microtis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_murinus | Num gaps: 6809 | Missing taxon?: N | % Missing data: 54.7127360385697
Taxon: graphiurus_ocularis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_parvus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: graphiurus_platyops | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: heliosciurus_ruwenzorii | Num gaps: 11657 | Missing taxon?: N | % Missing data: 93.6681398151868
Taxon: heliosciurus_undulatus | Num gaps: 11759 | Missing taxon?: N | % Missing data: 94.4877460827642
Taxon: hylopetes_alboniger | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: hylopetes_lepidus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: hylopetes_nigripes | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: hylopetes_phayrei | Num gaps: 12054 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: hylopetes_spadiceus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: hyosciurus_heinrichi | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ictidomys_mexicanus_mexicanus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: ictidomys_parvidens | Num gaps: 12146 | Missing taxon?: N | % Missing data: 97.5974286862194
Taxon: ictidomys_tridecemlineatus | Num gaps: 542 | Missing taxon?: N | % Missing data: 4.35516271595018
Taxon: ictidomys_tridecemlineatus_arenicola | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: iomys_horsfieldi~ | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: lariscus_insignis | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: marmota_baibacina | Num gaps: 11745 | Missing taxon?: N | % Missing data: 94.3752511048614
Taxon: marmota_bobak | Num gaps: 11733 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_broweri | Num gaps: 11733 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_caligata | Num gaps: 11733 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_camtschatica | Num gaps: 11733 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_caudata | Num gaps: 11735 | Missing taxon?: N | % Missing data: 94.2948975492166
Taxon: marmota_flaviventris | Num gaps: 11733 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_himalayana | Num gaps: 10872 | Missing taxon?: N | % Missing data: 87.3603856970671
Taxon: marmota_marmota | Num gaps: 11746 | Missing taxon?: N | % Missing data: 94.3832864604259
Taxon: marmota_menzbieri | Num gaps: 11734 | Missing taxon?: N | % Missing data: 94.2868621936521
Taxon: marmota_monax | Num gaps: 7352 | Missing taxon?: N | % Missing data: 59.0759341100844
Taxon: marmota_olympus | Num gaps: 11868 | Missing taxon?: N | % Missing data: 95.3635998392929
Taxon: marmota_sibirica | Num gaps: 11733 | Missing taxon?: N | % Missing data: 94.2788268380876
Taxon: marmota_vancouverensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: menetes_berdmorei | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: microsciurus_alfari~ | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: microsciurus_flaviventer~ | Num gaps: 11342 | Missing taxon?: N | % Missing data: 91.1370028123744
Taxon: muscardinus_avellanarius | Num gaps: 11384 | Missing taxon?: N | % Missing data: 91.4744877460828
Taxon: myomimus_roachi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: myosciurus_pumilio | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: nannosciurus_melanotis | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: notocitellus_adocetus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: notocitellus_annulatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_atricapillus~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi | Num gaps: 11855 | Missing taxon?: N | % Missing data: 95.2591402169546
Taxon: otospermophilus_beecheyi_douglasii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_fisheri | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_nudipes | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_parvulus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_rupinarum | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_beecheyi_sierrae | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_variegatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: otospermophilus_variegatus_utah | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: paraxerus_alexandri | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: paraxerus_cepapi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: paraxerus_ochraceus | Num gaps: 11738 | Missing taxon?: N | % Missing data: 94.31900361591
Taxon: paraxerus_vexillarius | Num gaps: 11894 | Missing taxon?: N | % Missing data: 95.5725190839695
Taxon: petaurillus_kinlochii~ | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: petaurista_albiventer | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_alborufus | Num gaps: 11587 | Missing taxon?: N | % Missing data: 93.105664925673
Taxon: petaurista_alborufus_castaneus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_alborufus_lena | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_elegans | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_elegans_caniceps | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_elegans_sybilla | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_hainana | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_leucogenys | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_leucogenys_nikkonis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_petaurista | Num gaps: 11879 | Missing taxon?: N | % Missing data: 95.4519887505022
Taxon: petaurista_petaurista_melanotus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_philippensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_philippensis_grandis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_xanthotis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petaurista_yunanensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: petinomys_setosus~ | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: poliocitellus_franklinii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: prosciurillus_murinus | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: protoxerus_stangeri | Num gaps: 11353 | Missing taxon?: N | % Missing data: 91.2253917235838
Taxon: pteromys_momonga | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: pteromys_volans | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: pteromyscus_pulverulentus | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: ratufa_affinis | Num gaps: 12055 | Missing taxon?: N | % Missing data: 96.8662113298513
Taxon: ratufa_bicolor | Num gaps: 11379 | Missing taxon?: N | % Missing data: 91.4343109682603
Taxon: rheithrosciurus_macrotis~ | Num gaps: 12054 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: rhinosciurus_laticaudatus | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: rubrisciurus_rubriventer | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurillus_pusillus | Num gaps: 11346 | Missing taxon?: N | % Missing data: 91.1691442346324
Taxon: sciurillus_pusillus_kuhlii | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurotamias_davidianus | Num gaps: 11355 | Missing taxon?: N | % Missing data: 91.2414624347127
Taxon: sciurus_aberti | Num gaps: 12054 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: sciurus_aestuans | Num gaps: 10464 | Missing taxon?: N | % Missing data: 84.0819606267577
Taxon: sciurus_anomalus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_aureogaster | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_carolinensis | Num gaps: 11612 | Missing taxon?: N | % Missing data: 93.3065488147851
Taxon: sciurus_colliaei~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_deppei | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_gilvigularis | Num gaps: 12034 | Missing taxon?: N | % Missing data: 96.6974688629972
Taxon: sciurus_granatensis | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurus_granatensis_hoffmanni | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_griseus | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurus_ignitus | Num gaps: 11508 | Missing taxon?: N | % Missing data: 92.4708718360787
Taxon: sciurus_igniventris | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_lis | Num gaps: 12185 | Missing taxon?: N | % Missing data: 97.9108075532342
Taxon: sciurus_niger | Num gaps: 10464 | Missing taxon?: N | % Missing data: 84.0819606267577
Taxon: sciurus_oculatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_pyrrhinus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_spadiceus | Num gaps: 12037 | Missing taxon?: N | % Missing data: 96.7215749296906
Taxon: sciurus_stramineus | Num gaps: 11450 | Missing taxon?: N | % Missing data: 92.0048212133387
Taxon: sciurus_variegatoides | Num gaps: 12053 | Missing taxon?: N | % Missing data: 96.8501406187224
Taxon: sciurus_variegatoides_rigidus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_variegatoides_thomasi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sciurus_vulgaris | Num gaps: 10805 | Missing taxon?: N | % Missing data: 86.8220168742467
Taxon: spermophilopsis_leptodactylus | Num gaps: 11344 | Missing taxon?: N | % Missing data: 91.1530735235034
Taxon: spermophilus_alashanicus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_citellus | Num gaps: 12198 | Missing taxon?: N | % Missing data: 98.0152671755725
Taxon: urocitellus_elegans_elegans | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_erythrogenys | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_fulvus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_major | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_musicus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_pallidicauda | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_pygmaeus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_relictus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: xerospermophilus_spilosoma_marginatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_suslicus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_taurensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_xanthoprymnus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_brookei | Num gaps: 12052 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: sundasciurus_fraterculus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_hippurus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_hoogstraali | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_jentinki~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_juvencus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_lowii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_mindanensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_moellendorffi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_philippinensis | Num gaps: 12013 | Missing taxon?: N | % Missing data: 96.528726396143
Taxon: sundasciurus_rabori | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_samarensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_steerii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_tahan | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_tenuis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_tenuis_altitudinus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: syntheosciurus_brochus~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_alpinus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_amoenus | Num gaps: 11736 | Missing taxon?: N | % Missing data: 94.302932904781
Taxon: tamias_bulleri | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_canipes | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_cinereicollis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_dorsalis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_durangae | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_merriami | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_minimus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_minimus_scrutator~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_obscurus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_ochrogenys | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_palmeri | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_panamintinus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_quadrimaculatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_quadrivittatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_ruficaudus | Num gaps: 12082 | Missing taxon?: N | % Missing data: 97.0831659300924
Taxon: tamias_rufus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_senex | Num gaps: 12191 | Missing taxon?: N | % Missing data: 97.9590196866211
Taxon: tamias_sibiricus | Num gaps: 12047 | Missing taxon?: N | % Missing data: 96.8019284853355
Taxon: tamias_siskiyou | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_sonomae | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_speciosus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_striatus | Num gaps: 8797 | Missing taxon?: N | % Missing data: 70.6870229007634
Taxon: tamias_townsendii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_umbrinus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamiasciurus_douglasii | Num gaps: 12037 | Missing taxon?: N | % Missing data: 96.7215749296906
Taxon: tamiasciurus_hudsonicus | Num gaps: 11038 | Missing taxon?: N | % Missing data: 88.6942547207714
Taxon: tamiasciurus_hudsonicus_grahamensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: tamiops_maritimus | Num gaps: 11622 | Missing taxon?: N | % Missing data: 93.3869023704299
Taxon: tamiops_mcclellandii | Num gaps: 11626 | Missing taxon?: N | % Missing data: 93.4190437926878
Taxon: tamiops_rodolphii | Num gaps: 11625 | Missing taxon?: N | % Missing data: 93.4110084371233
Taxon: tamiops_swinhoei | Num gaps: 11467 | Missing taxon?: N | % Missing data: 92.1414222579349
Taxon: trogopterus_xanthipes | Num gaps: 12054 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: urocitellus_armatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_beldingi_creber | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_brunneus_brunneus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_brunneus_endemicus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_columbianus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_columbianus_ruficaudus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_mollis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_mollis_idahoensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_ablusus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_kennicotti | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_kodiacensis | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_lyratus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_nebulicola | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_plesius | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_richardsonii | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_townsendi_nancyae | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_townsendi_townsendi | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_townsendi_vigilis~ | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_undulatus | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_washingtoni | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: xerospermophilus_mohavensis | Num gaps: 12142 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerospermophilus_perotensis | Num gaps: 12142 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerospermophilus_spilosoma | Num gaps: 12142 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerospermophilus_tereticaudus | Num gaps: 12142 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerus_inauris | Num gaps: 11742 | Missing taxon?: N | % Missing data: 94.3511450381679
Taxon: xerus_princeps | Num gaps: 12445 | Missing taxon?: Y | % Missing data: 100
Taxon: xerus_rutilus | Num gaps: 11649 | Missing taxon?: N | % Missing data: 93.6038569706709
Taxon: ornithorhynchus_anatinus | Num gaps: 6576 | Missing taxon?: N | % Missing data: 52.840498192045
Taxon: zaglossus_bruijni | Num gaps: 12317 | Missing taxon?: N | % Missing data: 98.9714744877461
Taxon: tachyglossus_aculeatus | Num gaps: 9363 | Missing taxon?: N | % Missing data: 75.2350341502611

Number of missing taxa = 149
Number of present taxa = 118
Total number of taxa = 267

Eq: num_gaps / ( num_taxa * len_aln ) --> (1854305+1354605)/((149+118)*12445)
Avg missing data before removing missing taxa = 0.965720330502902 = 96.5720330502902%
Eq: num_gaps / ( num_taxa * len_aln ) --> 1354605/(118*12445)
Avg missing data after removing missing taxa = 0.922434985120973 = 92.2434985120973%

