Parsing alignment rod_subt1_nt3cp ... ... 
Length alignment: 94825
Number of taxa: 630
Taxon: acomys_cahirinus | Num gaps: 92977 | Missing taxon?: N | % Missing data: 98.0511468494595
Taxon: alticola_strelzowi | Num gaps: 94417 | Missing taxon?: N | % Missing data: 99.5697337200105
Taxon: alticola_strelzowi_desertorum | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_tuvinicus | Num gaps: 93820 | Missing taxon?: N | % Missing data: 98.9401529132613
Taxon: anomalurus | Num gaps: 88805 | Missing taxon?: N | % Missing data: 93.6514632217242
Taxon: arvicola_amphibius | Num gaps: 93073 | Missing taxon?: N | % Missing data: 98.1523859741629
Taxon: arvicola_sapidus | Num gaps: 94481 | Missing taxon?: N | % Missing data: 99.6372264698128
Taxon: arvicola_scherman | Num gaps: 94479 | Missing taxon?: N | % Missing data: 99.6351173213815
Taxon: baiomys_musculus | Num gaps: 93534 | Missing taxon?: N | % Missing data: 98.6385446875824
Taxon: baiomys_taylori | Num gaps: 93855 | Missing taxon?: N | % Missing data: 98.9770630108094
Taxon: beamys_hindei | Num gaps: 93408 | Missing taxon?: N | % Missing data: 98.5056683364092
Taxon: blanfordimys_afghanus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: blanfordimys_bucharensis | Num gaps: 94530 | Missing taxon?: N | % Missing data: 99.6889006063802
Taxon: brachytarsomys_albicauda | Num gaps: 92957 | Missing taxon?: N | % Missing data: 98.0300553651463
Taxon: brachyuromys_betsileoensis | Num gaps: 93317 | Missing taxon?: N | % Missing data: 98.4097020827841
Taxon: brachyuromys_ramirohitra | Num gaps: 94526 | Missing taxon?: N | % Missing data: 99.6846823095175
Taxon: calomyscus_bailwardi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: calomyscus_baluchi | Num gaps: 94141 | Missing taxon?: N | % Missing data: 99.2786712364883
Taxon: calomyscus_hotsoni | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cannomys_badius | Num gaps: 94287 | Missing taxon?: N | % Missing data: 99.4326390719747
Taxon: cardiocranius_paradoxus | Num gaps: 93464 | Missing taxon?: N | % Missing data: 98.5647244924862
Taxon: castor_canadensis | Num gaps: 88677 | Missing taxon?: N | % Missing data: 93.5164777221197
Taxon: castor_fiber | Num gaps: 91201 | Missing taxon?: N | % Missing data: 96.1782230424466
Taxon: castor_fiber_albicus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: castor_fiber_birulai | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: castor_fiber_pohlei | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_arenarius | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_siccus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_artus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_baileyi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_californicus | Num gaps: 93815 | Missing taxon?: N | % Missing data: 98.934880042183
Taxon: chaetodipus_dalquesti | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_eremicus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_fallax | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_formosus | Num gaps: 94114 | Missing taxon?: N | % Missing data: 99.2501977326654
Taxon: chaetodipus_goldmani | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_hispidus | Num gaps: 94486 | Missing taxon?: N | % Missing data: 99.6424993408911
Taxon: chaetodipus_intermedius | Num gaps: 94508 | Missing taxon?: N | % Missing data: 99.6656999736356
Taxon: chaetodipus_nelsoni | Num gaps: 94440 | Missing taxon?: N | % Missing data: 99.5939889269707
Taxon: chaetodipus_penicillatus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_pernix | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_rudinoris | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetodipus_spinatus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: chionomys_gud | Num gaps: 94227 | Missing taxon?: N | % Missing data: 99.3693646190351
Taxon: chionomys_nivalis | Num gaps: 92679 | Missing taxon?: N | % Missing data: 97.7368837331927
Taxon: chionomys_roberti | Num gaps: 94223 | Missing taxon?: N | % Missing data: 99.3651463221724
Taxon: cratogeomys_castanops | Num gaps: 91029 | Missing taxon?: N | % Missing data: 95.996836277353
Taxon: cratogeomys_fulvescens | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_fumosus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_fumosus_angustirostris~ | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_fumosus_imparilis~ | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_goldmani | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_goldmani_rubellus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_gymnurus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_merriami | Num gaps: 94429 | Missing taxon?: N | % Missing data: 99.5823886105985
Taxon: cratogeomys_neglectus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_perotensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_planiceps | Num gaps: 94490 | Missing taxon?: N | % Missing data: 99.6467176377538
Taxon: cratogeomys_tylorhinus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cratogeomys_zinseri | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetomys_ansorgei | Num gaps: 94427 | Missing taxon?: N | % Missing data: 99.5802794621672
Taxon: cricetomys_emini | Num gaps: 94419 | Missing taxon?: N | % Missing data: 99.5718428684419
Taxon: cricetomys_gambianus | Num gaps: 93818 | Missing taxon?: N | % Missing data: 98.93804376483
Taxon: cricetulus_barabensis | Num gaps: 94658 | Missing taxon?: N | % Missing data: 99.8238861059847
Taxon: cricetulus_griseus | Num gaps: 88132 | Missing taxon?: N | % Missing data: 92.9417347745848
Taxon: urocricetus_kamensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: urocricetus_lama | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetulus_longicaudatus | Num gaps: 94068 | Missing taxon?: N | % Missing data: 99.2016873187451
Taxon: cricetulus_migratorius~ | Num gaps: 92897 | Missing taxon?: N | % Missing data: 97.9667809122067
Taxon: cricetulus_migratorius_phaeus~ | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetulus_sokolovi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetus_cricetus | Num gaps: 92276 | Missing taxon?: N | % Missing data: 97.3118903242816
Taxon: delanymys_brooksi | Num gaps: 93902 | Missing taxon?: N | % Missing data: 99.0266279989454
Taxon: dendromus_insignis | Num gaps: 93821 | Missing taxon?: N | % Missing data: 98.9412074874769
Taxon: dendromus_melanotis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dendromus_mesomelas | Num gaps: 93235 | Missing taxon?: N | % Missing data: 98.3232269970999
Taxon: dendromus_mystacalis | Num gaps: 94441 | Missing taxon?: N | % Missing data: 99.5950435011864
Taxon: dendromus_nyasae_kivu | Num gaps: 94175 | Missing taxon?: N | % Missing data: 99.3145267598207
Taxon: dendromus_nyikae | Num gaps: 94416 | Missing taxon?: N | % Missing data: 99.5686791457949
Taxon: deomys_ferrugineus | Num gaps: 92807 | Missing taxon?: N | % Missing data: 97.8718692327973
Taxon: dicrostonyx_groenlandicus | Num gaps: 94473 | Missing taxon?: N | % Missing data: 99.6287898760875
Taxon: dicrostonyx_hudsonius | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dicrostonyx_richardsoni | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dicrostonyx_torquatus | Num gaps: 94154 | Missing taxon?: N | % Missing data: 99.2923807012918
Taxon: dinaromys_bogdanovi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_agilis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_californicus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_compactus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_deserti | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_elator | Num gaps: 94558 | Missing taxon?: N | % Missing data: 99.7184286844187
Taxon: dipodomys_elephantinus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_gravipes | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_heermanni | Num gaps: 89078 | Missing taxon?: N | % Missing data: 93.9393619825995
Taxon: dipodomys_ingens | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_insularis~ | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_merriami | Num gaps: 92927 | Missing taxon?: N | % Missing data: 97.9984181386765
Taxon: dipodomys_merriami_annulus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_merriami_arenivagus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_merriami_brunensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_merriami_margaritae | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_merriami_melanurus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_merriami_platycephalus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_microps | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_nelsoni | Num gaps: 94181 | Missing taxon?: N | % Missing data: 99.3208542051147
Taxon: dipodomys_nitratoides | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_ordii | Num gaps: 28499 | Missing taxon?: N | % Missing data: 30.0543105721065
Taxon: dipodomys_panamintinus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_phillipsii | Num gaps: 94211 | Missing taxon?: N | % Missing data: 99.3524914315845
Taxon: dipodomys_simulans | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_simulans_peninsularis~ | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_spectabilis | Num gaps: 94116 | Missing taxon?: N | % Missing data: 99.2523068810968
Taxon: dipodomys_stephensi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipodomys_venustus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: dipus_sagitta | Num gaps: 92750 | Missing taxon?: N | % Missing data: 97.8117585025046
Taxon: eliurus_antsingy | Num gaps: 94198 | Missing taxon?: N | % Missing data: 99.3387819667809
Taxon: eliurus_carletoni | Num gaps: 94199 | Missing taxon?: N | % Missing data: 99.3398365409966
Taxon: eliurus_ellermani | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eliurus_grandidieri | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eliurus_majori | Num gaps: 94198 | Missing taxon?: N | % Missing data: 99.3387819667809
Taxon: eliurus_minor | Num gaps: 93788 | Missing taxon?: N | % Missing data: 98.9064065383601
Taxon: eliurus_myoxinus | Num gaps: 94420 | Missing taxon?: N | % Missing data: 99.5728974426575
Taxon: eliurus_tanala | Num gaps: 93529 | Missing taxon?: N | % Missing data: 98.6332718165041
Taxon: eliurus_webbi | Num gaps: 94202 | Missing taxon?: N | % Missing data: 99.3430002636436
Taxon: ellobius_fuscocapillus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: ellobius_talpinus | Num gaps: 94309 | Missing taxon?: N | % Missing data: 99.4558397047192
Taxon: ellobius_tancrei | Num gaps: 94546 | Missing taxon?: N | % Missing data: 99.7057737938307
Taxon: eolagurus_luteus | Num gaps: 94545 | Missing taxon?: N | % Missing data: 99.7047192196151
Taxon: eospalax_baileyi | Num gaps: 92636 | Missing taxon?: N | % Missing data: 97.6915370419193
Taxon: eospalax_cansus | Num gaps: 93615 | Missing taxon?: N | % Missing data: 98.7239651990509
Taxon: eospalax_fontanierii | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eospalax_rothschildi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eospalax_rufescens | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eospalax_smithii | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eothenomys_cachinus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eothenomys_chinensis | Num gaps: 94571 | Missing taxon?: N | % Missing data: 99.7321381492223
Taxon: eothenomys_custos | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eothenomys_eleusis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eothenomys_eva | Num gaps: 94511 | Missing taxon?: N | % Missing data: 99.6688636962826
Taxon: eothenomys_inez | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eothenomys_melanogaster | Num gaps: 93470 | Missing taxon?: N | % Missing data: 98.5710519377801
Taxon: eothenomys_miletus | Num gaps: 94475 | Missing taxon?: N | % Missing data: 99.6308990245189
Taxon: eothenomys_olitor | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eothenomys_proditor | Num gaps: 94555 | Missing taxon?: N | % Missing data: 99.7152649617717
Taxon: myodes_smithii | Num gaps: 93719 | Missing taxon?: N | % Missing data: 98.8336409174796
Taxon: eothenomys_wardi | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: eozapus_setchuanus | Num gaps: 93575 | Missing taxon?: N | % Missing data: 98.6817822304245
Taxon: eremodipus_lichtensteini | Num gaps: 93551 | Missing taxon?: N | % Missing data: 98.6564724492486
Taxon: euchoreutes_naso | Num gaps: 93402 | Missing taxon?: N | % Missing data: 98.4993408911152
Taxon: geomys_arenarius | Num gaps: 94409 | Missing taxon?: N | % Missing data: 99.5612971262853
Taxon: geomys_attwateri | Num gaps: 94411 | Missing taxon?: N | % Missing data: 99.5634062747166
Taxon: geomys_breviceps | Num gaps: 93377 | Missing taxon?: N | % Missing data: 98.4729765357237
Taxon: geomys_breviceps_sagittalis | Num gaps: 94404 | Missing taxon?: N | % Missing data: 99.556024255207
Taxon: geomys_bursarius | Num gaps: 93528 | Missing taxon?: N | % Missing data: 98.6322172422884
Taxon: geomys_jugossicularis_halli | Num gaps: 94411 | Missing taxon?: N | % Missing data: 99.5634062747166
Taxon: geomys_bursarius_illinoensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: geomys_bursarius_industrius | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: geomys_lutescens | Num gaps: 94384 | Missing taxon?: N | % Missing data: 99.5349327708937
Taxon: geomys_bursarius_major | Num gaps: 94404 | Missing taxon?: N | % Missing data: 99.556024255207
Taxon: geomys_bursarius_majusculus | Num gaps: 94379 | Missing taxon?: N | % Missing data: 99.5296598998155
Taxon: geomys_bursarius_missouriensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: geomys_bursarius_ozarkensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: geomys_jugossicularis_jugossicularis | Num gaps: 94402 | Missing taxon?: N | % Missing data: 99.5539151067756
Taxon: geomys_knoxjonesi | Num gaps: 94395 | Missing taxon?: N | % Missing data: 99.546533087266
Taxon: geomys_personatus_davisi | Num gaps: 94404 | Missing taxon?: N | % Missing data: 99.556024255207
Taxon: geomys_personatus_maritimus | Num gaps: 94403 | Missing taxon?: N | % Missing data: 99.5549696809913
Taxon: geomys_personatus_megapotamus | Num gaps: 94423 | Missing taxon?: N | % Missing data: 99.5760611653045
Taxon: geomys_personatus_personatus | Num gaps: 94417 | Missing taxon?: N | % Missing data: 99.5697337200105
Taxon: geomys_pinetis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: geomys_pinetis_mobilensis | Num gaps: 94402 | Missing taxon?: N | % Missing data: 99.5539151067756
Taxon: geomys_streckeri | Num gaps: 94407 | Missing taxon?: N | % Missing data: 99.5591879778539
Taxon: geomys_texensis | Num gaps: 94415 | Missing taxon?: N | % Missing data: 99.5676245715792
Taxon: geomys_tropicalis | Num gaps: 94413 | Missing taxon?: N | % Missing data: 99.5655154231479
Taxon: gymnuromys_roberti | Num gaps: 93237 | Missing taxon?: N | % Missing data: 98.3253361455312
Taxon: habromys_chinanteco | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: habromys_delicatulus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: habromys_ixtlani | Num gaps: 94239 | Missing taxon?: N | % Missing data: 99.382019509623
Taxon: habromys_lepturus | Num gaps: 93042 | Missing taxon?: N | % Missing data: 98.1196941734775
Taxon: habromys_lophurus | Num gaps: 94241 | Missing taxon?: N | % Missing data: 99.3841286580543
Taxon: habromys_simulatus | Num gaps: 94550 | Missing taxon?: N | % Missing data: 99.7099920906934
Taxon: hapalomys_delacouri | Num gaps: 94634 | Missing taxon?: N | % Missing data: 99.7985763248089
Taxon: heteromys_anomalus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: heteromys_australis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: heteromys_desmarestianus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: heteromys_gaumeri | Num gaps: 94403 | Missing taxon?: N | % Missing data: 99.5549696809913
Taxon: heteromys_goldmani | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: heteromys_nelsoni | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: heteromys_nubicolens | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: heteromys_oresterus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: hodomys_alleni | Num gaps: 94121 | Missing taxon?: N | % Missing data: 99.2575797521751
Taxon: hypogeomys_antimena | Num gaps: 92495 | Missing taxon?: N | % Missing data: 97.5428420775112
Taxon: idiurus_macrotis | Num gaps: 94420 | Missing taxon?: N | % Missing data: 99.5728974426575
Taxon: isthmomys_pirrensis | Num gaps: 94237 | Missing taxon?: N | % Missing data: 99.3799103611917
Taxon: jaculus_blanfordi | Num gaps: 93396 | Missing taxon?: N | % Missing data: 98.4930134458212
Taxon: jaculus_deserti | Num gaps: 93623 | Missing taxon?: N | % Missing data: 98.7324017927762
Taxon: jaculus_jaculus | Num gaps: 90352 | Missing taxon?: N | % Missing data: 95.2828895333509
Taxon: jaculus_orientalis | Num gaps: 93009 | Missing taxon?: N | % Missing data: 98.0848932243607
Taxon: lagurus_lagurus | Num gaps: 94261 | Missing taxon?: N | % Missing data: 99.4052201423675
Taxon: lasiopodomys_brandtii | Num gaps: 94174 | Missing taxon?: N | % Missing data: 99.3134721856051
Taxon: microtus_gregalis | Num gaps: 94541 | Missing taxon?: N | % Missing data: 99.7005009227524
Taxon: lasiopodomys_mandarinus | Num gaps: 94528 | Missing taxon?: N | % Missing data: 99.6867914579489
Taxon: lemmus_lemmus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: lemmus_sibiricus | Num gaps: 94531 | Missing taxon?: N | % Missing data: 99.6899551805958
Taxon: lemmus_trimucronatus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: liomys_adspersus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: liomys_irroratus | Num gaps: 94430 | Missing taxon?: N | % Missing data: 99.5834431848141
Taxon: liomys_pictus | Num gaps: 94429 | Missing taxon?: N | % Missing data: 99.5823886105985
Taxon: liomys_salvini | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: liomys_spectabilis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: lophuromys_flavopunctatus | Num gaps: 93587 | Missing taxon?: N | % Missing data: 98.6944371210124
Taxon: lophuromys_sikapusi | Num gaps: 93751 | Missing taxon?: N | % Missing data: 98.8673872923807
Taxon: lophuromys_zena | Num gaps: 94254 | Missing taxon?: N | % Missing data: 99.3978381228579
Taxon: macrotarsomys | Num gaps: 93729 | Missing taxon?: N | % Missing data: 98.8441866596362
Taxon: megadontomys_cryophilus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: megadontomys_nelsoni | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: megadontomys_thomasi | Num gaps: 94241 | Missing taxon?: N | % Missing data: 99.3841286580543
Taxon: mesocricetus_auratus | Num gaps: 82924 | Missing taxon?: N | % Missing data: 87.4495122594253
Taxon: mesocricetus_brandti | Num gaps: 94582 | Missing taxon?: N | % Missing data: 99.7437384655945
Taxon: mesocricetus_newtoni | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: mesocricetus_raddei | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microdipodops_megacephalus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microdipodops_pallidus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_abbreviatus | Num gaps: 94566 | Missing taxon?: N | % Missing data: 99.7268652781439
Taxon: microtus_agrestis | Num gaps: 91347 | Missing taxon?: N | % Missing data: 96.332190877933
Taxon: microtus_anatolicus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_arvalis | Num gaps: 91846 | Missing taxon?: N | % Missing data: 96.8584234115476
Taxon: microtus_bavaricus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_cabrerae | Num gaps: 93377 | Missing taxon?: N | % Missing data: 98.4729765357237
Taxon: microtus_californicus | Num gaps: 93573 | Missing taxon?: N | % Missing data: 98.6796730819931
Taxon: microtus_canicaudus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_chrotorrhinus | Num gaps: 94272 | Missing taxon?: N | % Missing data: 99.4168204587398
Taxon: microtus_daghestanicus | Num gaps: 94545 | Missing taxon?: N | % Missing data: 99.7047192196151
Taxon: microtus_dogramacii | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_duodecimcostatus | Num gaps: 94178 | Missing taxon?: N | % Missing data: 99.3176904824677
Taxon: microtus_felteni | Num gaps: 94566 | Missing taxon?: N | % Missing data: 99.7268652781439
Taxon: microtus_fortis_calamorum | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_fortis_fortis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_gerbei | Num gaps: 94479 | Missing taxon?: N | % Missing data: 99.6351173213815
Taxon: microtus_guatemalensis | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_guentheri | Num gaps: 94525 | Missing taxon?: N | % Missing data: 99.6836277353019
Taxon: microtus_irani | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_kikuchii | Num gaps: 93446 | Missing taxon?: N | % Missing data: 98.5457421566043
Taxon: microtus_kirgisorum | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_levis | Num gaps: 94414 | Missing taxon?: N | % Missing data: 99.5665699973636
Taxon: microtus_liechtensteini | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
Taxon: microtus_limnophilus | Num gaps: 94825 | Missing taxon?: Y | % Missing data: 100
