Parsing alignment rodentia_squirrel_nt12cp ... ... 
Length alignment: 24890
Number of taxa: 267
Taxon: aeretes_melanopterus | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: spermophilus_major | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_musicus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_pallidicauda | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_pygmaeus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_relictus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: xerospermophilus_spilosoma_marginatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_suslicus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_taurensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: spermophilus_xanthoprymnus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_brookei | Num gaps: 24104 | Missing taxon?: N | % Missing data: 96.8421052631579
Taxon: sundasciurus_fraterculus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_hippurus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_hoogstraali | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_jentinki~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_juvencus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_lowii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_mindanensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_moellendorffi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_philippinensis | Num gaps: 24026 | Missing taxon?: N | % Missing data: 96.528726396143
Taxon: sundasciurus_rabori | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_samarensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_steerii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_tahan | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_tenuis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: sundasciurus_tenuis_altitudinus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: syntheosciurus_brochus~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_alpinus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_amoenus | Num gaps: 23472 | Missing taxon?: N | % Missing data: 94.302932904781
Taxon: tamias_bulleri | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_canipes | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_cinereicollis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_dorsalis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_durangae | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_merriami | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_minimus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_minimus_scrutator~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_obscurus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_ochrogenys | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_palmeri | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_panamintinus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_quadrimaculatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_quadrivittatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_ruficaudus | Num gaps: 24164 | Missing taxon?: N | % Missing data: 97.0831659300924
Taxon: tamias_rufus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_senex | Num gaps: 24382 | Missing taxon?: N | % Missing data: 97.9590196866211
Taxon: tamias_sibiricus | Num gaps: 24094 | Missing taxon?: N | % Missing data: 96.8019284853355
Taxon: tamias_siskiyou | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_sonomae | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_speciosus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_striatus | Num gaps: 17594 | Missing taxon?: N | % Missing data: 70.6870229007634
Taxon: tamias_townsendii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamias_umbrinus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamiasciurus_douglasii | Num gaps: 24074 | Missing taxon?: N | % Missing data: 96.7215749296906
Taxon: tamiasciurus_hudsonicus | Num gaps: 22076 | Missing taxon?: N | % Missing data: 88.6942547207714
Taxon: tamiasciurus_hudsonicus_grahamensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: tamiops_maritimus | Num gaps: 23244 | Missing taxon?: N | % Missing data: 93.3869023704299
Taxon: tamiops_mcclellandii | Num gaps: 23252 | Missing taxon?: N | % Missing data: 93.4190437926878
Taxon: tamiops_rodolphii | Num gaps: 23250 | Missing taxon?: N | % Missing data: 93.4110084371233
Taxon: tamiops_swinhoei | Num gaps: 22934 | Missing taxon?: N | % Missing data: 92.1414222579349
Taxon: trogopterus_xanthipes | Num gaps: 24108 | Missing taxon?: N | % Missing data: 96.8581759742869
Taxon: urocitellus_armatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_beldingi_creber | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_brunneus_brunneus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_brunneus_endemicus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_columbianus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_columbianus_ruficaudus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_mollis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_mollis_idahoensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_ablusus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_kennicotti | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_kodiacensis | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_lyratus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_nebulicola | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_parryii_plesius | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_richardsonii | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_townsendi_nancyae | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_townsendi_townsendi | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_townsendi_vigilis~ | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_undulatus | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: urocitellus_washingtoni | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: xerospermophilus_mohavensis | Num gaps: 24284 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerospermophilus_perotensis | Num gaps: 24284 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerospermophilus_spilosoma | Num gaps: 24284 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerospermophilus_tereticaudus | Num gaps: 24284 | Missing taxon?: N | % Missing data: 97.5652872639614
Taxon: xerus_inauris | Num gaps: 23484 | Missing taxon?: N | % Missing data: 94.3511450381679
Taxon: xerus_princeps | Num gaps: 24890 | Missing taxon?: Y | % Missing data: 100
Taxon: xerus_rutilus | Num gaps: 23298 | Missing taxon?: N | % Missing data: 93.6038569706709
Taxon: ornithorhynchus_anatinus | Num gaps: 13152 | Missing taxon?: N | % Missing data: 52.840498192045
Taxon: zaglossus_bruijni | Num gaps: 24634 | Missing taxon?: N | % Missing data: 98.9714744877461
Taxon: tachyglossus_aculeatus | Num gaps: 18726 | Missing taxon?: N | % Missing data: 75.2350341502611

Number of missing taxa = 149
Number of present taxa = 118
Total number of taxa = 267

Eq: num_gaps / ( num_taxa * len_aln ) --> (3708610+2709210)/((149+118)*24890)
Avg missing data before removing missing taxa = 0.965720330502902 = 96.5720330502902%
Eq: num_gaps / ( num_taxa * len_aln ) --> 2709210/(118*24890)
Avg missing data after removing missing taxa = 0.922434985120973 = 92.2434985120973%

